,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0.0,3456.3367626105432,4581.589709886878,3284.325998554973,2291.3047528902075,1571.1424094652657,2219.934107073156,3334.213303152479,3817.568445755139,1596.3478126589189,5660.610649049446,3257.9557247554044,2496.4489908854894,3634.8786938106905,3236.633626812195,2874.3332570113657,5307.213217297481,3334.213303152479,2219.934107073156,1669.2587828833905,2529.337200639754,3908.5721850878326,1571.1424094652657,4776.396167844381,6156.610246889619,919.1435986563256,5234.139424254167,4480.572354652592,6156.610246889619,5873.691671244044,3835.2143836271994,3817.568445755139,5744.292056302351,9124.469056239202,9912.21560932307,4513.909982282766,4776.396167844381,6098.010072677684,5641.434570767771,7036.747050840947,2464.168992186133,2746.9665531200885,5488.757147996185,3456.3367626105432,5594.412901538277,8557.992907431297,4990.68411289969,3153.1901934691164,1855.6156397669731,1240.7027304955225,2854.2386590848696,5518.409844030327,5537.410608407314,2844.983429094515,6342.131410572831,5396.811669600202,3065.214426703256,3456.3367626105432,1434.7468725340734,1140.1333093926228,1779.9802355615675,1930.2860996193372,3037.6810958753917,2072.880810578724,2470.611727769566,3835.2143836271994,1026.2221646452983,2321.1140501404984,919.1435986563256,3612.475718017554,1811.7814344662977,1249.723441829986,851.3629035297034,1387.532391939381,3552.9403887456524,3389.09821029035,3367.275184419929,3690.218780279906,2017.81955504732,3891.7726910160586,4431.119466238558,1319.5619731305874,2684.109210064844,4669.790988540229,3345.5485566865,5806.4059859204335,5179.863801752844,4448.679371042213,3584.5606163232574,3649.564654503831,3614.128646737763,1465.7742903784429,2994.142735528011,3912.59472936065,4829.072451158987,1091.8541504330346,4669.790988540229,3731.765568293688,3102.2773262809337,2768.3503844211064,875.4721027373547
0.01,3405.036348501456,4519.664792851054,3219.4819540420726,2291.3047528902075,1553.819042293542,2172.623672768271,3284.325998554973,3758.4268488366192,1571.1424094652657,5538.904482362229,3052.174532678575,2490.149324322978,3612.475718017554,3115.717131241792,2806.580925544994,5188.426326565656,3334.213303152479,2196.8028348787366,1669.2587828833905,2529.337200639754,3864.354519841383,1562.0936405157781,4716.207606766735,6051.616996132487,913.2675396667669,5170.741493452147,4410.503599779808,6131.194602154793,5787.897859371258,3779.717823727287,3739.857803887987,5725.1800779583255,8964.1769706925,9912.21560932307,4463.896714279212,4716.207606766735,6000.625812469093,5622.363279799111,7015.952758782682,2424.2123040927404,2693.4126833366377,5403.589237108564,3405.036348501456,5495.380494999016,8467.443175074155,4926.284777321725,3142.4048567453174,1855.6156397669731,1240.7027304955225,2848.3153118910427,5507.6809965757,5391.232061339518,2844.983429094515,6301.261338918056,5332.56617340193,3034.251044447127,3405.036348501456,1394.0747084888017,1123.1592023423173,1775.017496006874,1901.9470129771269,3020.3114486275003,2053.58455108284,2437.747065891501,3791.806554470036,1018.7503627682567,2306.5644339140317,909.96225648514,3577.32576126465,1799.1849802892295,1247.0929962748753,851.3629035297034,1387.532391939381,3538.6011664690095,3361.2264319838864,3362.910014763611,3650.6816148945773,2005.3694632994188,3883.165866046125,4389.5887809882815,1313.4137085015025,2665.1124130946773,4609.1479913131525,3254.682088825485,5773.646134963084,5140.984073857046,4448.679371042213,3558.5451528285657,3619.781662960879,3578.8893966152327,1465.7742903784429,2994.142735528011,3891.864195164752,4718.167941410159,1063.069916066223,4594.424740676444,3688.125185559823,3084.696923583794,2758.6757604287877,872.4790357194491
0.02,3320.244857865176,4463.518873712076,3096.7882201018037,2280.4812316358257,1541.139181959022,2090.3940639358148,3240.1640956808087,3684.0247130607263,1521.470904969106,5363.472195083384,3000.3914950166736,2458.477979953928,3521.769164824747,3077.940642550899,2776.8150444009807,5108.847344795788,3214.538976541862,2148.986034275488,1669.2587828833905,2496.4489908854894,3772.0266709222115,1546.4283037910598,4593.96347993835,5912.234981049617,902.497859843247,4972.652298937858,4323.400676402888,6033.174381812719,5668.97267662801,3702.126918418381,3648.207754473591,5686.956121270276,8680.133447635135,9771.73770427334,4263.79094679629,4614.088196319149,5986.6852298153535,5556.411372784301,6804.976699853082,2402.3084543251953,2693.4126833366377,5310.563942827257,3320.244857865176,5451.014583329263,8403.478343401222,4908.387942662408,3077.940642550899,1838.955666814073,1228.3431946903859,2805.833798539415,5464.564058912196,5315.0718959868045,2825.285493935008,6274.426358965453,5242.339142393342,3028.7763001628923,3405.036348501456,1367.8718685640717,1123.1592023423173,1761.0443610601983,1888.0993603526529,2898.611507672679,2027.7925371651854,2424.2123040927404,3741.95222470622,1012.3186681780727,2300.3200463784046,892.9799943165575,3505.1777641562917,1793.8076517654836,1244.2383914068364,845.8180560727407,1387.532391939381,3478.0540438527114,3345.5485566865,3317.466156207496,3620.5133085935113,2005.3694632994188,3818.22442815256,4270.246410391144,1303.8989134438834,2643.269212336863,4586.496836487447,3197.326669530777,5743.980447959785,5095.984197265187,4392.8997314303615,3519.763343890532,3580.190763867858,3541.983687770274,1455.7264500774916,2989.193143277348,3849.329267426263,4669.790988540229,1051.4321768991197,4535.382989010483,3643.9087731002774,3057.4974044343194,2717.777838607261,867.1693536949563
0.03,3284.325998554973,4446.860928945222,3009.493617176983,2247.724603133187,1505.8683044150396,2032.360447292736,3201.69440746709,3660.9557892251087,1505.8683044150396,5130.056055968049,2964.498624613308,2424.2123040927404,3410.9287303195983,2979.6229945481564,2746.9665531200885,4991.584094503221,3024.9217841413715,2097.2047735746846,1669.2587828833905,2496.4489908854894,3662.801303131958,1507.6019266988244,4501.222994987511,5873.691671244044,902.497859843247,4797.445801983346,4242.991382511531,5875.484372465803,5423.0016660573865,3560.0251610884848,3577.32576126465,5623.316844347544,8205.545808625711,9512.946678981787,4105.790095297507,4428.465062024051,5876.559993198856,5510.059365522229,6691.024682895468,2354.039792038917,2660.9046959628777,5032.85619638398,3180.21582085478,5328.493231079136,8201.965547318689,4873.407867163103,3032.826253853847,1813.140146083687,1212.2216438884586,2755.8206855219382,5415.638246012318,5168.256421912387,2784.9795172983872,6215.415675652208,5049.6072990624225,3008.141904168986,3289.4857019030264,1322.6726386661032,1091.2966078881327,1744.0172527951115,1888.0993603526529,2750.0075902543517,2009.6465236751558,2342.0166120803215,3722.7494720257205,1006.5874526611794,2291.3047528902075,892.9799943165575,3351.219598543364,1762.1622118559321,1235.0998901750427,841.75225035845,1378.9705880495296,3367.275184419929,3269.886594915451,3117.991913779563,3557.0736679796187,1953.3364921372286,3726.9981529135594,4177.299317241602,1302.0193756064764,2619.492804557532,4568.547369191757,3164.61245417584,5691.737476209529,5076.724210820233,4373.486696276713,3470.909630564549,3568.954000411118,3509.02994913212,1437.2962741887352,2977.644094692468,3756.783210320087,4612.543699399619,1041.571997598912,4468.28772137628,3595.3461561272206,3028.1066504886935,2685.026401305279,862.2404145726401
0.04,3229.186198813968,4390.8673929009,2881.601495343069,2247.724603133187,1475.2758747817022,1935.6340306640577,3118.29475294134,3634.8786938106905,1477.100831505451,4926.284777321725,2874.3332570113657,2424.2123040927404,3320.4509509061254,2776.4365403391685,2746.9665531200885,4861.310136294634,2963.7129046625378,2062.074905261029,1669.2587828833905,2466.746086419506,3529.186062381675,1505.8683044150396,4350.519828893166,5807.634398651017,902.497859843247,4683.51629912449,4003.80241351626,5741.85418731151,5338.399120307344,3476.254573202192,3489.2537706034414,5488.757147996185,7485.878930294016,9241.00693720131,3913.84215204208,4280.698143327055,5816.332401283338,5447.810562885219,6602.019451556347,2353.5475282567754,2659.214796919191,4622.643431662362,3046.8406402091464,5289.846311816883,7952.277789942918,4801.874963075846,3007.501401829064,1750.8280961011458,1212.2216438884586,2707.1122235310936,5271.172439903205,5049.843734853457,2750.8623713769025,6090.025339722515,4844.230986833266,2977.588229398418,3216.2014877978936,1306.4517625336623,1091.2966078881327,1708.2002318463244,1866.0661657925252,2579.497949150787,1974.0982528543432,2300.3200463784046,3630.478564438307,997.5991916797296,2196.8028348787366,892.9799943165575,3189.9053041400707,1737.3164862098063,1216.6162840749544,834.93371251048,1363.9740763077866,3342.138542967816,3200.9889275402415,3003.5201598465196,3535.218645167745,1921.9014155647044,3614.664391084996,4131.6969539902075,1298.6406978541306,2578.004692879745,4549.916867485399,3148.10257092287,5577.511669136648,5045.004655675465,4337.612170938413,3354.239207779871,3559.9863778784575,3476.4922229478325,1426.4432955750738,2977.644094692468,3611.1951476072727,4549.916867485399,1029.5682381827708,4396.589687384616,3546.5239409218616,3002.0837334620546,2620.4748479280556,850.8420919660615
0.05,3176.801374490668,4226.302252716496,2748.0918254009907,2247.724603133187,1405.705493465549,1809.262143630884,3017.749439267813,3522.5638324201327,1472.804328637458,4544.42528726731,2832.98264673529,2398.020894335618,3240.556369999544,2676.1137873560597,2581.120166426548,4637.778725880782,2870.3143374260667,1981.6796203361885,1665.737633034538,2442.332841596495,3446.0766797887263,1475.2758747817022,4234.353230873796,5759.280413125994,902.497859843247,4442.02294201199,3718.8619818725288,5639.311021077407,5080.7844241789,3378.788642127068,3378.788642127068,5360.371006518839,6727.924879714913,9185.014695732809,3567.6978214880555,4155.353680245621,5716.080450370282,5325.882860631057,6457.53444340181,2329.2281985902478,2648.977771530993,4317.824075726971,2934.2737922064643,5229.523410972135,7723.24538626152,4716.207606766735,2961.450684891694,1744.0172527951115,1210.6330052082874,2619.9595112473803,5220.073855734626,4912.709734168291,2707.1122235310936,5940.360423030529,4586.101442488663,2964.498624613308,3104.117833593823,1284.2986809571048,1091.2966078881327,1688.8602074000792,1838.955666814073,2445.198951412117,1940.0096106097383,2240.776979118179,3547.3560373656346,986.6311850282322,2148.986034275488,892.9799943165575,3017.749439267813,1695.9756754443088,1192.6130852082686,827.5019982160496,1336.0003710715398,3233.185452107031,3061.90216414321,2929.241762053278,3391.240348039223,1904.2377557062252,3517.4299972039207,4081.723158116423,1297.9508540152058,2571.102181267738,4414.363555466971,3145.99722880957,5524.6073278051545,4987.4329193802105,4279.388748492792,3281.393458288717,3539.644298915113,3444.508632031839,1396.6998536895246,2966.815823341465,3562.206929362444,4481.613944506444,1017.5716106886396,4342.997170665349,3488.180891396224,2953.5427920305656,2614.82643328632,841.4914251955128
0.06,3157.724161561014,4103.287228746639,2593.4172177638143,2247.724603133187,1387.532391939381,1729.2508472022037,3007.501401829064,3412.4018257741327,1405.705493465549,4298.762162835427,2697.6795436039306,2398.020894335618,3164.5119219971157,2425.7358573818424,2558.3336676371114,4445.412412008975,2789.613802018615,1894.849238635321,1651.6530336391274,2398.020894335618,3275.311314872842,1464.8953809758752,4186.202132475769,5740.63525281609,902.497859843247,4181.384676982393,3463.7544233985354,5381.8450672345925,4939.468612145497,3270.156937298934,3284.325998554973,5145.466187260582,6069.639538294025,9012.24754710363,3416.8211121377403,4066.775303313126,5524.598223670027,5218.6296196265375,6318.448828063507,2321.1140501404984,2608.029669978197,4080.0905500380904,2735.0986778940355,5145.466187260582,7464.53840011601,4701.535919812803,2919.1660934717065,1721.911873872543,1199.8221969319604,2533.776075497501,5072.039349252541,4741.488865737976,2640.308121599735,5810.268056939614,4271.296090988833,2935.117955748336,3077.940642550899,1275.7548954605918,1080.0466242526643,1669.2587828833905,1783.0529947179928,2342.506158090343,1880.7640392912813,2172.623672768271,3482.5320846374093,982.0503122885896,2121.9932694062904,883.7471852430461,2866.9279515242324,1660.5642328058252,1165.9001543803165,817.4766862412635,1319.7462180304935,3200.257645647947,2980.2838772261543,2785.0780186074126,3285.4100903139624,1897.008604103617,3352.5165012631146,4066.9369709574185,1297.9508540152058,2562.9492088557663,4264.715143942301,3113.5328856801816,5408.772330324144,4911.698339824825,4229.117356225924,3202.9850918717448,3519.763343890532,3432.294946311486,1370.7785666768475,2922.527272057737,3473.4360716013466,4395.170341918162,1008.439669889372,4285.821530170161,3476.8195294362918,2902.8087272667244,2595.7420348508576,831.0342030219426
0.07,3120.8723746408896,3892.095952283989,2479.007371339838,2224.1141177379227,1352.1460256830412,1665.0853988461595,2957.1835692814348,3238.840169855079,1383.4227260722525,4097.043708818136,2608.029669978197,2398.020894335618,3104.117833593823,2291.3047528902075,2529.337200639754,4271.623322792041,2746.9665531200885,1823.8325553807329,1633.7179378720534,2362.1546575770158,3169.5190757513906,1434.7468725340734,4134.573060632498,5682.955321581582,897.9292843904365,4076.705668617214,3272.801815642726,5080.192865903592,4824.604886792891,3165.468007600324,3228.4008238825368,4973.207571826218,5622.363279799111,8849.098672111046,3247.721117742665,3854.9149246793027,5272.983265668652,5009.457833193469,6274.426358965453,2321.1140501404984,2564.914538103379,3789.180479234252,2597.0577836721864,5066.209299301637,7278.0104967277,4565.600013485518,2813.943796799816,1693.8632708686787,1197.0293671444945,2517.7557808221163,4826.102155013461,4581.589709886878,2636.706850110316,5725.1800779583255,4087.0606494478757,2863.2812281517936,3065.214426703256,1240.3330423391444,1077.9037702268613,1645.798770592252,1768.3103912324702,2234.3851650243732,1842.922484912656,2083.0388064943427,3474.3401426102905,968.0654327732714,2063.6186060207,878.5822981777927,2786.044703386437,1594.4742000775034,1137.4765871229822,804.6010233132719,1313.2973564148044,3199.8397702809216,2930.0194956668224,2755.764807699311,3260.958723755766,1897.008604103617,3209.2493537838,4047.0036753367467,1282.0728169772296,2546.0285258023705,4040.078055794488,3078.246448874054,5151.065701959142,4842.40449545199,4170.855586777634,3121.7825692484735,3459.1056347647755,3389.09821029035,1333.1697436672446,2899.7388138028023,3284.960954187473,4298.317206131367,1008.439669889372,4257.96860509357,3416.7808939428437,2841.0924400185277,2575.1386894657285,818.8408230574868
0.08,3030.9529762719935,3713.8648020584437,2424.2123040927404,2219.934107073156,1301.1643249910642,1590.1626797224928,2870.8112776613434,3172.9859319047373,1363.9740763077866,3835.2143836271994,2550.8556574029585,2361.4237487710334,3076.413496649182,2244.3897436059833,2496.4489908854894,4111.907588450574,2650.3296101097685,1728.8632638931106,1633.7179378720534,2340.403039963404,3030.9529762719935,1387.532391939381,3947.970803599336,5637.620312574039,863.1043291776055,3908.5721850878326,3129.3304093637057,4766.812626961684,4633.388043243995,3071.025139280091,3100.976570668672,4824.4016682329875,5047.270736504928,8705.391075811352,3002.341068563173,3674.1955092107196,5024.614980014558,4794.058215779279,6171.4173101738525,2321.1140501404984,2529.337200639754,3499.8164199786343,2501.057540896327,4933.300366664217,7094.23033660838,4476.353161535358,2718.524359630088,1658.7819929724858,1175.349581626915,2496.4489908854894,4561.758687276404,4560.388520420988,2636.706850110316,5675.092255708065,3966.0179769487418,2841.9259740620178,3061.910427003912,1211.2684606803557,1077.9037702268613,1599.6167445098188,1734.3182261421605,2117.3187338568564,1799.1849802892295,2005.8474645239362,3405.036348501456,963.5537807273947,1994.5280005154004,871.8243023092824,2655.9333089293923,1549.0889776581657,1089.0781706548341,790.2479631300505,1296.6563244179831,3185.3687520113203,2858.4754267538283,2705.2250036113846,3233.658568586498,1879.5285392204441,3074.8487027174842,4031.88991906474,1278.3471195333652,2516.4615153197824,3869.1365443498375,3053.8855950392835,4940.3345735445955,4808.249826225214,4124.319204790972,3035.3907192700844,3353.9846862401123,3367.275184419929,1333.1697436672446,2853.062862946642,3142.56673141958,4164.476638771105,1002.0607834765674,4174.86128760952,3360.727234783584,2767.4508238340454,2562.437058869211,799.6767092488981
0.09,3007.501401829064,3660.9557892251087,2424.2123040927404,2219.934107073156,1262.8981007588789,1521.0946410054876,2749.0915448965325,2996.4836422568746,1306.7935130597386,3638.5406658800957,2464.168992186133,2324.007398613935,3024.4801639669945,2053.58455108284,2424.2123040927404,3846.2180538462967,2424.2123040927404,1612.7265509525243,1633.7179378720534,2321.1140501404984,2898.611507672679,1378.9705880495296,3882.035210197168,5488.757147996185,852.9470760529938,3908.5721850878326,3007.501401829064,4444.506083611923,4480.77159344754,2943.393391350998,3010.5758130606887,4698.741312773959,4564.787221722725,8563.450928165083,2888.544492168055,3506.6704805124314,4794.058215779279,4667.6489215511365,6072.341493949613,2301.256704508749,2504.3421612265133,3276.257543570703,2413.998693165519,4846.984420449192,6917.464370526624,4301.656384304006,2642.108757344446,1633.7179378720534,1164.1002634762028,2474.4866401866143,4316.468201418906,4535.405205943174,2626.2455424156296,5579.972320611767,3826.410210337807,2776.855989663197,3037.6810958753917,1188.7190794754842,1077.9037702268613,1571.1424094652657,1670.0235672250326,1997.9238397179613,1775.017496006874,1894.427371242657,3385.0880916569213,953.766369525802,1945.5907044363857,863.8053346504499,2532.9299536010126,1498.6197926680888,1048.1047470438723,776.1893315303329,1285.1842133378552,3113.5328856801816,2805.3704471574747,2523.471647099091,3209.3734500922706,1815.8477411822514,2929.475361873629,3977.768261087272,1277.231463626634,2503.4489294176,3664.116300589624,3031.7726845696375,4685.265106383116,4684.2105304689985,4090.565448114946,2960.2298193686643,3240.0978336350763,3357.5737475379296,1333.1697436672446,2808.5436638186925,3035.9821171865383,4141.247380631531,997.0242581807992,4128.099437238811,3340.29312095709,2699.113460419437,2550.5854935718835,782.7229875410349
