WaterMonth,MonthName,Month,EWRProportion_max,EWRProportion_mean,EWRProportion_median,EWRProportion_min,EWRTotal_max,EWRTotal_mean,EWRTotal_median,EWRTotal_min,FlowCanal_max,FlowCanal_mean,FlowCanal_median,FlowCanal_min,FlowSpill_max,FlowSpill_mean,FlowSpill_median,FlowSpill_min,HeadTurbine1_max,HeadTurbine1_mean,HeadTurbine1_median,HeadTurbine1_min,LevelTailwater_max,LevelTailwater_mean,LevelTailwater_median,LevelTailwater_min,LevelHeadpond_max,LevelHeadpond_mean,LevelHeadpond_median,LevelHeadpond_min,Turbines_mean,Power_max,Power_mean,Power_median,Power_min,Energy_max,Energy_mean,Energy_median,Energy_min,Energy_P95,Energy_P90,Energy_P75,Energy_P25,Energy_P10,Energy_P5,Power_P95,Power_P90,FlowAvailableForGeneration_P95,FlowAvailableForGeneration_P50,PotentialPower1u_P95,PotentialPower1u_P50,PotentialPower2u_P95,PotentialPower2u_P50,PotentialPower3u_P95,PotentialPower3u_P50,PotentialPower4u_P95,PotentialPower4u_P50,Energy_stdev,Energy_coefvar,PropYearsMinAvailFlowGt1UnitRatedFlow,PropYearsMinAvailFlowGt2UnitRatedFlow,PropYearsMinAvailFlowGt3UnitRatedFlow,PropYearsMinAvailFlowGtCanalRatedFlow,PropYears1uPotentialGtRatedPower,PropYears2uPotentialGtRatedPower,PropYears3uPotentialGtRatedPower,PropYears4uPotentialGtRatedPower
1.0,Oct,10,0.49328875085150253,0.3959031977756238,0.3995343843818623,0.269663675144857,120.0,93.7341935483871,97.0,52.0,325.84140711389205,145.19073164554814,132.5759398906346,55.23709032612687,12.740383597500594,0.12740383597500593,0.0,0.0,25.389027065318427,25.085680553821962,25.20849424300955,24.000892915257428,965.6062863320125,964.6520096225963,964.5700536372846,964.4036300074162,990.0,990.0,990.0,990.0,1.016774193548387,68.6246560073376,31.570087590962057,29.004664549960317,11.43700318919978,51056.74406945917,23488.145167675768,21579.470425170475,8509.130372764637,16181.826915511225,18082.954659988678,19046.525724616342,26599.163185766236,31603.700021021406,36455.305747421,20.438784409502283,22.25457161462073,102.39514547492244,132.5759398906346,56.8138702992973,57.49601464611855,113.1065741982113,114.52940750493228,168.25701943084925,170.53779671194025,220.560317821679,223.95037964518917,6883.7565758136725,0.2930736559516438,0.03,,,,1.0,1.0,1.0,1.0
2.0,Nov,11,0.4052996323870449,0.3330459874752764,0.3395187646752759,0.21088254486593436,114.0,89.62666666666667,93.0,50.0,432.1997922697731,186.423918660012,170.60025152113806,103.22093471913273,0.0,0.0,0.0,0.0,25.355454475952808,24.844230210414484,24.907871956391126,23.375089772315985,966.0528636800033,964.8127690683947,964.7572378787381,964.4404889061981,990.0,990.0,990.0,990.0,1.1016666666666668,89.94539774784805,40.57109318268972,37.432505934497144,21.987102061217932,64760.6863784506,29211.1870915366,26951.40427283794,15830.713484076909,19456.899248864476,21743.637810938904,22896.361892468653,31595.40003761776,41287.57193514935,45921.60089897088,23.782359287835675,26.757602547597056,124.11576974233138,170.60025152113806,56.32832964445654,57.26894157901605,112.0992358337001,114.05486382414088,166.65535133422253,169.7749155442691,218.20919691434187,222.81150307553924,9063.1096853165,0.31026160138292935,0.06,,,,1.0,1.0,1.0,1.0
3.0,Dec,12,0.2858532015335334,0.23974828561328457,0.2419418348539344,0.1519713425175453,126.0,100.37129032258065,104.0,59.0,706.6788073286203,338.2664301014462,305.69394529336154,171.0852047156264,0.0,0.0,0.0,0.0,25.089965418388633,23.94287584658368,24.10992726417677,21.863730369417766,967.2307152293145,965.5521191412928,965.4268523150754,964.5786285971593,990.0,990.0,990.0,990.0,1.7348387096774192,139.13971061146196,71.24522417593764,65.08450969026094,37.81580005941504,103519.94469492772,53006.4467868976,48422.87520955414,28134.955244204786,36713.53336136845,38324.93447957999,43067.66903869454,61525.787153317935,70742.87530968673,86930.26466733383,39.58335254155574,43.750099426935385,224.54631664317125,305.69394529336154,54.28394681195932,56.37220772020145,107.88987033291824,112.19126632585309,160.04035107285333,166.80410335238844,208.6764079403941,218.4330732444264,15178.69075252412,0.2863555599858858,0.26,0.03,,,1.0,1.0,1.0,1.0
4.0,Jan,1,0.22099247127977478,0.17209785081795181,0.1758887971000475,0.0969641193322598,150.0,118.03548387096775,120.0,73.0,1079.3828142871998,590.4472963882868,536.3404806652068,259.1333734821556,640.7713507105153,29.04184380364238,0.0,0.0,24.415300772868683,22.409437105757483,22.767916587172795,18.176145441873103,970.0226055640576,966.7859679043008,966.5202527288427,965.0611731136937,990.0,990.0,990.0,990.0,2.6164516129032256,175.32954106371128,116.12303435069994,109.56399289119253,56.80990517308961,130445.17855140122,86395.53755692075,81515.61071104725,42266.56944877867,58327.62677365411,63454.61847596346,72112.42268648861,100071.59003493402,115815.7276322456,122309.06827044695,70.48476993045442,77.53093032965819,370.33239437317036,536.3404806652068,50.114853381237495,54.667887206757655,99.39602030114439,108.676246728351,146.9135125619759,161.26596749945418,190.2705582511999,210.41916021325906,20094.599540999294,0.23258839645230736,0.97,0.25,0.05,,0.96,0.95,0.94,0.91
5.0,Feb,2,0.18451294222766987,0.1262487074657016,0.13585623770332944,0.023904431448780204,197.0,139.09322660098522,137.0,85.0,1100.0,842.3298674181298,844.9809539362967,78.57142857142857,8351.633107210806,387.33055381004743,4.610684025441683,0.0,23.83621115336754,20.011516689937466,20.944974274586492,7.194804953973531,981.3924087575275,968.7322169449192,967.8647315834972,965.6827598620818,990.5241157046157,990.0053538214647,990.0,990.0,3.4062807881773396,185.49400162161237,147.45302492239747,149.16489194058346,7.14278865637273,128904.16725089985,99964.46910095008,101456.19381410327,4799.953977082476,74899.29721806635,81931.20908008309,90644.81238571486,111763.94948692498,120326.2285789701,122670.2468059326,98.37248243309475,112.08945939562908,569.0635462858485,866.4653447975809,37.35851329635787,52.1551997088241,73.63155192245242,103.53613871978379,107.65312160945699,153.270340280987,136.53715302431726,199.0861043774624,17967.20605102738,0.17973592229938243,1.0,0.88,0.38,0.12,0.74,0.72,0.69,0.62
6.0,Mar,3,0.17454484865180603,0.09540231968638677,0.09139930382280598,0.04041889288937571,315.0,194.3051612903226,193.25806451612902,107.0,1100.0,946.3322572352815,1078.1947855158505,0.0,7648.05646167255,1386.6332810905242,1054.050941080311,0.0,22.9361805731355,16.50556190700137,16.19193859239604,7.424125007016574,981.0021119268857,971.8109108220458,971.9166563807566,966.3628159458859,990.3631389270171,990.0116549695033,990.0,990.0,3.574193548387097,186.09341316310204,139.46202044672566,149.6037333763178,0.0,138453.4993933479,103759.74321236389,111305.17763198045,0.0,19669.403010586153,78164.5415134341,95781.13600620996,122287.70640414894,130715.11434498655,133720.70826742498,0.0,96.52427891348503,732.0630442065908,2154.0509410803115,24.10911143509477,42.484407901115716,41.07404036822766,83.94457420212305,47.11908339192746,123.2680798544759,31.168966565866256,157.66761549117192,30547.19278490211,0.29440312629129695,1.0,0.98,0.8,0.56,0.31,0.3,0.29,0.21
7.0,Apr,4,0.1868411891607012,0.08642296304336289,0.08345318180557071,0.050047583947494576,364.0,231.41,217.0,125.0,1100.0,1010.1203807531764,1100.0,0.0,7050.56754615664,1712.0759070239633,1605.0458856590021,0.0,22.638148392778966,15.126345554179181,14.676094566276841,7.783716468431373,980.5398614882763,973.0301567235138,973.3870034406084,966.5809566261526,990.2604799498225,990.0063987592456,990.0,990.0,3.7123333333333335,192.19484876134044,135.0234946192622,140.3675887854862,0.0,138380.29110816514,97216.9161258688,101064.66392555006,0.0,39223.86215488419,67618.73287628639,82425.35959614407,115437.4519666948,130146.48077826253,134914.9046029889,0.0,96.14260722149531,864.1429577799676,2705.045885659002,26.370465869753424,38.59768097375846,51.621778993407545,76.1172060182792,74.5753180014373,111.39773626863914,70.95895159564395,141.5583953885536,28602.906344942523,0.29421737990443697,1.0,1.0,0.95,0.81,0.16,0.14,0.12,0.08
8.0,May,5,0.2139558679078224,0.13026942660382676,0.12739339285247353,0.06531982547478396,340.0,265.6309677419355,276.0,147.0,1100.0,1042.9862022103853,1100.0,496.7741935483871,4425.3096641375005,935.5588934333024,901.5983361378555,0.0,22.52129066493244,16.780192767578075,16.32939689265362,10.225951357388931,977.8743199264842,971.4258170811412,971.7342957420842,966.7546725576088,990.0371732769879,990.0005800534279,990.0,990.0,3.869677419354839,188.76009859719127,153.15148115878733,156.3614923717576,43.885297182062324,140437.51335631032,113944.70198213779,116332.95032458764,32650.66110345437,87632.5108199311,92526.92310083758,103361.67479741298,126199.96731776235,132102.25787041115,135032.7888335937,107.8140749786213,121.86651528684864,678.5891995686094,2001.5983361378558,33.679015525457054,43.056755284156765,66.25652841374584,85.09992222554625,96.55731288790437,125.02701738063996,120.48523652922376,160.07116940065572,17276.307037918607,0.15162009937615947,1.0,0.95,0.89,0.72,0.2,0.17,0.14,0.12
9.0,Jun,6,0.3673204579890247,0.1951594953491103,0.19066309782198645,0.10848878335597138,293.0,213.16666666666669,210.0,119.0,1100.0,849.6643047677924,925.6724590270107,209.8244664007964,1436.0912047480463,163.1448361188167,64.3528618196307,0.0,24.528254914869812,20.185633348012804,20.095276555614532,15.00538136368432,973.0577166432009,968.4916855842815,968.5061282995816,965.0488137488489,990.0,990.0,990.0,990.0,3.3866666666666667,177.8923414149536,148.56006161543303,161.56156289147117,45.759904023133636,128082.4858187666,106963.2443631118,116324.32528185926,32947.130896656214,52137.472336763174,74222.93243324709,97939.74954841103,122879.40508796755,124581.435390935,126077.01174538257,66.56698330984914,84.58082835740612,344.52094607627646,982.9635628950738,44.46581838086687,50.7837679318238,87.94529986451046,100.74611347456538,129.36148505252396,148.96849919213662,166.00035795124745,193.07774958695046,22953.167588021202,0.21458929863889784,0.95,0.63,0.28,0.06,0.67,0.63,0.56,0.45
10.0,Jul,7,0.44590228728382314,0.32414457456827345,0.3268142766540576,0.20230736209882574,256.0,187.4264516129032,186.0,108.0,959.5932361514771,424.0208986989442,387.5642195239219,135.0659903862797,104.97697493872711,1.7379647520484127,0.0,0.0,25.111358269271218,23.085284108142627,23.297962896295417,19.590145187592444,968.9125654539481,966.2937806281309,966.1626287664532,964.6513477840601,990.0,990.0,990.0,990.0,2.0306451612903227,167.4223947671348,85.32844061888669,79.7441821814113,29.41894264431093,124562.2617067483,63484.3598204517,59329.67154297001,21887.69332736733,36673.85996503388,41749.8832900721,48796.695518386725,76138.60929615222,92411.98039926725,106192.40578358067,44.98617092980627,50.312357494056,224.0165569573399,387.5642195239219,52.01106679506096,55.24377411007069,103.24385914224827,109.86214026391514,152.82202312197964,163.1299569235822,198.46544967081783,213.10617223156774,21310.356755092853,0.3356788477565722,0.57,0.03,,,1.0,1.0,0.99,0.98
