WaterYear,Class,Flow_Exceedance,Flow_min,Flow_mean,Flow_max,Volume,ExceedanceMean,ExceedanceMedian,ExceedanceMeanQ3070
1967,Very Wet,Q3,255.5751765528189,1871.6499768766018,5594.412901538277,59.186064228782655,0.041,0.052000000000000005,0.021
2013,Wet,Q12,198.12123185096627,1347.4379940192125,3614.128646737763,42.49280457938988,0.253,0.133,0.112
2002,Median,Q50,197.4223662590883,1081.3335661813521,3891.7726910160586,34.100935343095124,0.516,0.47500000000000003,0.506
1990,Dry,Q90,201.4210899254934,775.1781415817353,2321.1140501404984,24.446017872921608,0.768,0.92,0.889
1996,Very Dry,Q97,127.73176038820996,556.906124768877,1387.532391939381,17.562591550711307,0.93,0.97,0.96
