DateVal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,DateVal,Day,Exceedance,Flow,Month,Year,m,n,c,WaterYear
1980-10-01,318,324,333,345,360,379,400,424,451,481,515,551,590,632,678,726,777,832,889,950,1013,1079,1149,1221,1297,1376,1457,1542,1629,1720,1980-10-01,1,1,315,10,1980,2,-8,324,1980
1980-10-02,304,293,278,260,237,211,182,148,111,70,26,-22,-74,-130,-189,-252,-319,-390,-464,-542,-623,-709,-798,-891,-987,-1087,-1191,-1299,-1410,-1525,1980-10-02,2,1,311,10,1980,-2,6,311,1980
1980-10-03,315,323,334,349,367,389,415,445,478,516,556,601,649,701,757,816,879,946,1016,1091,1168,1250,1335,1424,1517,1614,1714,1818,1925,2037,1980-10-03,3,1,311,10,1980,2,-9,323,1980
1980-10-04,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,311,1980-10-04,4,1,311,10,1980,-0,0,311,1980
1980-10-05,323,334,349,367,389,415,445,478,516,556,601,649,701,757,816,879,946,1016,1091,1168,1250,1335,1424,1517,1614,1714,1818,1925,2037,2152,1980-10-05,5,1,315,10,1980,2,-6,315,1980
1980-10-06,311,304,293,278,260,237,211,182,148,111,70,26,-22,-74,-130,-189,-252,-319,-390,-464,-542,-623,-709,-798,-891,-987,-1087,-1191,-1299,-1410,1980-10-06,6,1,315,10,1980,-2,9,304,1980
1980-10-07,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,1980-10-07,7,1,315,10,1980,0,-0,315,1980
1980-10-08,304,293,278,260,237,211,182,148,111,70,26,-22,-74,-130,-189,-252,-319,-390,-464,-542,-623,-709,-798,-891,-987,-1087,-1191,-1299,-1410,-1525,1980-10-08,8,1,311,10,1980,-2,6,311,1980
1980-10-09,315,323,334,349,367,389,415,445,478,516,556,601,649,701,757,816,879,946,1016,1091,1168,1250,1335,1424,1517,1614,1714,1818,1925,2037,1980-10-09,9,1,311,10,1980,2,-9,323,1980
1980-10-10,285,259,224,180,127,65,-5,-84,-172,-268,-374,-488,-611,-743,-883,-1033,-1191,-1358,-1533,-1718,-1911,-2113,-2324,-2544,-2772,-3009,-3255,-3510,-3774,-4046,1980-10-10,10,1,303,10,1980,-4,13,303,1980
1980-10-11,301,308,321,338,362,390,424,463,507,557,612,672,738,809,885,966,1053,1146,1243,1346,1454,1568,1686,1810,1940,2074,2215,2360,2511,2666,1980-10-11,11,1,299,10,1980,3,-17,326,1980
1980-10-12,303,310,320,334,351,372,396,424,455,490,528,570,615,664,716,771,830,893,959,1028,1101,1177,1257,1340,1427,1517,1611,1708,1809,1913,1980-10-12,12,1,299,10,1980,2,-9,310,1980
1980-10-13,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,1980-10-13,13,1,299,10,1980,-0,0,299,1980
1980-10-14,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,1980-10-14,14,1,299,10,1980,-0,0,299,1980
1980-10-15,287,276,260,240,217,189,158,122,83,39,-8,-59,-114,-173,-236,-303,-374,-448,-527,-610,-696,-787,-881,-980,-1082,-1188,-1298,-1413,-1531,-1653,1980-10-15,15,1,295,10,1980,-2,6,295,1980
1980-10-16,299,307,319,335,354,378,405,437,472,512,555,602,653,708,767,830,897,968,1043,1122,1204,1291,1381,1476,1574,1676,1783,1893,2007,2125,1980-10-16,16,1,295,10,1980,2,-10,307,1980
