DateVal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,DateVal,Day,Exceedance,Flow,Month,Year,m,n,o,c,WaterYear
1995-10-01,144,144,144,141,136,129,119,105,88,66,40,8,-29,-72,-121,-178,-241,-312,-391,-479,-575,-681,-797,-922,-1059,-1206,-1365,-1536,-1719,-1915,1995-10-01,1,1,141,10,1995,-0,1,-5,144,1995
1995-10-02,131,115,91,56,9,-52,-128,-223,-336,-471,-629,-811,-1019,-1255,-1521,-1818,-2149,-2515,-2917,-3358,-3840,-4363,-4930,-5542,-6201,-6910,-7669,-8481,-9347,-10269,1995-10-02,2,1,139,10,1995,-0,3,-11,146,1995
1995-10-03,127,111,88,56,14,-39,-105,-186,-281,-394,-524,-674,-844,-1037,-1252,-1493,-1759,-2052,-2374,-2726,-3109,-3525,-3974,-4459,-4980,-5539,-6137,-6776,-7456,-8179,1995-10-03,3,1,137,10,1995,-0,2,-5,140,1995
1995-10-04,133,132,133,136,142,152,165,183,207,236,271,314,364,422,489,566,652,749,857,977,1109,1254,1413,1585,1773,1975,2194,2429,2681,2951,1995-10-04,4,1,135,10,1995,0,-2,9,128,1995
1995-10-05,169,208,268,352,465,609,791,1012,1278,1592,1959,2381,2864,3411,4026,4713,5476,6319,7246,8261,9367,10570,11872,13279,14793,16418,18160,20021,22006,24118,1995-10-05,5,1,147,10,1995,1,-8,25,119,1995
1995-10-06,151,157,162,168,174,178,182,185,187,186,184,179,171,161,148,131,110,85,56,22,-17,-61,-110,-165,-226,-294,-368,-450,-538,-634,1995-10-06,6,1,145,10,1995,-0,1,-8,152,1995
1995-10-07,138,124,100,63,13,-54,-139,-244,-373,-526,-706,-915,-1156,-1430,-1739,-2086,-2473,-2902,-3376,-3895,-4463,-5081,-5752,-6478,-7261,-8103,-9006,-9973,-11005,-12105,1995-10-07,7,1,145,10,1995,-0,5,-17,155,1995
1995-10-08,141,130,112,86,50,3,-58,-132,-222,-328,-453,-598,-764,-953,-1165,-1403,-1668,-1961,-2284,-2638,-3025,-3445,-3901,-4393,-4924,-5494,-6105,-6759,-7456,-8199,1995-10-08,8,1,147,10,1995,-0,3,-8,144,1995
1995-10-09,141,136,128,117,104,87,68,44,17,-14,-49,-89,-134,-184,-239,-300,-366,-439,-517,-602,-694,-793,-900,-1013,-1135,-1264,-1402,-1548,-1703,-1866,1995-10-09,9,1,145,10,1995,-0,-0,4,132,1995
1995-10-10,143,146,153,165,184,209,242,285,338,403,480,571,676,798,936,1093,1268,1464,1681,1920,2183,2470,2784,3123,3491,3888,4314,4772,5262,5785,1995-10-10,10,1,142,10,1995,0,-3,14,125,1995
1995-10-11,132,120,104,82,53,16,-29,-83,-147,-223,-310,-410,-524,-652,-796,-956,-1134,-1329,-1544,-1778,-2033,-2309,-2608,-2930,-3277,-3648,-4046,-4470,-4922,-5403,1995-10-11,11,1,139,10,1995,-0,1,-5,150,1995
1995-10-12,160,182,217,266,331,415,521,650,805,988,1202,1449,1731,2050,2409,2810,3256,3748,4290,4882,5529,6232,6992,7814,8698,9648,10666,11753,12913,14147,1995-10-12,12,1,148,10,1995,0,-4,14,134,1995
1995-10-13,160,176,201,234,277,332,400,482,579,694,826,978,1150,1344,1562,1805,2073,2369,2693,3048,3433,3851,4303,4790,5314,5875,6476,7116,7799,8525,1995-10-13,13,1,148,10,1995,0,-2,5,142,1995
1995-10-14,146,139,125,104,75,34,-18,-83,-163,-260,-374,-507,-660,-836,-1035,-1259,-1509,-1787,-2094,-2432,-2802,-3206,-3645,-4120,-4633,-5185,-5778,-6414,-7093,-7817,1995-10-14,14,1,148,10,1995,-0,3,-14,159,1995
1995-10-15,140,125,101,66,18,-45,-124,-222,-340,-481,-646,-836,-1055,-1303,-1584,-1897,-2246,-2633,-3058,-3525,-4034,-4588,-5189,-5839,-6538,-7291,-8097,-8959,-9879,-10859,1995-10-15,15,1,148,10,1995,-0,4,-13,154,1995
1995-10-16,138,126,109,85,54,15,-33,-91,-160,-240,-334,-440,-561,-698,-850,-1020,-1208,-1414,-1640,-1887,-2155,-2446,-2760,-3098,-3461,-3850,-4266,-4710,-5183,-5685,1995-10-16,16,1,145,10,1995,-0,1,-1,141,1995
1995-10-17,151,160,177,202,237,284,344,419,511,621,750,902,1076,1275,1500,1753,2036,2350,2697,3078,3495,3949,4443,4978,5555,6177,6844,7559,8322,9136,1995-10-17,17,1,146,10,1995,0,-4,17,127,1995
1995-10-18,155,164,179,199,226,261,304,357,420,495,582,682,796,925,1070,1232,1411,1609,1827,2065,2325,2607,2912,3242,3596,3977,4384,4819,5283,5777,1995-10-18,18,1,149,10,1995,0,-2,5,144,1995
