,linear_2p,linear_3p,linear_7p,poly_d1_3p,poly_d1_7p,poly_d2_7p,poly_d2_15p,poly_d3_15p,poly_d3_21p
1,0.023975698456987205,0.020780044563998217,0.02065692200378675,0.022701641592297442,0.026739247894274572,0.026976397400134577,0.030300887686072243,0.030798911883775294,0.032405155242766416
2,0.04449817965865405,0.036001245182163404,0.03557022490847053,0.03955953322475269,0.04065090711917479,0.050219099027255805,0.04656544995293966,0.056192665145717226,0.053423506529251874
3,0.06503682149785851,0.051347532403184216,0.050610104240132625,0.05655001175759997,0.055351973043730025,0.07753825770790689,0.06446942675457899,0.08778535761819375,0.07812104650866122
4,0.0862205842770411,0.06759798178322585,0.06666800877449851,0.07448878253025314,0.07122124456354825,0.10946505470065669,0.08431056107638549,0.12681640376668288,0.10718190189135288
5,0.1083762106087311,0.08485273036237748,0.08378875419906794,0.09353511790965859,0.08811262234570402,0.14614709733582337,0.10601861404300181,0.17410854375625034,0.1409208932621647
6,0.13126524635085468,0.10289415295324159,0.10170294887172288,0.11316416482193216,0.10584631828150748,0.18730115353725413,0.129433374327395,0.23035393696095224,0.1796149077760274
7,0.15444386016729417,0.12156877669464024,0.12023325926416525,0.133346993485912,0.12438405369564995,0.23289066538136402,0.1545518257361402,0.2963592292174283,0.22368402086358105
8,0.1782777739487601,0.14099149239915854,0.13941072555131995,0.15434043290049126,0.1436461063479082,0.28323067712091005,0.18143969241204486,0.372909905356907,0.27352970239798763
9,0.2027418558466934,0.16103616876073434,0.1591117025880665,0.17579648366606976,0.16339499610591948,0.338449894785231,0.20999511455388933,0.4607199910853565,0.3293964127893533
10,0.22745013815984627,0.18156955062495037,0.179233215958515,0.19772134898200308,0.18354900576813776,0.3985791103526408,0.24020870886449744,0.5606268558231473,0.3916751483406162
11,0.2527146613817404,0.2025055445647582,0.1997806279313508,0.220338991827142,0.20412741606063653,0.4634383578257757,0.2721297281533878,0.6734172439842672,0.4608371015555967
12,0.27869413806591303,0.2238401997663233,0.2207526200809342,0.24348018481253278,0.2251144003363961,0.5328408816612761,0.3057406188726294,0.7998855468498761,0.5372756261263216
13,0.3048644580835117,0.24546206699748008,0.2419478039049765,0.2666363265875623,0.24638654300751828,0.6067245593834507,0.340955240834143,0.9407786835995967,0.6213368147091541
14,0.3308149463692014,0.26727787723840507,0.26322460131604475,0.2898325129081073,0.26790062697933625,0.6851751192145058,0.37777853850141524,1.0969196736623659,0.7134277421021769
15,0.3571134290814942,0.28943053290070037,0.28475421057970085,0.3135743125467179,0.28972141939165985,0.7685863032917276,0.41635264559158275,1.2691719880531056,0.8139997009027096
16,0.38403985587660217,0.3119473683372338,0.30650640326865763,0.33776346563991455,0.3117331770842786,0.8570840730444759,0.4566298263119302,1.4582255993830753,0.9232628374871718
17,0.41116309099766796,0.3346412552111907,0.32834713001874094,0.3620427695081703,0.33385086770259353,0.9503769818123287,0.4984565294125659,1.6648612588152731,1.0414189929535653
18,0.4382808901897741,0.3573809707613296,0.3502827177205994,0.38654191013538186,0.35605819144704587,1.0483943894435583,0.5417745270092675,1.8899137416622267,1.1688054576831255
19,0.46576866863413874,0.38025008615080685,0.37232605942280744,0.4112867904374665,0.37834978965003374,1.1511372753053635,0.5865396998205746,2.134185622937457,1.305711503807725
20,0.4933359904885949,0.4031569848941285,0.39435526110678876,0.4359495551824639,0.40069041637489183,1.2583679036142064,0.6326459649332681,2.3983601248404107,1.4523662872850456
21,0.5207225498401796,0.4260660636579708,0.41633938680005855,0.46060131871658355,0.4230883529588064,1.3702166807385294,0.680112777887594,2.6831222819558036,1.6091269358328202
22,0.5483479263777356,0.44912780791018847,0.4383569917135096,0.48546704136279434,0.44553603252725177,1.4870394241898177,0.7290464560603551,2.989087280228767,1.7763714906441892
23,0.5760856785374133,0.4722596656760028,0.4604513480735075,0.5103573263161754,0.4679727871801825,1.6087813671567042,0.7794533222271676,3.3167987824229974,1.9543305076357467
24,0.603777929080344,0.4953770194264859,0.4826303371109458,0.5353629273431213,0.49038805707518374,1.735335260594672,0.8313441868079483,3.667011502220147,2.143414944662838
25,0.631771918090873,0.5185235505212952,0.5049745905335565,0.5605382602135552,0.5128927301948071,1.8662522477788657,0.884836153296452,4.0404300161681554,2.344048864598696
26,0.6597448346234445,0.5416702380254894,0.5274978794566636,0.5856153734223646,0.5355846323611523,2.001220077328392,0.9400372632952818,4.437813855989705,2.5566717625221353
27,0.6876824875861056,0.5650767347924328,0.5502691792041912,0.6107222824850569,0.558587784382468,2.1406050673019603,0.9970546349992516,4.860236228701919,2.781811219171048
28,0.7156892776360816,0.5888258567813209,0.573295562375014,0.6359396991646202,0.5819592879924286,2.2846800849884117,1.0559575700031518,5.308609652064618,3.019927943235763
29,0.7438269243175967,0.6130094826643274,0.5966590837594933,0.6616607645489204,0.6057450619888314,2.4338168921533074,1.1168460021606836,5.7838104844555325,3.2714099542665838
30,0.7727669284544543,0.6377087064829111,0.6204335414909131,0.6880309202895475,0.6298769438334137,2.5883306757495324,1.1796355100869713,6.2867108418289686,3.536507016491154
