Exceedance,VicFalls_full,VicFalls_overlap,VicFalls_factor_smooth,Ngonye_gauged,Ngonye_scaled,Ngonye_synthetic,Conversion
0.0,9435.5576,5650.5399,1.6698506279019463,5935.9208,9912.101075056224,9912.101075056224,1.050505067666189
0.001,8391.2178,5561.7039,1.508749467946325,5782.2643,8723.988186150029,8759.321491853902,1.0396569835370055
0.002,7424.0498,5355.4878,1.3862509032323815,5595.7437,7757.104758381909,7711.30408814438,1.0448616277307177
0.003,6653.566,5254.8841,1.2661679826582664,5434.6644,6881.198059772697,6867.96339731113,1.0342120390438296
0.004,6171.567,4975.7204,1.2403363742062354,5118.4467,6348.595621445871,6348.595621445871,1.0286845498794506
0.005,5960.8757,4931.3363,1.2087749318577197,5060.4807,6116.982213309806,6117.665591240456,1.0261885201380405
0.006,5756.5621,4876.3904,1.1804965615550387,5014.0073,5919.018377261864,5914.205541346333,1.0282210587569034
0.007,5622.7563,4839.4749,1.1618525596650993,4969.2973,5773.590787741867,5773.590787741867,1.0268257202863063
0.008,5511.8949,4772.2881,1.1549794950560508,4896.9403,5655.865635013626,5674.464041460988,1.0261200072979668
0.009000000000000001,5370.2935,4695.815,1.1436339591742861,4883.1039,5584.483446216397,5617.413979628223,1.0398842160519528
0.01,5274.881,4639.4496,1.1386761614549241,4862.7197,5537.06300222724,5537.063002227241,1.0497038705190203
0.011,5220.8071,4603.6264,1.129949315593212,4832.9937,5461.037923581306,5461.037923581306,1.046014116013079
0.012,5131.2039,4567.9703,1.1206123403039112,4810.6006,5390.818396633399,5390.8183966334,1.050595240745237
0.013000000000000001,5077.7546,4550.2048,1.1121399318245682,4787.7546,5324.653074436763,5324.653074436762,1.0486235538906827
0.014,4989.1947,4532.4809,1.1032407440546246,4764.9518,5256.888969216422,5256.888969216423,1.053654805096386
0.015,4936.3728,4530.359,1.0936938241866954,4738.5549,5182.528229699604,5182.528229699604,1.049865648254849
0.016,4876.3904,4497.1581,1.0840672801792957,4711.9311,5108.050331969236,5108.050331969236,1.0475064367219729
0.017,4814.0403,4479.559,1.0743597296252296,4669.2142,5016.415705474284,5016.415705474284,1.042038577341009
0.018000000000000002,4762.0068,4462.0015,1.0666251476279984,4645.1427,4954.62601814062,4954.626018140619,1.0404491690647353
0.019,4692.9981,4444.4855,1.060086014021752,4616.492,4893.878603043307,4893.878603043307,1.0428043009527974
0.02,4639.4496,4427.0109,1.053442173442765,4573.9681,4818.410896521875,4818.711802514914,1.0385738205932606
0.021,4590.2785,4385.8012,1.0482437088411216,4541.3286,4760.4191347302585,4760.4191347302585,1.0370654274528786
0.022,4556.2508,4364.8657,1.0441715160821867,4498.752,4697.46869631777,4697.468696317771,1.0309943202243763
0.023,4522.3293,4357.5267,1.04118694537422,4463.2075,4647.033383496309,4647.033383496309,1.0275751886304054
0.024,4488.5142,4323.0324,1.0388031958948498,4418.7483,4590.209855894935,4590.209855894935,1.0226568640230513
0.025,4454.8056,4288.7031,1.0354932617325163,4377.0352,4532.390455966037,4532.390455966037,1.0174159913882745
0.026000000000000002,4421.2037,4271.6002,1.0326986753293734,4358.8005,4501.327502375011,4501.32750237501,1.0181226217590948
0.027,4387.7085,4254.5385,1.0299338355586074,4346.2425,4476.342208292831,4476.342208292831,1.020200455042269
0.028,4354.3203,4254.5385,1.0261740096466885,4328.5355,4441.830629933033,4441.830629933033,1.0200973570853373
0.029,4323.0324,4220.5382,1.02213908144312,4302.4031,4397.654352632032,4404.034538613209,1.0172614835438272
0.03,4277.0944,4199.5442,1.01799880615329,4282.1718,4359.245780143286,4359.245780143286,1.0192072871113824
