Exceedance,Power
0.0,194.04487954898042
0.05,182.46949185310098
0.1,173.9869751355379
0.15000000000000002,163.9991979073249
0.2,155.27828230156922
0.25,146.65958053340978
0.30000000000000004,137.37971376996876
0.35000000000000003,127.63255826972923
0.4,114.81862470859596
0.45,101.77883019624687
0.5,88.87799532461065
0.55,75.08689496365655
0.6000000000000001,64.22202818890396
0.65,57.74786004756362
0.7000000000000001,50.15293280864274
0.75,43.2910861975165
0.8,37.99558113014597
0.8500000000000001,33.62601603800152
0.9,29.999488307181657
0.9500000000000001,25.76448197493576
1.0,0.0
