WaterMonth,MonthName,Month,Flow_min,Flow_mean,Flow_median,Flow_max,Flow_std,Flow_coefvar,Flow_difference_median,Flow_difference_mean,Flow_difference_pct_mean,Flow_P95,Flow_P90,Flow_P75,Flow_P50,Flow_P25,Flow_P10,Flow_P05
1,Oct,10,130.2268076635365,239.58616407749085,231.4048689177781,478.50571121465276,58.52321016331595,24.4,0.5902682614986077,2.042779557877717,0.008756960153959669,161.32637742730623,171.9665770316923,201.4437988057707,228.99998298963658,273.8362959910949,306.151503514564,341.9756798916681
2,Nov,11,130.2268076635365,275.5131793828548,261.07546534639675,667.7618672124422,80.20412625613768,29.1,2.5434918804690625,4.24650857613655,0.015041016456548175,179.3466503527759,202.18851431911204,222.4251573651955,265.9310764686549,306.236440017733,376.5440348694957,410.86161813145407
3,Dec,12,188.7180946975509,433.16494335465717,407.2272222042244,1147.3272276843495,142.4902031441079,32.9,5.565043440168097,8.824996329430638,0.019848543741596673,287.01842421060235,306.820067372927,344.5522657450762,403.1677716693961,508.67730783836925,568.9675798046599,698.2968590190346
4,Jan,1,269.41446232359925,727.4220116311967,648.3065373349955,3908.4893007119,339.26020512940903,46.6,8.65704489006049,16.212994621841624,0.019500089287746752,446.33005702065924,482.06905044371274,551.0188592544034,638.9862269382566,825.6819840283931,997.276846683257,1293.2705324609997
5,Feb,2,390.8976592517362,1361.3926609533567,977.2600169191296,9912.101075056224,1154.0792573067502,84.8,14.143433212826722,34.6809142859371,0.02117421575565788,642.963401994155,700.3192984244399,828.8179693954911,1003.4618171469167,1453.7714846373783,2486.969024857309,3169.4491185631273
6,Mar,3,518.5349271931262,2546.2281561409504,2185.294843907804,9500.24131513754,1643.7501180652068,64.6,27.13589320615415,55.39298967549562,0.021011849943375894,861.1650378352177,919.1005928597451,1203.5920384532046,2350.76422186452,3269.857305173863,4425.486828887398,5634.964030282419
7,Apr,4,705.1343274496213,2987.302029359449,2961.8866977679468,8571.63865618811,1366.999358360002,45.8,22.848941373163825,35.88594235372166,0.011664528435659264,1076.700809985165,1255.240464953955,1951.1318111775458,2959.5088605241335,3942.9000093094915,4733.50330721097,5135.2020901400565
8,May,5,421.27579828384233,2253.6171414049995,2161.1272913294033,5693.5190498526235,956.6018973979577,42.4,31.351152931757497,35.84984385290228,0.01617220349838473,941.4222157237037,1133.8012045573223,1671.8402804438356,2273.7482447493785,2717.308193987255,3345.483824962506,3796.95218049211
9,Jun,6,269.41446232359925,1223.9891354002395,1160.7152979085868,3969.5873284923023,554.046067247469,45.3,26.58949703440078,29.796264187639434,0.024560859376313547,456.0344960499885,647.6394332085342,876.1280291063325,1198.4204479635257,1491.9452794703893,1817.112011451707,2079.0761779461973
10,Jul,7,223.29620539524328,605.4942377178853,547.5554068108875,1861.266119584296,242.26237277597863,40.0,8.696562815256243,11.895162594891016,0.01778397823986815,329.34586530897855,373.5184038192883,454.05313238681754,561.4538684417607,739.8945951915258,874.0332851746612,1025.2534164257565
11,Aug,8,174.75417038542145,389.9112462597742,376.5579225570643,916.5538782645327,107.1827751529772,27.5,3.80071769289043,4.3536151598674575,0.010773320682912292,253.19778167445364,280.3909938380795,317.270910973691,378.5215586855633,454.1510667772345,520.5256365962723,552.4068083450712
12,Sep,9,134.49444318548248,289.38734581886644,275.0270298988171,559.8981151808371,71.10836404501357,24.6,2.223962661095996,2.637884981729737,0.009148245711662135,199.07114937581272,217.82172743549134,242.01243261978973,281.0210277461997,330.8474692602556,375.4097990484586,411.07529791408183
