,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0.0,3445.6562723883435,4607.486825487114,3303.4547294228223,2252.94942663694,1569.566645086851,2175.8537845274404,3345.707466801638,3797.3405085707386,1593.0324376111264,5617.4139796282225,3283.7747978364127,2506.709610818529,3636.513615673937,3248.5622941414613,2891.117890135454,5331.4830933361045,3345.707466801638,2175.8537845274404,1683.4305970646826,2549.2628477944536,3908.489300711898,1569.566645086851,4795.818222324392,6156.058548586994,916.553878264532,5256.888969216421,4476.342208292831,6156.058548586994,5888.375322344647,3825.6459193409837,3797.3405085707386,5693.5190498526235,9125.046264119264,9912.101075056224,4501.327502375012,4795.818222324392,6109.560283746436,5632.210260458824,7034.53654195357,2454.2146867348292,2758.936868602477,5461.037923581307,3445.6562723883435,5594.069795175452,8571.63865618811,4990.690795553161,3141.212178585448,1879.5337399159118,1228.7491541059394,2860.071249515923,5498.718803886681,5537.063002227241,2851.0349296246973,6348.595621445872,5390.8183966334,3076.024264251512,3445.6562723883435,1434.0918404196534,1136.328881646943,1794.2212989814325,1938.363286248882,3058.1393347436165,2069.441905878044,2463.969763289497,3825.6459193409837,1015.7994747954344,2294.569526323532,916.553878264532,3616.3691610323467,1831.6933538389774,1248.1416263717365,842.9290012782408,1400.0244225869644,3541.997508035785,3403.3238471521345,3398.647444510813,3713.5335196001893,2025.040272987144,3880.4025356116854,4415.1782075782985,1324.1204182711404,2692.4792859631725,4709.55143425364,3373.2020563394613,5802.119702824012,5217.222299884962,4445.101470098793,3576.863065376636,3651.1551603066255,3618.0674289186213,1455.6394800691903,2983.091137353512,3912.450050414485,4855.789687611938,1103.6228892052877,4709.55143425364,3732.96906179188,3116.982121993498
0.01,3419.9005276636085,4513.614159042187,3224.5218971865447,2252.94942663694,1549.423723900221,2143.3583276949166,3303.4547294228223,3764.249434869951,1569.566645086851,5520.978609687927,3069.008942720062,2493.710954065845,3616.3691610323467,3120.5719160970775,2818.213907580788,5220.552053947038,3345.7074668016376,2159.6705315052645,1683.4305970646828,2549.2628477944536,3859.6898796577434,1558.4877544613946,4760.4191347302585,6057.91525910667,910.6807772636248,5195.827742955341,4417.641131488346,6130.658930656822,5787.326992737488,3776.1622214022354,3741.0998613728943,5674.759172260001,8964.768522529846,9912.101075056224,4460.400803986277,4760.4191347302585,6006.8480576859665,5610.606839102512,7013.765530782617,2403.186709298232,2708.894991846261,5397.576556436161,3419.9005276636085,5467.627336575767,8480.981341544217,4954.626018140619,3132.414516155599,1879.5337399159118,1228.7491541059394,2854.2880047855388,5479.864817851192,5378.651154300298,2851.0349296246973,6300.759721176748,5335.740204472222,3047.4720905583717,3419.9005276636085,1403.9012323842576,1117.9595850490366,1787.9830070499418,1921.140060929873,3026.2429734869697,2062.9381034775606,2423.2006875313914,3788.286972429187,1013.6162366701094,2272.2434785040423,907.3771579506143,3569.6601221072224,1822.3313243484292,1244.778764263392,842.9290012782408,1400.0244225869644,3525.1589652311923,3384.045901032024,3390.4929600611367,3652.289748611345,2013.9083433081928,3871.7754406900817,4371.077451777175,1315.9024914298154,2682.997191262828,4657.464915781209,3276.736236763816,5743.52815902878,5166.386070180925,4445.101470098793,3548.768367892608,3623.714311843658,3572.641729217653,1455.6394800691903,2983.091137353512,3889.608977258228,4744.596996965923,1078.7697296498936,4619.494960238636,3711.4267476543123,3108.8780711282125
0.02,3333.8767003355683,4458.846567917367,3108.752897303941,2241.268990056788,1531.9595851861513,2091.9972554937162,3259.666590538928,3707.228803232147,1515.2157521693339,5351.536527431007,2999.725006728182,2446.213341911159,3512.361395144192,3088.3326902337412,2789.9213583768524,5128.010462798635,3224.089821830547,2125.311197804528,1683.4305970646826,2506.709610818529,3777.8897797752716,1536.2313009919985,4635.960347253734,5920.943440297457,900.7722713547246,4980.592657877648,4315.728485239508,6039.452758266473,5625.775360006083,3703.4439590849693,3649.865105178099,5655.865635013625,8715.791611440625,9772.393438230307,4265.89800801754,4624.830814663483,5992.884749901899,5556.038079213064,6811.923577924886,2389.3556397501357,2708.894991846261,5316.106872630856,3333.8767003355683,5447.218341418518,8416.883285206124,4947.809208795251,3088.3326902337412,1849.3383898749898,1221.034952539229,2821.386512520475,5457.168440575726,5321.09512981708,2841.176708552687,6273.912811083881,5259.8092320056085,3037.0826249363586,3419.9005276636085,1376.474563046122,1117.9595850490366,1769.3102693715227,1898.7540479665963,2907.129109988823,2034.9046665108713,2403.186709298232,3749.765986323985,1010.7988512186993,2263.0908465866933,898.4080553732088,3489.207231468605,1814.4605172456695,1238.9285142654255,836.8761499139267,1400.0244225869644,3465.984835309785,3373.2020563394613,3331.950986030477,3622.266343822137,2013.9083433081928,3798.0151750638206,4271.9298416558095,1301.3781623864031,2653.4847497923397,4599.049599561864,3207.9831132791305,5699.456977346656,5127.451198683762,4395.105370054942,3501.85231034926,3572.517397206655,3533.098018480167,1443.9134076440837,2977.6731260145243,3839.634257161909,4709.55143425364,1054.628947615545,4519.6938439604255,3646.2040380162825,3067.627513923029
0.03,3303.4547294228223,4443.191904971779,3012.9992807850854,2200.5867087137194,1500.4058125974036,2039.0910236564553,3207.2397337492266,3675.4412408130847,1500.4058125974036,5156.372820220046,2944.2546914219156,2403.186709298232,3423.5982846804864,2969.586908725997,2758.936868602477,4991.977041049217,3031.21015082671,2100.768780344257,1683.4305970646826,2506.709610818529,3677.984245806609,1502.051361438729,4496.532527485074,5888.375322344647,900.7722713547246,4823.40948169737,4230.885453559564,5889.3364671577365,5415.2129631601,3549.3104982645214,3569.6601221072224,5600.142681883048,8218.59566033235,9513.53233991861,4102.47583021672,4412.540855456064,5889.913154045588,5484.440672601275,6697.8775641748325,2339.013659097848,2677.9603911027107,5042.51128548996,3181.4854301751475,5326.519980894696,8215.013949902528,4913.2660243409855,3043.04108143527,1832.5756056407781,1210.5451932047783,2764.6423530231077,5409.59106275218,5204.71153136463,2799.752082681088,6214.868489106438,5059.214767910077,3011.2882077153763,3309.5383984816717,1338.5432815744439,1103.0598300074992,1759.2846584139886,1898.7540479665963,2762.2020857287653,2016.9795410684903,2316.6228966791095,3724.4613743444534,1006.7120437749194,2252.94942663694,898.4080553732088,3381.963388345964,1770.8040883857961,1225.4050914486697,828.8802897391215,1384.6261958794144,3398.647444510813,3289.782308820184,3132.7909959271806,3546.387280989888,1970.1364071841913,3728.751486560474,4186.2889662849575,1296.0127262724432,2636.586931341816,4557.574960967269,3165.875456638449,5649.036708895035,5108.050331969235,4352.279547813507,3459.7070748914043,3561.342821912421,3489.1299590663916,1435.719992468407,2965.031099556888,3764.4714120221665,4658.921926972071,1032.1424025149652,4463.665931382469,3587.955747452238,3034.3248679341623
0.04,3241.885630756271,4404.034538613209,2884.0176089682936,2200.5867087137194,1472.9651816414466,1948.128616938866,3121.433655464794,3636.513615673937,1475.9877239208065,4954.626018140619,2891.117890135454,2403.186709298232,3342.433267932396,2790.1166032544697,2758.936868602477,4901.058310655365,2951.0312843003794,2065.799776533773,1683.4305970646826,2458.1167173566964,3523.904658986816,1500.4058125974036,4338.090678942693,5796.500296387173,900.7722713547246,4725.166889219265,3983.5352435622526,5697.4947490825,5344.906661850211,3464.651260793361,3473.4072299541363,5461.037923581307,7483.510914514977,9241.613228907625,3912.5515247747066,4280.512048146725,5830.8645593551355,5432.227681516995,6608.795103362124,2338.5880238421,2677.026959650853,4632.681001572611,3056.8184625828794,5312.793259037823,7964.94602539548,4828.389625956108,3010.501114780029,1763.2949027970021,1210.5451932047783,2718.0191594541047,5294.130925129956,5067.045840738578,2761.4472817475544,6098.633888552671,4872.76510793991,2965.9380244987133,3224.5800941022535,1304.430053725159,1103.0598300074992,1719.2758194176733,1881.4181045489659,2599.3742333414525,1976.9353852976071,2263.0908465866933,3633.3919646605236,998.4660674030702,2159.6705315052645,898.4080553732088,3194.1020878387376,1746.6008363381459,1210.2544854472196,818.4939733497393,1377.322147570461,3359.4494580796854,3205.6729754759726,2999.16769168702,3517.219911982216,1939.8066690670814,3614.271793393446,4119.881769722608,1290.832697165613,2595.9972136829556,4531.490627660285,3148.398147357801,5577.21532994885,5051.372665184922,4323.5595541597095,3383.3802116080014,3550.5094461415047,3465.636343991317,1426.9543983959256,2965.031099556888,3610.7794728227755,4531.490627660285,1019.8058242673404,4378.066808437561,3541.251755363146,2997.205258358056
0.05,3177.7431286958968,4217.922271052785,2761.6692918430554,2200.5867087137194,1410.793338690556,1829.8209479408679,3023.0946017455817,3513.5981734130455,1468.9278399787122,4534.888248600173,2840.778360235976,2373.403235588493,3260.9004012497585,2686.3612741694333,2597.2476945954686,4670.653986212063,2884.9085620115484,1990.1203823197316,1678.792737896896,2425.873210479825,3440.5051234433968,1472.9651816414466,4224.298785427251,5745.847458062594,900.7722713547246,4435.9726750376385,3720.182612233104,5606.8205706034505,5106.815287248997,3410.2855387523305,3410.2855387523305,5354.364176030604,6734.835727094346,9185.591645039967,3560.5090294831416,4159.173166623488,5651.972503544511,5330.117089556236,6464.144958911854,2302.461124730477,2667.091890736426,4313.275350787475,2925.8588321394327,5247.534557431479,7656.680817955636,4760.4191347302585,2942.312566665618,1759.2846584139886,1208.3900479366505,2639.386379720167,5245.708379902766,4943.926481623828,2718.0191594541047,5944.881855885401,4621.31057433706,2944.254691421915,3116.6940889423536,1279.4833372799076,1103.0598300074992,1697.1930244746482,1849.3383898749898,2427.5435373225964,1956.1184329579442,2194.4034776671497,3534.5685159435166,981.9174252684837,2125.311197804528,898.4080553732088,3023.0946017455817,1704.3669947610729,1185.2449592436806,814.2965068478957,1352.119233494731,3254.8923141191112,3077.186427453236,2918.3113772919305,3408.7806734760884,1919.904049735665,3499.0865818095062,4040.2861291459435,1289.9434537138582,2591.919626133224,4398.796071174689,3137.1194312504417,5496.6829466126865,4993.184419267674,4284.868620002027,3300.7675176160583,3531.788732208905,3440.7634426602103,1403.5352538813586,2947.9108711213107,3552.5182399263804,4477.27987333078,1013.7186052180156,4328.933609756436,3477.311077883423,2938.9420463405622
0.06,3161.160607316777,4100.261070411903,2607.097323468774,2200.5867087137194,1400.0244225869642,1743.3548128365035,3010.501114780029,3424.5227239347055,1410.793338690556,4287.078422458034,2712.1628918981237,2373.403235588493,3168.2928200546658,2406.014792602756,2579.1102245587626,4441.8306299330325,2804.559733756507,1905.091526091761,1660.241301225748,2373.403235588493,3301.0976008937164,1456.0083466579601,4187.9334126730355,5693.535052946418,900.7722713547246,4189.6443415216,3451.5798634768853,5366.751189511109,4964.512368114003,3293.6840248708468,3303.4547294228223,5182.528229699603,6076.803122660219,9012.802804386756,3427.2960416973647,4020.766252125687,5501.18667645932,5225.458145619014,6319.036153707545,2294.569526323532,2627.3516150787163,4046.955578708139,2745.3962527275335,5182.528229699603,7462.172009239688,4722.263884977708,2915.312002155124,1735.4046081482386,1194.3579835770493,2553.7635129207165,5081.003344060038,4784.129875472026,2651.671638420417,5804.899361121854,4257.817322906838,2921.0965185319415,3088.3326902337412,1265.5037400356093,1099.3969464936358,1683.4305970646826,1798.718903040151,2318.514645646451,1886.2064125943969,2143.3583276949166,3468.771486585336,977.2600169191287,2107.2037932729168,886.249798146042,2869.5962250187777,1668.8566183355247,1154.434316537102,801.0950125646472,1322.3006202833476,3198.5134565613575,2967.920705604347,2797.2534585274498,3303.9582415829013,1912.660496876595,3378.0215428694883,4026.54791401878,1289.9434537138582,2583.3005882760244,4261.361538760339,3128.814245872609,5402.795577401705,4951.155672077439,4217.972878731236,3199.295889205388,3501.85231034926,3428.5991453471447,1384.1938788753293,2914.954237545599,3461.379432842661,4390.007404900764,1008.588659164305,4292.2676155942845,3465.7597360608215,2900.8640031974724
0.07,3122.295394832511,3889.8045680828095,2475.7955586024473,2180.102261248604,1366.853863044546,1676.4350872746872,2939.593592006801,3255.5024793898788,1392.633273767341,4061.2034121475435,2627.3516150787163,2373.403235588493,3116.6940889423536,2252.94942663694,2549.2628477944536,4261.0258338836875,2758.936868602477,1842.5774178710808,1642.9411940446546,2345.2201931523214,3168.1668061014984,1434.0918404196534,4127.9455679721195,5645.159523473563,899.637447683597,4033.5736254170088,3295.5149620022084,5101.137045821428,4847.621557924983,3160.2082726428825,3237.0229036031023,4992.341608955899,5632.210260458824,8849.708756787779,3266.8727960628376,3844.5361053785937,5274.165833303913,5013.494596551758,6273.912811083881,2294.569526323532,2588.130878115853,3781.456793194362,2613.9957512243122,5070.883582931186,7275.675787254176,4562.456543929067,2829.7999019024605,1702.456766699843,1190.6331193764433,2532.806725618607,4856.14324019391,4607.486825487114,2646.8420534241445,5675.445410729906,4054.3600551303607,2874.0422377947134,3076.024264251512,1234.3561858782014,1098.6992543957574,1654.6031349755472,1779.0200929643013,2188.714905104306,1855.5408093238289,2082.682782545041,3463.4952946938206,958.3970230713375,2066.320080725812,882.9657604656668,2798.5242784403736,1590.743724859712,1134.5216948182538,788.4621603866118,1316.85888499618,3194.422302895865,2921.8723733444604,2767.0598719067007,3282.493938621426,1912.6604968765948,3212.8241726601664,4007.451715623484,1277.1573513904264,2563.2004321047334,4020.981133003455,3102.398607762802,5182.617256992713,4875.867106980322,4176.839717464499,3125.8671109364086,3451.6785624913387,3403.3238471521345,1349.5806996685562,2899.6267334884,3306.4884301468837,4298.194507557506,1008.588659164305,4256.346470032935,3421.724615042729,2848.8569263233294
0.08,3039.8699638804874,3716.6426054039944,2403.186709298232,2175.8537845274404,1294.6987508343461,1585.9479244323386,2886.3079348741635,3174.426624420073,1377.322147570461,3825.6459193409837,2569.9024754449424,2345.3981879340668,3086.8556791158735,2197.618757811366,2506.709610818529,4090.5633999454476,2667.726952338595,1735.1784156754657,1642.9411940446546,2314.6911450377565,3039.8699638804874,1400.0244225869644,3947.657270449301,5598.454914589585,863.3386507503644,3908.489300711898,3122.7698541422005,4795.941919298431,4657.612756956785,3080.8819242241284,3113.29072109732,4844.10439103753,5056.114658034873,8745.928037117897,3002.551543977055,3693.0857657205056,5032.368832587473,4820.560225043593,6170.940346820297,2294.569526323532,2549.2628477944536,3480.6919695336783,2508.85812033147,4964.076651799836,7092.003501925508,4472.200818889655,2727.9633422444513,1667.1335549135695,1160.715297908586,2506.709610818529,4572.404348779506,4549.524758677008,2646.8420534241445,5635.897211602948,3962.2555651586526,2849.9481481497573,3073.8780727105645,1208.9962832172498,1098.6992543957574,1602.6270366922504,1740.3582417483044,2104.2612719855715,1822.3313243484292,2013.3265224969996,3419.9005276636085,954.2821315302074,2003.0596563374431,877.955265790124,2673.957389056277,1544.6079812866158,1100.9896842385929,776.6340951849378,1283.7282133854974,3179.9623465516347,2864.378325772223,2720.784778312747,3257.8258511511103,1884.6838558844534,3094.815034942537,3992.498941295722,1272.8915620419302,2526.302210107259,3856.687143606212,3062.38230113231,4970.183560289461,4834.838417454545,4109.0865761578425,3043.9461947700192,3382.297001636389,3398.647444510813,1349.5806996685562,2859.102261897819,3144.5896497200374,4164.9742534828765,1003.2110657091913,4185.006089602839,3386.8420235711787,2776.74653616921
0.09,3010.5011147800296,3675.4412408130847,2403.186709298232,2175.8537845274404,1261.6838271960748,1514.51953624818,2760.3061848634284,2989.462665940701,1306.3583848203052,3641.7831959772457,2454.2146867348292,2297.5877691306664,3033.898100188565,2062.9381034775606,2403.186709298232,3838.072426546624,2403.186709298232,1618.2774340057038,1642.9411940446546,2294.569526323532,2907.129109988823,1384.6261958794144,3879.7630520343682,5461.793193897952,845.7442815777458,3908.489300711898,3010.5011147800296,4428.4226277926655,4473.144032665212,2929.750590734978,3014.2791608696953,4714.9962183581765,4561.391183768308,8577.09323511173,2897.954159641052,3488.862608035999,4820.560225043593,4701.675301607469,6079.922852287479,2264.4637413742958,2516.9223876927513,3298.638638388067,2403.7166610944614,4869.767330703679,6915.25156785599,4290.3536978157135,2654.086430918555,1642.9411940446546,1153.2379391330098,2469.4278226647048,4310.169471791607,4518.419337700055,2643.4623466909975,5579.607411924251,3809.594479360776,2789.8753789428097,3058.139334743616,1181.4568656137844,1098.6992543957574,1569.566645086851,1678.4646849956848,2006.1397161853101,1787.9830070499418,1904.6954337089405,3412.593136091037,947.9134202370973,1963.5421882039545,864.5221936900263,2552.19493491488,1493.923486692468,1054.2618489933818,763.6716856876753,1280.3649173378296,3128.814245872609,2816.6506732369385,2533.731719722139,3225.5518899498197,1835.5681852733248,2924.454698111415,3981.1719568251947,1268.9841555903747,2515.1477793929716,3679.465737640626,3038.1736479965575,4709.933557472153,4725.081917316613,4087.584085731596,2945.788374528239,3253.9056777073847,3388.268214229827,1349.5806996685562,2820.519136431998,3042.502648867532,4125.9416084354325,997.7804341822828,4114.149310841671,3351.7996396544368,2708.128908273033
