WaterYear,Days,StartDate,EndDate,MonthId,Month_power_max
1933,4,1934-03-25,1934-03-28,1934.03,181.66128980568007
1947,32,1948-03-04,1948-04-04,1948.03,104.68554603287019
1951,20,1952-03-02,1952-03-21,1952.03,103.85219704747831
1952,10,1953-03-21,1953-03-30,1953.03,188.14777369162638
1955,13,1956-05-05,1956-05-17,1956.05,114.08947166862673
1956,27,1957-03-02,1957-03-28,1957.03,104.34673134517996
1957,60,1958-02-03,1958-04-03,1958.02,108.22174601853376
1960,22,1961-04-02,1961-04-23,1961.04,98.03367545475795
1961,11,1962-04-04,1962-04-14,1962.04,102.10704341240972
1962,46,1963-03-02,1963-04-16,1963.03,88.70464087397863
1967,3,1968-04-07,1968-04-09,1968.04,125.77623780076622
1968,59,1969-03-03,1969-04-30,1969.03,93.56658149380571
1975,2,1976-04-01,1976-04-02,1976.04,105.37337181185323
1977,35,1978-04-01,1978-05-05,1978.04,0.0
2008,17,2009-03-16,2009-04-01,2009.03,149.40437743094367
