MonthId,Year,Month,Days,DateStart,WaterYear,WaterMonth,Flow_min,Flow_mean,Flow_median,Flow_max,Volume,Flow_range
1924.1,1924,10,31,1924-10-01,1924,1,130.2268076635365,136.77152602914794,138.40948658747786,142.60018411583582,0.3663288553164699,12.373376452299311
1924.11,1924,11,30,1924-11-01,1924,2,132.5871584549677,153.655969426282,144.8748591915465,192.03405238572148,0.398276272752923,59.44689393075379
1924.12,1924,12,31,1924-12-01,1924,3,193.12284525271957,276.15706825370796,269.41446232359874,441.96648383669736,0.7396590916107315,248.8436385839778
1925.01,1925,1,31,1925-01-01,1924,4,418.5545619886844,704.0599698038668,602.832325790266,1199.7694668641388,1.885754223122677,781.2149048754545
1925.02,1925,2,28,1925-02-01,1924,5,1126.3820015157123,1210.2410151162971,1179.8333969152577,1434.0918404196532,2.9278150637693465,307.70983890394086
1925.03,1925,3,31,1925-03-01,1924,6,1377.3221475704613,1920.5892719446347,1487.5423727119592,3445.6562723883435,5.14410630597651,2068.334124817882
1925.04,1925,4,30,1925-04-01,1924,7,3010.5011147800287,3200.7424754938497,3177.7431286958963,3419.9005276636085,8.296324496480059,409.39941288357977
1925.05,1925,5,31,1925-05-01,1924,8,1569.566645086851,2211.3486952104945,2150.4435049307785,3026.2429734869697,5.922876345251788,1456.6763284001188
1925.06,1925,6,30,1925-06-01,1924,9,854.6593358595118,1182.6472126353672,1154.0212627964675,1536.2313009919983,3.0654215751508724,681.5719651324865
1925.07,1925,7,31,1925-07-01,1924,10,352.714090487628,529.7039990957325,497.238535431987,842.9290012782407,1.41875919117801,490.21491079061263
1925.08,1925,8,31,1925-08-01,1924,11,234.5309872359149,277.4332945244249,271.9562257336665,341.99444031358274,0.7430773360542198,107.46345307766785
1925.09,1925,9,30,1925-09-01,1924,12,186.61180022177248,205.052108731323,202.95945475646465,232.68889005601648,0.5314950658315891,46.07708983424399
1925.1,1925,10,31,1925-10-01,1925,1,159.36433036475563,169.89471363939376,167.0384454100125,186.61180022177248,0.45504600101175224,27.247469857016853
1925.11,1925,11,30,1925-11-01,1925,2,160.88609562814165,199.8871132111249,189.32292630374698,285.9517742421789,0.5181073974432358,125.06567861403724
