WaterYear,Class,Flow_Exceedance,Flow_min,Flow_mean,Flow_max,Volume,ExceedanceMean,ExceedanceMedian,ExceedanceMeanQ3070
1967,Very Wet,Q3,256.6659042898363,1868.2022331219632,5594.069795175452,59.077038296675966,0.042,0.062,0.021
2013,Wet,Q12,200.08712330781785,1345.00258710523,3618.067428918621,42.416001586950536,0.258,0.14200000000000002,0.114
2002,Median,Q50,197.8839798091028,1078.1266682325297,3880.402535611685,33.99980260938106,0.516,0.464,0.495
1990,Dry,Q90,202.369186494966,772.5465503201281,2294.569526323532,24.363028010895558,0.774,0.918,0.887
1996,Very Dry,Q97,130.2268076635365,554.6828960384554,1400.0244225869646,17.49247980946873,0.9390000000000001,0.97,0.9590000000000001
