,year,month,node,cat,flow_sum,value
120,2016,6,RSA,morning,-634,-80278.89999999998
121,2016,6,RSA,off,-271,-20386.41
122,2016,6,RSA,standard,-496,-58935.189999999995
123,2016,6,ZAMC,evening,327,49979.490000000005
124,2016,6,ZAMC,morning,914,122771.65999999999
125,2016,6,ZAMC,off,4353,257047.89000000013
126,2016,6,ZAMC,standard,2205,229676.78999999998
127,2016,6,ZAMZ,evening,57,7444.25
128,2016,6,ZAMZ,morning,964,112389.79000000001
129,2016,6,ZAMZ,off,3762,253316.64999999994
130,2016,6,ZAMZ,standard,2596,305137.31999999995
131,2016,6,ZIM,morning,9,1008.4600000000016
132,2016,6,ZIM,off,20,1140.3200000000002
133,2016,6,ZIM,standard,-2,-251.75
134,2016,7,BOT,morning,-10,-1131.1999999999998
135,2016,7,BOT,off,-2844,-156466.31999999995
136,2016,7,BOT,standard,-182,-19276.35
137,2016,7,MOZ,evening,-302,-45411.950000000004
138,2016,7,MOZ,morning,-2584,-363275.7800000001
139,2016,7,MOZ,off,-12506,-787186.5
140,2016,7,MOZ,standard,-6213,-718608.0899999994
141,2016,7,RSA,evening,-100,-19891.62
142,2016,7,RSA,morning,1495,217298.84999999995
143,2016,7,RSA,off,-311,-23166.290000000005
144,2016,7,RSA,standard,-364,-48304.549999999996
145,2016,7,ZAMC,evening,345,57800.75999999998
146,2016,7,ZAMC,morning,675,96457.52999999998
147,2016,7,ZAMC,off,8288,480403.3100000002
148,2016,7,ZAMC,standard,2561,288652.51
149,2016,7,ZAMZ,evening,55,7152.25
150,2016,7,ZAMZ,morning,431,51675.95
151,2016,7,ZAMZ,off,7371,486305.88000000006
152,2016,7,ZAMZ,standard,3982,473694.75999999995
153,2016,7,ZIM,evening,2,350.5600000000013
154,2016,7,ZIM,morning,-7,-1025.3499999999995
155,2016,7,ZIM,off,2,109.91999999999098
156,2016,7,ZIM,standard,216,23841.72
157,2016,8,BOT,off,-2417,-117745.77999999998
158,2016,8,BOT,standard,-220,-24435.800000000003
159,2016,8,MOZ,evening,-1077,-183988.59000000005
160,2016,8,MOZ,morning,-4239,-641839.5400000002
161,2016,8,MOZ,off,-53176,-2685357.419999997
162,2016,8,MOZ,standard,-12917,-1533912.9199999992
163,2016,8,NAM,morning,-50,-8364.73
164,2016,8,NAM,off,1063,51542.92
165,2016,8,NAM,standard,-38,-4411.86
166,2016,8,RSA,evening,-438,-81318.94999999995
167,2016,8,RSA,morning,1201,214378.61999999997
168,2016,8,RSA,off,-16376,-867170.8500000002
169,2016,8,RSA,standard,-2042,-251938.23000000004
170,2016,8,ZAMC,evening,1388,243012.54999999996
171,2016,8,ZAMC,morning,2524,371227.6899999999
172,2016,8,ZAMC,off,42053,2086338.659999999
173,2016,8,ZAMC,standard,10224,1234423.449999998
174,2016,8,ZAMZ,evening,125,21927.85
175,2016,8,ZAMZ,morning,561,64201.899999999994
176,2016,8,ZAMZ,off,28857,1532649.8600000003
177,2016,8,ZAMZ,standard,4997,580764.63
178,2016,8,ZIM,evening,2,367.14000000000124
179,2016,8,ZIM,morning,3,396.0600000000022
180,2016,8,ZIM,off,-4,-257.38999999999396
181,2016,8,ZIM,standard,-4,-489.27000000000226
182,2016,9,BOT,morning,-403,-35940.1
183,2016,9,BOT,off,-3210,-124410.55
184,2016,9,BOT,standard,-1071,-84674.98000000001
185,2016,9,MOZ,evening,-874,-161263.11999999997
186,2016,9,MOZ,morning,-4017,-507973.25000000006
187,2016,9,MOZ,off,-44569,-2296261.0300000003
188,2016,9,MOZ,standard,-13763,-1497512.4199999992
189,2016,9,NAM,off,11348,501151.14999999985
190,2016,9,NAM,standard,248,26088.33
191,2016,9,RSA,evening,-298,-56122.53000000001
192,2016,9,RSA,morning,-1264,-155289.80000000002
193,2016,9,RSA,off,-5936,-330009.28
194,2016,9,RSA,standard,-2668,-320416.64000000013
195,2016,9,ZAMC,evening,1171,217209.76999999996
196,2016,9,ZAMC,morning,4699,588548.78
197,2016,9,ZAMC,off,33271,1700632.9199999992
198,2016,9,ZAMC,standard,13183,1433342.6499999997
199,2016,9,ZAMZ,morning,936,105329.01
200,2016,9,ZAMZ,off,9094,548805.19
201,2016,9,ZAMZ,standard,4051,441239.13000000006
202,2016,9,ZIM,evening,1,175.88000000000284
203,2016,9,ZIM,morning,49,5325.360000000008
204,2016,9,ZIM,off,2,91.60000000000173
205,2016,9,ZIM,standard,20,1933.9300000000012
206,2016,10,BOT,evening,-4,-479.62
207,2016,10,BOT,morning,-1775,-150699.91
208,2016,10,BOT,off,-11114,-425302.54999999993
209,2016,10,BOT,standard,-4383,-314062.87999999995
210,2016,10,MOZ,evening,-2131,-258571.46999999994
211,2016,10,MOZ,morning,-5449,-462013.69000000006
212,2016,10,MOZ,off,-29523,-1170886.4100000001
213,2016,10,MOZ,standard,-19343,-1501300.0599999996
214,2016,10,NAM,morning,40,3413.1400000000003
215,2016,10,NAM,off,21666,821286.76
216,2016,10,NAM,standard,72,2706.48
217,2016,10,RSA,evening,-1013,-117378.68000000001
218,2016,10,RSA,morning,-723,-67698.4
219,2016,10,RSA,off,-8777,-368881.71000000014
220,2016,10,RSA,standard,-4765,-418264.5900000001
221,2016,10,ZAMC,evening,1196,153317.34999999998
222,2016,10,ZAMC,morning,3392,292681.86
223,2016,10,ZAMC,off,15730,622334.0399999996
224,2016,10,ZAMC,standard,12499,992355.8200000002
225,2016,10,ZAMZ,evening,1955,223431.55000000005
226,2016,10,ZAMZ,morning,4271,366170.32999999996
227,2016,10,ZAMZ,off,11808,511919.5399999997
228,2016,10,ZAMZ,standard,13850,1085896.6399999994
229,2016,10,ZIM,evening,-3,-319.1299999999974
230,2016,10,ZIM,morning,244,18146.67
231,2016,10,ZIM,off,210,9530.329999999996
232,2016,10,ZIM,standard,2070,152668.59000000003
233,2016,11,BOT,morning,-357,-31483.170000000002
234,2016,11,BOT,off,-2408,-91474.59
235,2016,11,BOT,standard,-840,-62437.95
236,2016,11,MOZ,evening,-1909,-227390.9800000001
237,2016,11,MOZ,morning,-5898,-553524.32
238,2016,11,MOZ,off,-36167,-1445460.2400000005
239,2016,11,MOZ,standard,-15630,-1222410.5399999998
240,2016,11,NAM,morning,-11,-1286.63
241,2016,11,NAM,off,34053,1285212.7499999998
242,2016,11,NAM,standard,296,14248.840000000004
243,2016,11,RSA,evening,-2466,-296145.02
244,2016,11,RSA,morning,-2892,-262983.14
245,2016,11,RSA,off,-29419,-1122662.9699999997
246,2016,11,RSA,standard,-12931,-1037470.030000001
247,2016,11,ZAMC,evening,2267,272698.87000000005
248,2016,11,ZAMC,morning,4614,440057.92999999993
249,2016,11,ZAMC,off,16275,637591.39
250,2016,11,ZAMC,standard,14140,1120814.0599999994
251,2016,11,ZAMZ,evening,2045,243274.22
252,2016,11,ZAMZ,morning,3525,326828.02999999997
253,2016,11,ZAMZ,off,16605,687248.0799999997
254,2016,11,ZAMZ,standard,12082,966653.2099999998
255,2016,11,ZIM,evening,63,7562.909999999994
256,2016,11,ZIM,morning,1019,82391.29999999999
257,2016,11,ZIM,off,1061,49545.57999999999
258,2016,11,ZIM,standard,2883,220602.40999999997
259,2016,12,BOT,evening,-370,-34170.869999999995
260,2016,12,BOT,morning,-2650,-177930.98
261,2016,12,BOT,off,-10741,-392505.5400000001
262,2016,12,BOT,standard,-7680,-523824.71999999986
263,2016,12,MOZ,evening,-1102,-108503.77999999998
264,2016,12,MOZ,morning,-2683,-197175.69999999995
265,2016,12,MOZ,off,-32338,-1181925.9900000012
266,2016,12,MOZ,standard,-8018,-499218.5199999996
267,2016,12,NAM,evening,-116,-10807.960000000001
268,2016,12,NAM,morning,-1007,-58310.479999999996
269,2016,12,NAM,off,11366,447188.4400000002
270,2016,12,NAM,standard,-2006,-123922.92999999995
271,2016,12,RSA,evening,-1196,-116263.46999999999
272,2016,12,RSA,morning,-306,-24316.589999999997
273,2016,12,RSA,off,-10074,-385162.4300000002
274,2016,12,RSA,standard,-3655,-244252.61999999988
275,2016,12,ZAMC,evening,1596,159155.06999999998
276,2016,12,ZAMC,morning,3505,243969.07999999993
277,2016,12,ZAMC,off,16131,566349.4500000008
278,2016,12,ZAMC,standard,12250,848062.0500000003
279,2016,12,ZAMZ,evening,1087,99213.14
280,2016,12,ZAMZ,morning,2653,177471.73000000004
281,2016,12,ZAMZ,off,23839,871452.1400000002
282,2016,12,ZAMZ,standard,7888,457763.93999999994
283,2016,12,ZIM,evening,101,11377.87
284,2016,12,ZIM,morning,488,36292.94
285,2016,12,ZIM,off,1817,74603.93000000001
286,2016,12,ZIM,standard,1221,85392.8
287,2017,1,BOT,evening,-59,-3220.2
288,2017,1,BOT,morning,-751,-38042.590000000004
289,2017,1,BOT,off,-2611,-86723.3
290,2017,1,BOT,standard,-2469,-138874.13999999998
291,2017,1,MOZ,evening,-602,-51011.39000000001
292,2017,1,MOZ,morning,-3700,-222854.11
293,2017,1,MOZ,off,-24121,-771824.2899999998
294,2017,1,MOZ,standard,-5885,-371613.2299999998
295,2017,1,NAM,evening,-523,-43438.31000000001
296,2017,1,NAM,morning,-243,-15705.010000000002
297,2017,1,NAM,off,-3927,-130035.57999999996
298,2017,1,NAM,standard,-5043,-343852.77
299,2017,1,RSA,evening,-1203,-96844.95000000004
300,2017,1,RSA,morning,-111,-9991.710000000001
301,2017,1,RSA,off,-11005,-375026.1400000002
302,2017,1,RSA,standard,-3215,-224988.69000000024
303,2017,1,ZAMC,evening,1863,159352.27
304,2017,1,ZAMC,morning,3257,215519.00000000006
305,2017,1,ZAMC,off,16721,549645.3999999998
306,2017,1,ZAMC,standard,11600,823445.0199999992
307,2017,1,ZAMZ,evening,526,35296.86
308,2017,1,ZAMZ,morning,1548,71074.41999999998
309,2017,1,ZAMZ,off,24941,813900.6700000004
310,2017,1,ZAMZ,standard,5013,256012.32
311,2017,1,ZIM,evening,-2,-134.28000000000065
312,2017,1,ZIM,off,2,63.23999999999887
313,2017,1,ZIM,standard,-1,-128.5099999999984
314,2017,2,BOT,evening,-20,-1610.4
315,2017,2,BOT,morning,-139,-6948.99
316,2017,2,BOT,off,-1535,-48295.39000000001
317,2017,2,BOT,standard,-579,-43636.39
318,2017,2,MOZ,evening,-227,-19383.37
319,2017,2,MOZ,morning,-3300,-162134.63999999996
320,2017,2,MOZ,off,-15664,-437628.0399999999
321,2017,2,MOZ,standard,-6634,-390178.1100000001
322,2017,2,NAM,evening,-541,-43544.969999999994
323,2017,2,NAM,morning,-1952,-110156.12000000002
324,2017,2,NAM,off,7079,214929.55000000005
325,2017,2,NAM,standard,-5580,-385877.1899999999
326,2017,2,RSA,evening,-1678,-136353.82999999996
327,2017,2,RSA,morning,436,20486.620000000003
328,2017,2,RSA,off,-14962,-478053.4199999999
329,2017,2,RSA,standard,-3682,-268643.8
330,2017,2,ZAMC,evening,1675,136661.33000000002
331,2017,2,ZAMC,morning,2859,153105.31000000003
332,2017,2,ZAMC,off,16984,524130.0800000001
333,2017,2,ZAMC,standard,10492,693675.8400000008
334,2017,2,ZAMZ,evening,123,9794.07
335,2017,2,ZAMZ,morning,1213,59444.060000000005
336,2017,2,ZAMZ,off,5442,172440.48000000004
337,2017,2,ZAMZ,standard,1804,97030.26999999997
338,2017,2,ZIM,evening,668,54437.170000000006
339,2017,2,ZIM,morning,883,46203.76
340,2017,2,ZIM,off,2656,52476.74
341,2017,2,ZIM,standard,4179,297629.38
342,2017,3,BOT,evening,-52,-4116.089999999999
343,2017,3,BOT,morning,-111,-7513.51
344,2017,3,BOT,off,-2882,-73674.94
345,2017,3,BOT,standard,-232,-19655.61
346,2017,3,MOZ,evening,-261,-19203.070000000003
347,2017,3,MOZ,morning,-1279,-67176.78
348,2017,3,MOZ,off,-5960,-119580.88000000006
349,2017,3,MOZ,standard,-2655,-133460.51999999993
350,2017,3,NAM,evening,-662,-47248.46999999999
351,2017,3,NAM,morning,-3477,-164610.82999999996
352,2017,3,NAM,off,-7419,-171719.9799999998
353,2017,3,NAM,standard,-5747,-261550.83
354,2017,3,RSA,evening,-1047,-85531.09
355,2017,3,RSA,morning,1749,81895.98
356,2017,3,RSA,off,3313,67184.42999999998
357,2017,3,RSA,standard,238,-18358.069999999996
358,2017,3,ZAMC,evening,2034,156995.18000000005
359,2017,3,ZAMC,morning,3931,197323.94000000006
360,2017,3,ZAMC,off,12192,283714.1100000001
361,2017,3,ZAMC,standard,11477,571754.0700000005
362,2017,3,ZAMZ,evening,-30,-1887.8999999999999
363,2017,3,ZAMZ,morning,-1107,-52792.899999999994
364,2017,3,ZAMZ,off,-3692,-79332.47000000003
365,2017,3,ZAMZ,standard,-4974,-216490.54999999976
366,2017,3,ZIM,evening,18,991.44
367,2017,3,ZIM,morning,294,12874.1
368,2017,3,ZIM,off,4448,93409.73000000001
369,2017,3,ZIM,standard,1893,77761.51
370,2017,4,BOT,evening,3564,308726.56000000006
371,2017,4,BOT,morning,4768,245735.34000000008
372,2017,4,BOT,off,12025,267290.63999999984
373,2017,4,BOT,standard,20251,1057391.04
374,2017,4,MOZ,evening,-529,-50552.20000000001
375,2017,4,MOZ,morning,-2569,-135394.88
376,2017,4,MOZ,off,-9348,-193137.94000000006
377,2017,4,MOZ,standard,-5801,-306934.19
378,2017,4,NAM,evening,-1342,-126547.65999999997
379,2017,4,NAM,morning,-2464,-119377.18000000001
380,2017,4,NAM,off,-8813,-185853.54000000018
381,2017,4,NAM,standard,-8991,-441998.28999999986
382,2017,4,RSA,evening,-2191,-171250.11
383,2017,4,RSA,morning,138,10167.09
384,2017,4,RSA,off,-978,-41834.439999999995
385,2017,4,RSA,standard,-3127,-171040.19000000012
386,2017,4,ZAMC,evening,498,39623.41000000001
387,2017,4,ZAMC,morning,2227,115005.03000000003
388,2017,4,ZAMC,off,16501,354397.19000000006
389,2017,4,ZAMC,standard,6297,318870.6200000002
390,2017,4,ZAMZ,morning,-2100,-116135.39999999998
391,2017,4,ZAMZ,off,-9387,-200861.91000000006
392,2017,4,ZAMZ,standard,-8629,-456288.9900000001
393,2017,5,BOT,evening,1036,96051.56999999999
394,2017,5,BOT,morning,4227,306777.34
395,2017,5,BOT,off,15053,445476.6499999999
396,2017,5,BOT,standard,7744,487040.8099999997
397,2017,5,MOZ,evening,-899,-84935.64
398,2017,5,MOZ,morning,-3351,-237105.68999999994
399,2017,5,MOZ,off,-21011,-588126.91
400,2017,5,MOZ,standard,-3006,-168250.09
401,2017,5,NAM,evening,-37,-3637.2599999999998
402,2017,5,NAM,morning,-98,-7268.990000000001
403,2017,5,NAM,off,5155,148947.8200000001
404,2017,5,NAM,standard,-830,-47679.06
405,2017,5,RSA,evening,-1391,-128370.58000000005
406,2017,5,RSA,morning,-846,-60014.78000000001
407,2017,5,RSA,off,-7999,-264949.59
408,2017,5,RSA,standard,-5950,-397273.4799999997
409,2017,5,ZAMC,evening,1122,103633.71999999997
410,2017,5,ZAMC,morning,2015,134269.78999999998
411,2017,5,ZAMC,off,16672,477151.88000000006
412,2017,5,ZAMC,standard,8020,502285.2900000001
413,2017,5,ZAMZ,morning,-1947,-136657.66999999998
414,2017,5,ZAMZ,off,-7871,-218522.34999999998
415,2017,5,ZAMZ,standard,-6108,-386152.32999999996
416,2017,5,ZIM,evening,169,17258.19
417,2017,5,ZIM,off,1,22.50000000000017
418,2017,5,ZIM,standard,130,10028.859999999997
419,2017,6,BOT,evening,1836,196300.59000000003
420,2017,6,BOT,morning,4175,334750.8400000001
421,2017,6,BOT,off,-5083,-135008.7799999999
422,2017,6,BOT,standard,4121,270492.43999999994
423,2017,6,MOZ,evening,-2840,-309958.49
424,2017,6,MOZ,morning,-5559,-436479.75000000006
425,2017,6,MOZ,off,-28077,-878448.7500000002
426,2017,6,MOZ,standard,-14225,-909281.38
427,2017,6,NAM,evening,492,41911.2
428,2017,6,NAM,morning,452,30793.029999999995
