year,month,day,volume,value,price_weight_av,price_max,price_min,price_mean,price_morning_max,price_evening_max,price_standard,off_price_mean,standard_price_mean,morning_price_mean,evening_price_mean,off_hour_count,standard_hour_count,morning_hour_count,evening_hour_count,off_volume,standard_volume,morning_volume,evening_volume
2016,1,1,7873.800000000001,336882.508,42.78525083187279,60.08,35.09,45.98250000000001,48.03,60.08,45.8275,45.98250000000001,,,,24,,,,7873.800000000001,,,
2016,1,2,7319.500000000001,345982.021,47.268532140173505,118.49,40.03,54.11416666666668,56.05,118.49,50.227500000000006,45.51133333333334,68.45222222222222,,,15,9.0,,,5994.5,1325.0,,
2016,1,3,7198.700000000001,351712.73299999995,48.857812243877355,118.47,44.06,54.959166666666654,56.01,118.47,50.605000000000004,48.152222222222214,75.38000000000001,,,18,6.0,,,6607.300000000001,591.4,,
2016,1,4,4457.0,225938.81,50.693024455912045,177.66,46.7,80.16458333333334,80.02,177.66,80.02,47.992222222222225,80.72083333333332,,174.45666666666668,9,12.0,,3.0,4028.0,429.0,,0.0
2016,1,5,3750.4,179068.88199999998,47.74660889505119,181.4,42.06,84.50333333333333,148.4,181.4,80.05,43.75666666666667,93.58916666666664,148.4,181.4,9,12.0,1.0,2.0,3380.0,370.4,0.0,0.0
2016,1,6,4230.0,208868.87999999998,49.377985815602834,118.23,41.83,70.43625,80.04,118.23,80.0125,43.144444444444446,80.02166666666666,,113.97000000000001,9,12.0,,3.0,3608.0,469.0,,153.0
2016,1,7,3657.7,208429.81199999998,56.983845586024,174.44,48.08,78.83374999999998,80.04,174.44,80.0225,49.29777777777778,84.57307692307691,,174.44,9,13.0,,2.0,3047.1,534.0,,76.6
2016,1,8,3996.1000000000004,222857.201,55.76867470784014,174.24,47.32,78.45541666666665,80.04,174.24,80.02250000000001,48.614444444444445,84.37846153846152,,174.24,9,13.0,,2.0,3379.0,536.3,,80.8
2016,1,9,5905.4,305033.23899999994,51.6532731059708,115.35,48.01,68.76541666666665,111.72,115.35,56.08,51.21823529411765,111.38000000000001,,,17,7.0,,,5673.1,232.3,,
2016,1,10,4702.0,264909.88800000004,56.33983156103786,115.66,50.18,68.1625,109.27,115.66,56.06,54.07,102.38714285714285,,,17,7.0,,,4371.2,330.8,,
2016,1,11,3760.0,213514.08999999997,56.78566223404255,177.63,50.08,102.80000000000001,159.02,177.63,102.76,53.04111111111111,100.82285714285715,148.74,172.2775,9,7.0,4.0,4.0,3437.0,269.0,0.0,54.0
2016,1,12,3240.9,186667.926,57.59755808571693,165.81,48.08,92.45041666666664,138.38,165.81,105.11,49.73111111111112,108.43583333333335,138.38,165.81,9,12.0,1.0,2.0,2825.8,324.1,19.0,72.0
2016,1,13,3399.2,197420.04,58.078383148976236,165.81,48.1,91.8270833333333,125.44,165.81,105.0625,49.867777777777775,109.49384615384614,,165.81,9,13.0,,2.0,2941.2,386.0,,72.0
2016,1,14,3392.2,196421.836,57.903966747243686,165.37,48.13,89.49,125.1,165.37,99.07,49.972222222222214,105.17461538461536,,165.37,9,13.0,,2.0,2934.0,386.2,,72.0
2016,1,15,3050.3,183991.63000000003,60.319191554929034,174.31,48.04,91.10916666666667,139.6,174.31,99.07,49.82555555555555,104.16416666666667,139.6,174.31,9,12.0,1.0,2.0,2554.1000000000004,368.2,45.0,83.0
2016,1,16,4731.9,245134.513,51.80466894904796,115.38,46.93,68.31208333333332,115.38,112.03,56.057500000000005,50.5735294117647,111.39142857142856,,,17,7.0,,,4493.9,238.0,,
2016,1,17,4165.0,220329.04299999998,52.90013037214885,112.01,48.31,65.19208333333333,109.0,112.01,56.0425,52.403333333333336,103.55833333333332,,,18,6.0,,,3972.9,192.1,,
2016,1,18,3107.6,167935.11,54.04013064744497,177.32,48.21,101.8895833333333,174.25,177.32,101.81,50.58444444444444,107.6922222222222,166.495,171.9675,9,9.0,2.0,4.0,2870.0,184.0,0.0,53.6
