year,month,volume_mean,value_mean,price_max,price_min,price_mean,power_max,power_min,power_mean,price_morning_max,price_evening_max,price_standard,off_price_mean,standard_price_mean,morning_price_mean,evening_price_mean,off_hour_mean,standard_hour_mean,morning_hour_mean,evening_hour_mean,off_value,standard_value,morning_value,evening_value,standard_price_max,off_price_max,morning_price_max,evening_price_max,standard_price_min,off_price_min,morning_price_min,evening_price_min,volume,morning_volume,evening_volume,standard_volume,off_volume,value,off_hour_count,standard_hour_count,morning_hour_count,evening_hour_count,price_weight_mean,off_price_weight_mean,standard_price_weight_mean,morning_price_weight_mean,evening_price_weight_mean,off_power,morning_power,standard_power,evening_power,evening_days,morning_days,days
2016,9,5621.610000000001,341968.11490000004,110.71458333333334,54.91833333333333,91.61834722222224,518.67,35.46333333333334,234.23375,133.15533333333332,173.09866666666667,96.96683333333333,51.927953431372536,111.36922577422578,130.2687878787879,182.90454545454546,11.333333333333334,10.384615384615385,3.0,2.0,6743901.024000001,2724621.185,568590.1930000001,221931.04499999995,131.89714285714285,80.45176470588234,158.34333333333333,196.1,70.3718181818182,37.30875,112.27333333333333,170.425,168648.30000000002,4521.300000000001,1196.6,25012.6,137917.8,168648.30000000002,340,270.0,66.0,44.0,1.0,48.897974184623024,108.92994670685975,125.75812111560833,185.46803025238174,405.6405882352941,68.50454545454546,92.63925925925925,27.19545454545454,22,22,30
2016,10,6769.796774193547,322613.97393548384,77.74749999999997,31.44416666666667,63.413158602150546,533.0,86.86774193548388,282.07486559139784,85.4977419354839,121.16677419354839,64.48040322580647,38.97109345351044,79.4785964035964,92.86952380952384,133.46619047619046,12.03225806451613,10.23076923076923,3.0,2.0,6349246.402,2784321.606,485836.3460000001,381628.838,95.39714285714287,49.8070588235294,114.32666666666668,166.45999999999995,66.66818181818182,31.44416666666667,68.35333333333334,104.785,209863.69999999995,5314.700000000001,3187.8,35563.299999999996,165797.90000000002,209863.69999999995,373,266.0,63.0,42.0,1.0,38.29509542641975,78.29199219420022,91.41369145953676,119.71542694020954,444.4983914209116,84.36031746031748,133.69661654135336,75.9,21,21,31
2016,11,6632.456666666666,335230.31536666665,78.10416666666666,32.06416666666667,65.00516666666665,517.17,90.63333333333334,276.3523611111112,90.30633333333337,111.89133333333335,68.21491666666668,39.06557761437908,79.33945054945055,101.34893939393942,120.30545454545454,11.333333333333334,10.384615384615385,3.0,2.0,5855617.677999998,2932287.2590000005,609511.778,659492.746,90.64714285714285,44.417647058823526,116.34,153.025,69.22999999999999,32.06416666666667,83.28333333333335,100.455,198973.69999999998,5983.000000000001,5520.6,36908.3,150561.80000000002,198973.69999999998,340,270.0,66.0,44.0,1.0,38.89178847489867,79.44790897982297,101.87393916095604,119.46033873129733,442.8288235294118,90.65151515151517,136.6974074074074,125.46818181818183,22,22,30
2016,12,4400.522580645161,195113.43587096778,97.73125,30.5775,55.50798387096775,346.258064516129,73.16451612903225,183.3551075268817,68.4767741935484,88.39612903225805,61.92249999999998,35.966541745730545,68.24070707070707,71.8439393939394,97.2943181818182,11.516129032258064,10.25925925925926,3.0,2.0,3705808.319999999,1728128.0420000001,332511.36199999996,282068.788,109.14363636363636,73.35749999999999,100.03666666666668,129.0,34.64363636363636,17.08375,37.636666666666656,52.69,136416.19999999998,4808.8,2958.2000000000003,27003.8,101645.40000000001,136416.19999999998,357,277.0,66.0,44.0,1.0,36.458199977569066,63.99573548907932,69.14643195807685,95.35149347576228,284.7210084033614,72.86060606060606,97.48664259927797,67.23181818181818,22,22,31
2017,1,3246.332258064516,132339.151,81.25375,29.68416666666667,53.373817204301076,236.2258064516129,64.12903225806451,135.26384408602152,73.49612903225807,85.06645161290322,61.14758064516129,32.64015180265655,69.86960039960039,71.84863636363636,89.1959090909091,11.741935483870968,10.384615384615385,3.0,2.0,2483587.779,1208025.6520000002,216275.35299999997,194624.89700000003,111.7590909090909,36.852941176470594,98.89666666666666,128.8,36.222727272727276,22.7525,33.24333333333333,54.52,100636.29999999999,3433.6,2388.7,18803.4,76010.6,100636.29999999999,364,270.0,66.0,44.0,1.0,32.67422937064041,64.2450648287012,62.98792899580614,81.4773295097752,208.8203296703297,52.02424242424242,69.64222222222223,54.28863636363636,22,22,31
2017,2,2551.9857142857145,107926.84064285712,60.89208333333333,21.01125,47.36087797619049,200.90714285714287,36.278571428571425,106.33273809523811,62.33642857142858,78.91392857142857,53.74964285714287,29.89080094537815,62.51035714285714,57.07616666666668,82.67675,11.571428571428571,10.333333333333334,3.0,2.0,1307100.404,1218345.6259999997,295624.75700000004,200880.751,78.57272727272728,34.761176470588225,73.86,93.44,30.27285714285714,21.01125,49.98,72.88499999999998,71455.6,5332.900000000001,2465.8999999999996,19314.6,44342.2,71455.6,324,248.0,60.0,40.0,1.0,29.47757224494951,63.07899858138402,55.4341459618594,81.46346202197981,136.85864197530864,88.88166666666667,77.88145161290322,61.647499999999994,20,20,28
2017,3,1897.1677419354842,65567.00922580644,57.7075,15.764583333333327,37.83377688172043,134.541935483871,40.12580645161291,79.04865591397848,48.337741935483855,78.55806451612905,42.37056451612903,22.312673940543966,47.10878306878307,51.107101449275355,77.69173913043477,11.225806451612904,10.407407407407407,3.0,2.0,642699.1650000002,860523.4480000002,351987.77200000006,177366.90099999998,69.71363636363635,29.72625,72.26666666666667,94.56,31.72142857142857,15.764583333333327,35.61,65.48,58812.20000000001,7067.9,2280.3,18591.2,30872.800000000003,58812.20000000001,348,281.0,69.0,46.0,1.0,20.81765065041072,46.28660054219201,49.80089871107402,77.7822659299215,88.71494252873563,102.43333333333332,66.16085409252669,49.571739130434786,23,23,31
2017,4,2917.7266666666665,108727.59973333335,58.56625,17.312500000000004,38.29208333333333,191.41666666666663,42.11666666666667,121.57194444444443,47.06066666666668,76.18533333333332,43.60458333333333,21.228633169934643,50.22317922077923,54.136,87.39399999999999,12.166666666666666,10.2,3.0,2.0,904263.866,1605118.935,387953.61000000004,364491.58100000006,69.42272727272729,29.585,76.00666666666667,103.02,26.982727272727274,15.49125,26.62,31.215,87531.79999999999,7365.499999999999,4221.6,31705.999999999985,44238.7,87531.79999999999,365,255.0,60.0,40.0,1.0,20.440561454111446,50.62508468428691,52.671727649175224,86.33967713663067,121.20191780821916,122.75833333333331,124.33725490196073,105.54,20,20,30
2017,5,2116.5258064516133,92323.10280645163,60.39375000000001,25.09333333333333,49.64314516129032,166.58064516129033,32.73548387096774,88.18857526881722,69.0,84.04419354838711,54.3233064516129,29.042623339658448,62.92815295815296,71.39463768115942,93.58608695652174,11.225806451612904,10.407407407407407,3.0,2.0,1146193.188,1138982.2920000001,353756.37600000005,223084.331,70.1309090909091,33.096250000000005,78.03666666666669,102.52,26.88636363636364,20.96125,24.98,65.03,65612.30000000002,5049.900000000001,2391.4000000000005,17955.5,40215.50000000001,65612.30000000002,348,281.0,69.0,46.0,1.0,28.50127905906926,63.433615995099004,70.0521546961326,93.28607970226643,115.56178160919542,73.18695652173913,63.89857651245551,51.986956521739145,23,23,31
2017,6,3017.6766666666667,145149.11576666665,68.29083333333332,29.716666666666654,55.30730555555556,223.38666666666668,45.04333333333334,125.7365277777778,76.37700000000001,111.94433333333335,56.005166666666675,32.070972222222224,65.60445192307692,77.56590909090909,111.18939393939395,11.2,9.692307692307692,3.0,3.0,1726155.8589999995,1471923.8299999996,637904.8279999999,518488.95599999995,77.05599999999998,36.13125,89.31333333333332,115.73,42.23875,29.410625000000003,70.96666666666667,105.68333333333332,90530.3,8212.5,4790.200000000001,22509.0,55018.6,90530.3,336,252.0,66.0,66.0,1.0,31.374041851301186,65.39267981696209,77.67486490106543,108.23952152310966,163.74583333333334,124.43181818181819,89.32142857142857,72.57878787878789,22,22,30
