month,hour_ref,price_mean,hours,power,volume_mean
1,weekday_0,33.593483146067406,89,263.11797752808985,5854.374999999999
1,weekday_1,33.24730337078651,89,262.1651685393258,5833.174999999999
1,weekday_10,74.1648314606741,89,86.85955056179776,1932.6250000000002
1,weekday_11,72.02337078651685,89,90.90224719101124,2022.5750000000003
1,weekday_12,71.55853932584266,89,93.00561797752809,2069.375
1,weekday_13,71.6156179775281,89,93.49101123595507,2080.175
1,weekday_14,71.81280898876405,89,96.71011235955056,2151.8
1,weekday_15,71.68539325842697,89,96.84269662921348,2154.75
1,weekday_16,76.15359550561797,89,109.53370786516857,2437.1250000000005
1,weekday_17,78.97168539325843,89,101.21460674157302,2252.0249999999996
1,weekday_18,100.11258426966289,89,65.50898876404493,1457.5749999999998
1,weekday_19,108.1307865168539,89,46.939325842696626,1044.3999999999999
1,weekday_2,33.119662921348294,89,261.2539325842697,5812.900000000001
1,weekday_20,86.50325842696628,89,83.6056179775281,1860.2250000000001
1,weekday_21,63.075730337078596,89,143.71573033707864,3197.6749999999997
1,weekday_22,34.678314606741544,89,272.5044943820225,6063.225
1,weekday_23,34.08101123595506,89,263.18764044943816,5855.924999999999
1,weekday_3,33.165617977528086,89,264.15056179775274,5877.3499999999985
1,weekday_4,33.327191011235946,89,266.51685393258435,5930.000000000002
1,weekday_5,35.74359550561796,89,252.0685393258427,5608.525
1,weekday_6,60.71359550561796,89,116.66853932584272,2595.8750000000005
1,weekday_7,74.38078651685392,89,91.68426966292135,2039.9750000000001
1,weekday_8,76.08056179775284,89,67.50786516853933,1502.05
1,weekday_9,79.54640449438202,89,73.07640449438202,1625.95
1,weekend_0,34.7957142857143,35,296.3828571428572,2593.3500000000004
1,weekend_1,34.53857142857142,35,291.9285714285715,2554.3750000000005
1,weekend_10,53.072571428571415,35,137.88857142857142,1206.5249999999999
1,weekend_11,52.60657142857143,35,142.11142857142855,1243.475
1,weekend_12,39.45942857142857,35,190.7514285714286,1669.075
1,weekend_13,38.75114285714286,35,186.65428571428572,1633.2250000000001
1,weekend_14,38.65085714285714,35,181.4657142857143,1587.8250000000003
1,weekend_15,38.45885714285713,35,180.84857142857143,1582.425
1,weekend_16,39.65971428571428,35,185.48857142857145,1623.025
