month,hour,price,volume
1,0,33.932822580645144,272.507258064516
1,1,33.61177419354837,270.566129032258
1,2,33.49814516129031,268.82096774193553
1,3,33.53290322580644,272.1524193548387
1,4,33.638306451612884,273.7814516129033
1,5,35.49120967741934,255.9451612903226
1,6,53.76491935483868,143.18387096774197
1,7,67.61451612903224,106.39112903225806
1,8,70.25782258064515,86.98064516129033
1,9,72.94983870967744,90.88629032258062
1,10,68.2113709677419,101.26290322580644
1,11,66.54282258064515,105.35645161290324
1,12,62.498306451612876,120.59516129032258
1,13,62.33935483870969,119.78709677419354
1,14,62.4525806451613,120.63306451612908
1,15,62.30693548387096,120.55403225806457
1,16,65.85290322580647,130.9725806451613
1,17,68.07032258064513,124.98951612903228
1,18,90.20080645161286,80.86612903225806
1,19,97.0031451612903,62.56693548387096
1,20,74.70056451612903,117.9233870967742
1,21,55.73499999999998,169.0806451612903
1,22,34.85758064516128,282.76612903225805
1,23,34.26403225806451,272.44354838709677
2,0,33.95008849557522,239.6212389380531
2,1,33.48654867256636,236.93362831858408
2,2,32.97743362831858,234.7433628318584
2,3,32.95646017699114,239.0530973451327
2,4,33.322477876106184,243.6362831858407
2,5,35.167345132743364,245.32035398230093
2,6,58.94920353982301,150.47787610619469
2,7,71.21451327433631,115.39734513274335
2,8,71.9262831858407,97.10000000000001
2,9,74.76123893805314,92.77876106194691
2,10,71.62557522123892,98.48141592920354
2,11,70.44327433628318,102.89646017699116
2,12,66.17955752212391,115.12566371681416
2,13,65.18026548672565,115.34159292035399
2,14,65.49300884955753,117.81769911504426
2,15,65.39433628318585,118.97522123893806
2,16,67.65230088495572,121.21327433628319
2,17,71.86185840707962,113.18141592920354
2,18,88.59115044247783,89.3840707964602
2,19,100.77,61.224778761061934
2,20,85.4788495575221,107.5592920353982
2,21,61.18327433628318,154.28584070796458
2,22,34.928407079646014,243.7592920353982
2,23,34.184955752212375,241.33893805309734
3,0,30.306290322580647,149.01370967741934
3,1,29.835967741935477,147.58387096774194
3,2,29.579032258064483,148.07419354838711
3,3,29.60298387096772,151.99354838709678
3,4,30.2224193548387,159.95645161290324
3,5,32.6314516129032,154.09677419354838
3,6,53.52435483870966,110.0709677419355
3,7,67.29879032258059,102.13709677419355
3,8,67.95241935483868,96.83306451612903
3,9,68.8097580645161,94.09677419354838
3,10,62.89354838709677,80.16693548387097
3,11,62.64588709677419,81.5733870967742
3,12,58.96185483870966,89.46935483870968
3,13,58.578790322580645,89.49838709677421
3,14,58.91766129032255,89.2524193548387
3,15,58.68733870967744,88.68064516129033
3,16,58.872661290322554,85.70806451612903
3,17,60.91556451612899,82.96693548387097
3,18,82.13822580645154,79.4822580645161
3,19,98.10209677419353,62.22580645161292
3,20,75.93491935483868,80.16209677419354
3,21,52.13637096774193,112.2758064516129
3,22,31.604112903225808,158.91129032258064
3,23,30.675887096774193,152.31451612903226
4,0,29.26708333333333,138.54166666666666
4,1,28.715833333333332,133.47833333333332
4,2,28.438333333333336,131.07
4,3,28.636833333333318,134.57916666666668
4,4,29.072166666666657,153.93916666666664
4,5,31.24599999999999,169.06750000000002
4,6,56.362416666666675,120.31249999999999
4,7,68.5813333333333,125.83416666666666
4,8,68.36758333333329,126.98499999999997
4,9,69.25549999999998,128.07083333333333
4,10,62.2775,109.64750000000001
4,11,62.57024999999998,117.75666666666666
4,12,58.75408333333332,122.37083333333335
4,13,59.16033333333329,123.22749999999996
4,14,59.22558333333332,121.63750000000002
4,15,59.19341666666665,120.11999999999999
4,16,61.28549999999997,117.44333333333331
4,17,65.28533333333328,111.94333333333336
4,18,92.01875000000001,100.04499999999999
4,19,93.84466666666658,100.05250000000001
4,20,70.87833333333333,103.11250000000001
4,21,53.34291666666668,135.95499999999998
4,22,31.102166666666665,164.34083333333334
4,23,30.309583333333343,148.69000000000003
5,0,30.49282258064517,157.4959677419355
5,1,29.950483870967734,157.67661290322587
5,2,29.94177419354838,156.5185483870968
5,3,30.240564516129023,159.34516129032255
5,4,30.673306451612902,163.366935483871
5,5,33.499354838709664,143.8177419354839
5,6,60.37975806451606,88.28951612903228
5,7,75.20903225806447,84.44516129032259
5,8,73.9113709677419,85.60806451612905
5,9,74.3295967741935,86.98870967741934
5,10,68.5554838709677,75.36129032258064
5,11,66.14354838709677,77.49193548387096
5,12,62.72233870967741,87.08629032258068
5,13,61.93145161290321,91.01048387096772
5,14,61.88072580645158,90.03306451612903
5,15,61.8791935483871,88.71774193548384
5,16,64.8548387096774,82.8572580645161
5,17,70.78790322580642,70.80483870967741
5,18,99.15717741935484,54.70887096774193
5,19,108.4166935483871,54.23951612903226
5,20,73.67072580645161,74.48709677419356
5,21,53.417661290322556,88.80483870967741
5,22,32.75395161290322,165.6225806451613
5,23,31.437822580645165,169.42419354838702
6,0,37.62508333333332,239.74749999999995
6,1,37.32275,245.77333333333334
6,2,37.24091666666664,246.18666666666675
6,3,37.32558333333332,247.0858333333334
6,4,37.90033333333333,241.6175000000001
6,5,40.7945,199.62416666666667
6,6,97.948,132.55666666666667
6,7,110.42750000000002,107.43666666666667
6,8,107.18441666666664,105.40416666666667
6,9,97.33074999999995,106.9275
6,10,78.4246666666666,94.0075
6,11,77.68216666666666,98.8308333333333
6,12,72.36133333333329,103.41499999999999
6,13,72.11416666666665,110.88833333333332
6,14,72.03983333333332,108.49
6,15,72.16033333333331,109.7675
6,16,75.54424999999996,98.08166666666666
6,17,115.94758333333333,76.02999999999999
6,18,131.66783333333336,75.69250000000001
6,19,120.61458333333333,94.60750000000002
6,20,85.2990833333333,93.5975
