month_no,hour_ref,year,month,hour,hourlyid,market,price_mean,volume,day_of_week,volume_sum,price_stdv,price_max,price_min,price_coefvar,price_range,hours,power
2019.1,weekday_7,2019,10,7,59568.0,1.0,88.53478260869566,293.995652173913,2.0,6761.9,6.757506176343472,99.94,78.98,7.632600405436323,20.959999999999994,23,293.995652173913
2019.1,weekend_7,2019,10,7,59568.0,1.0,49.699999999999996,330.25,5.5,2642.0,17.765904745567322,72.92,30.95,35.74628721442117,41.97,8,330.25
2019.1,weekday_8,2019,10,8,59569.0,1.0,88.65521739130436,274.33478260869566,2.0,6309.7,6.824989423611664,100.17,78.98,7.698350558983667,21.189999999999998,23,274.33478260869566
2019.1,weekend_8,2019,10,8,59569.0,1.0,51.04749999999999,307.4375,5.5,2459.5,18.807388935506932,72.95,30.96,36.842918723751275,41.99,8,307.4375
2019.1,weekday_9,2019,10,9,59570.0,1.0,88.5517391304348,270.0173913043478,2.0,6210.4,6.824534384499604,101.03,78.99,7.706832696359822,22.040000000000006,23,270.0173913043478
2019.1,weekend_9,2019,10,9,59570.0,1.0,51.10624999999999,295.0,5.5,2360.0,18.755104400440658,72.96,30.96,36.698259802745575,41.99999999999999,8,295.0
2019.1,weekday_10,2019,10,10,59571.0,1.0,75.19391304347829,283.0826086956522,2.0,6510.900000000001,3.5199350964192475,79.14,66.66,4.681143664360127,12.480000000000004,23,283.0826086956522
2019.1,weekend_10,2019,10,10,59571.0,1.0,51.05249999999999,294.8375,5.5,2358.7,18.796084508672088,72.95,30.96,36.81716763855265,41.99,8,294.8375
2019.1,weekday_11,2019,10,11,59572.0,1.0,74.9791304347826,290.81304347826085,2.0,6688.7,3.678156545488858,79.24,66.06,4.905573756537688,13.179999999999993,23,290.81304347826085
2019.1,weekend_11,2019,10,11,59572.0,1.0,50.730000000000004,300.75,5.5,2406.0,19.1398432595463,72.94,30.95,37.72884537659432,41.989999999999995,8,300.75
2019.1,weekday_12,2019,10,12,59573.0,1.0,74.8008695652174,295.0913043478261,2.0,6787.1,3.6055108237800737,79.18,66.05,4.8201456008963905,13.13000000000001,23,295.0913043478261
2019.1,weekend_12,2019,10,12,59573.0,1.0,34.29374999999999,313.375,5.5,2507.0,2.8732855136336752,38.01,30.95,8.378452381654606,7.059999999999999,8,313.375
2019.1,weekday_13,2019,10,13,59574.0,1.0,74.57652173913046,295.4217391304348,2.0,6794.7,3.6945950801575145,79.23,65.14,4.954099486003452,14.090000000000003,23,295.4217391304348
2019.1,weekend_13,2019,10,13,59574.0,1.0,34.43,340.5625,5.5,2724.5,2.163654316197484,36.01,30.95,6.284212361886389,5.059999999999999,8,340.5625
2019.1,weekday_14,2019,10,14,59575.0,1.0,74.65782608695653,297.6608695652174,2.0,6846.200000000001,3.7013792963775325,79.18,65.72,4.957791420374883,13.460000000000008,23,297.6608695652174
2019.1,weekend_14,2019,10,14,59575.0,1.0,34.2175,337.25,5.5,2698.0,2.091921536359744,35.85,30.95,6.113601333702766,4.900000000000002,8,337.25
2019.1,weekday_15,2019,10,15,59576.0,1.0,75.26260869565218,297.5652173913044,2.0,6844.0,3.7434855141253616,79.93,66.05,4.9738981667022895,13.88000000000001,23,297.5652173913044
2019.1,weekend_15,2019,10,15,59576.0,1.0,33.84375,334.125,5.5,2673.0,2.3888367611514556,35.84,30.95,7.058428103125261,4.890000000000004,8,334.125
2019.1,weekday_16,2019,10,16,59577.0,1.0,75.64391304347828,299.9260869565218,2.0,6898.3,3.6603064192774846,79.95,66.05,4.838864453209381,13.900000000000006,23,299.9260869565218
2019.1,weekend_16,2019,10,16,59577.0,1.0,34.63125,341.75,5.5,2734.0,2.339685189446282,37.05,30.96,6.755994050016334,6.089999999999996,8,341.75
2019.1,weekday_17,2019,10,17,59578.0,1.0,78.64347826086959,297.0130434782609,2.0,6831.3,2.049819523531613,82.51,72.9,2.606471088081993,9.61,23,297.0130434782609
2019.1,weekend_17,2019,10,17,59578.0,1.0,35.16625,350.625,5.5,2805.0,2.692343310203957,38.01,30.98,7.656043252277274,7.029999999999998,8,350.625
2019.1,weekday_18,2019,10,18,59579.0,1.0,146.80826086956523,101.0086956521739,2.0,2323.2,12.33963262020313,186.65,131.76,8.40527130225085,54.890000000000015,23,101.0086956521739
2019.1,weekend_18,2019,10,18,59579.0,1.0,64.93124999999999,199.04999999999998,5.5,1592.3999999999999,8.608028540678918,75.02,55.32,13.257142809785611,19.699999999999996,8,199.04999999999998
2019.1,weekday_19,2019,10,19,59580.0,1.0,150.0973913043478,133.91739130434783,2.0,3080.1000000000004,15.077913774606435,184.08,134.98,10.045420272517207,49.10000000000002,23,133.91739130434783
2019.1,weekend_19,2019,10,19,59580.0,1.0,71.2,183.875,5.5,1471.0,2.947778824810298,75.07,66.09,4.1401387988908676,8.97999999999999,8,183.875
2019.1,weekday_20,2019,10,20,59581.0,1.0,81.3113043478261,214.304347826087,2.0,4929.000000000001,4.805989922007202,92.43,73.78,5.910604879056639,18.650000000000006,23,214.304347826087
2019.1,weekend_20,2019,10,20,59581.0,1.0,41.253750000000004,265.25,5.5,2122.0,3.3782790948731773,46.92,37.08,8.1890230460823,9.840000000000003,8,265.25
2019.1,weekday_21,2019,10,21,59582.0,1.0,76.06304347826087,314.30434782608694,2.0,7228.999999999999,3.089179701036579,80.15,69.94,4.061341171444815,10.210000000000008,23,314.30434782608694
2019.1,weekend_21,2019,10,21,59582.0,1.0,35.1675,370.875,5.5,2967.0,2.0233194084403543,37.04,32.36,5.7533785695325355,4.68,8,370.875
2019.1,weekday_22,2019,10,22,59583.0,1.0,33.883043478260866,386.9782608695652,2.0,8900.5,2.4628797534272557,38.06,30.06,7.268767798286547,8.000000000000004,23,386.9782608695652
