WaterMonth,MonthName,Month,Flow_min,Flow_mean,Flow_median,Flow_max,Flow_std,Flow_coefvar
1,Oct,10,24.0,66.37890811510255,63.593666299999995,167.0,23.01854615192992,34.7
2,Nov,11,28.0,88.19856813018093,79.17053751,290.0,41.50212941904239,47.1
3,Dec,12,45.0,229.94699417419173,169.46582795,2677.0,226.79258583158352,98.6
4,Jan,1,93.0,707.8898148332039,484.0,5827.0,706.9641047165586,99.9
5,Feb,2,147.0,1427.7696829351557,1139.887687,6083.0,1051.7931940081723,73.7
6,Mar,3,356.0,2052.8825778378264,1778.0,7139.0,1196.3901063245055,58.3
7,Apr,4,391.0,1877.0196437602729,1451.339707,7416.0,1173.1391892913987,62.5
8,May,5,171.0,713.9904415288204,639.0,3020.568902,372.08421704554866,52.1
9,Jun,6,108.0,318.24477652516623,307.0,863.0,110.84845891876358,34.8
10,Jul,7,74.0,193.68305039524662,190.0,374.588308,62.02699838539767,32.0
11,Aug,8,47.0,124.08990063192864,121.6530531,238.0,39.07192485036272,31.5
12,Sep,9,33.0,82.99997199360469,83.0,168.0,25.982645336137534,31.3
