Date,Month,Day,Year,WaterYear,Flow,MonthId,WaterMonth,Exceedance
1959-10-10,10,10,1959,1959.0,49.0,1959.1,1,0.9570000000000001
1959-10-11,10,11,1959,1959.0,49.0,1959.1,1,0.9570000000000001
1959-10-12,10,12,1959,1959.0,49.0,1959.1,1,0.9570000000000001
1959-10-13,10,13,1959,1959.0,49.0,1959.1,1,0.9570000000000001
1959-10-14,10,14,1959,1959.0,47.0,1959.1,1,0.963
1959-10-15,10,15,1959,1959.0,44.0,1959.1,1,0.971
1959-10-16,10,16,1959,1959.0,43.0,1959.1,1,0.973
1959-10-17,10,17,1959,1959.0,43.0,1959.1,1,0.973
1959-10-18,10,18,1959,1959.0,43.0,1959.1,1,0.973
1959-10-19,10,19,1959,1959.0,43.0,1959.1,1,0.973
1959-10-20,10,20,1959,1959.0,43.0,1959.1,1,0.973
1959-10-21,10,21,1959,1959.0,43.0,1959.1,1,0.973
1959-10-22,10,22,1959,1959.0,43.0,1959.1,1,0.973
1959-10-23,10,23,1959,1959.0,42.0,1959.1,1,0.979
1959-10-24,10,24,1959,1959.0,38.0,1959.1,1,0.985
1959-10-25,10,25,1959,1959.0,38.0,1959.1,1,0.985
1959-10-26,10,26,1959,1959.0,38.0,1959.1,1,0.985
1959-10-27,10,27,1959,1959.0,38.0,1959.1,1,0.985
1959-10-28,10,28,1959,1959.0,38.0,1959.1,1,0.985
1959-10-29,10,29,1959,1959.0,38.0,1959.1,1,0.985
1959-10-30,10,30,1959,1959.0,38.0,1959.1,1,0.985
1959-10-31,10,31,1959,1959.0,40.0,1959.1,1,0.982
1959-11-01,11,1,1959,1959.0,43.0,1959.11,2,0.973
1959-11-02,11,2,1959,1959.0,43.0,1959.11,2,0.973
1959-11-03,11,3,1959,1959.0,43.0,1959.11,2,0.973
1959-11-04,11,4,1959,1959.0,45.0,1959.11,2,0.969
1959-11-05,11,5,1959,1959.0,49.0,1959.11,2,0.9570000000000001
1959-11-06,11,6,1959,1959.0,49.0,1959.11,2,0.9570000000000001
1959-11-07,11,7,1959,1959.0,49.0,1959.11,2,0.9570000000000001
1959-11-08,11,8,1959,1959.0,51.0,1959.11,2,0.9530000000000001
