,Shift,All
0,1,0.7989886961442739
1,2,0.8106351376182309
2,3,0.8219691062147789
3,4,0.8329502750646528
4,5,0.8435402284578114
5,6,0.8537009236427577
6,7,0.8633892149798829
7,8,0.8725567293588125
8,9,0.8811417729203858
9,10,0.8890896167100205
10,11,0.8963414769849445
11,12,0.9028599757540037
12,13,0.9086104678486503
13,14,0.9135621591683106
14,15,0.9176906070314017
15,16,0.9209785525010956
16,17,0.923408899230831
17,18,0.9249781284854075
18,19,0.9256902227503445
19,20,0.9255675924123469
20,21,0.9246439698042401
21,22,0.9229537430214246
22,23,0.9205229414807167
23,24,0.9173890065928485
24,25,0.9135941809221628
25,26,0.9091882561721678
26,27,0.9042299618473231
27,28,0.8987665795675529
28,29,0.8928431220885928
