WaterYear,Flow_min,Flow_median,Flow_mean,Flow_max,Flow_range,Volume
1959,38.0,262.0,814.5308123249298,5477.0,5439.0,25.12404
1960,55.0,287.0,1048.9506849315069,5480.0,5425.0,33.079708800000006
1961,77.0,432.0,1123.441095890411,5725.0,5648.0,35.42883839999999
1962,87.0,392.0,1188.8438356164384,5469.0,5382.0,37.49137920000001
1963,79.0,299.5,535.2950819672132,1955.0,1876.0,16.927315200000002
1964,63.0,241.0,615.6164383561644,2549.0,2486.0,19.41408
1965,55.0,262.0,594.7068493150684,4407.0,4352.0,18.754675199999998
1966,70.0,223.0,658.3698630136986,4218.0,4148.0,20.762351999999996
1967,59.0,503.8255813953489,1474.021857923497,6035.0,5976.0,46.612108799999994
1968,78.0,392.0,1386.5164383561644,7416.0,7338.0,43.725182400000016
1969,91.0,352.0,988.3657534246576,5283.0,5192.0,31.1691024
1970,91.0,320.0,672.2164383561644,2876.0,2785.0,21.1990176
1971,82.0,273.5,413.0136612021858,1483.0,1401.0,13.060483199999998
1972,64.0,223.0,402.5876712328767,1275.0,1211.0,12.696004799999999
1973,53.0,244.0,546.641095890411,2064.0,2011.0,17.238873599999994
1974,63.0,338.0,776.8712328767124,3582.0,3519.0,24.4994112
1975,70.0,283.5,857.1010928961749,3946.0,3876.0,27.103593600000004
1976,91.0,291.0,656.7698630136987,3107.0,3016.0,20.7118944
1977,74.0,338.0,903.6931506849315,5290.0,5216.0,28.4988672
1978,77.0,378.0,964.0520547945206,5735.0,5658.0,30.4023456
1979,73.0,365.5,754.1666666666666,2780.0,2707.0,23.848560000000003
1980,63.0,220.0,518.254794520548,3599.0,3536.0,16.3436832
1981,55.0,180.0,322.37397260273974,1459.0,1404.0,10.166385600000002
1982,43.0,204.0,285.82465753424657,733.0,690.0,9.0137664
1983,33.0,158.5,444.80054644808746,2086.0,2053.0,14.065660799999998
1984,33.0,197.0,425.14794520547946,1815.0,1782.0,13.4074656
1985,26.0,129.0,483.3150684931507,4407.0,4381.0,15.241824
1986,45.0,325.0,547.7671232876712,2433.0,2388.0,17.274384
1987,55.0,187.5,423.92349726775956,2183.0,2128.0,13.405478400000002
1988,51.0,311.96,790.0095890410959,3653.0,3602.0,24.913742399999997
1989,52.0,201.0,281.44109589041096,918.0,866.0,8.8755264
1990,43.0,173.0,480.6794520547945,2173.0,2130.0,15.1587072
1991,28.82258064516129,165.5,299.03142076502735,953.0,924.1774193548387,9.4560912
1992,24.0,170.234375,542.2369863013698,3436.0,3412.0,17.099985599999997
1993,36.0,122.61538461538461,324.6356164383562,1794.0,1758.0,10.2377088
1994,35.0,114.0,305.8958904109589,1672.0,1637.0,9.646732800000002
1995,27.0,104.0,208.95901639344262,830.0,803.0,6.607785599999999
1996,24.0,163.0,373.2130663856691,1479.0,1455.0,11.769647261538461
1997,36.0,236.0,921.4184404636459,4558.0,4522.0,29.05785193846154
1998,42.0,202.0,662.9397260273972,3530.0,3488.0,20.9064672
1999,45.0,146.0625,405.29234972677597,2540.0,2495.0,12.816316799999997
2000,37.39194577,306.2987877,755.281180108411,3754.526707,3717.13476123,23.81854729589885
2001,53.85222294,269.5516611,482.1701158035345,1659.3508199999999,1605.4985970599998,15.205716771980258
2002,61.67320991,294.80445469999995,680.5028325244928,3544.87974,3483.20653009,21.460337326492414
2003,56.88364853,233.93521245,700.8736914206281,3218.596682,3161.71303347,22.16330821957968
2004,52.26542356,194.1910624,356.83796955887675,1053.325632,1001.06020844,11.253242208008734
2005,41.57016113,172.6210898,463.96944785690386,1891.958298,1850.38813687,14.631740507615328
2006,59.15303492,309.7416536,840.1322215560537,4065.482543,4006.32950808,26.49440973899174
2007,58.94511251,254.52529435000002,530.7384183545624,2262.69807,2203.75295749,16.783222560575325
2008,34.71527185,278.54436519999996,813.6569717163833,5005.584142000001,4970.8688701500005,25.659486260047878
2009,54.45265558,383.5476421,1030.368430042164,5234.101552,5179.64889642,32.49369880980969
2010,40.68364937,412.9400058,1115.6717608313143,4012.0121289999997,3971.32847963,35.18382464957635
2011,69.50999067,303.0984753,700.7560844905191,3882.3292950000005,3812.8193043300003,22.159589206192994
2012,60.61751045,274.0317673,695.8676199064657,3089.129703,3028.5121925500002,21.94488126137031
2013,52.46262996,346.9100753,795.2509977816993,3308.6543829999996,3256.1917530399996,25.07903546604365
2014,61.03882688,224.6759875,402.85059081695874,1401.470809,1340.43198212,12.704296232003616
2015,50.8941474,237.7605652,799.2605281414474,3429.601153,3378.7070056000002,25.274536125100138
2016,48.19989195,181.72840060000001,508.636628174356,3335.639173,3287.43928105,16.040364706106494
2017,43.36837907,404.65269700000005,986.491220086603,4916.311666,4872.94328693,31.109987116651098
2018,42.0,137.0,255.60427848876714,764.3971905000001,722.3971905000001,8.06073652642176
2019,39.0,644.5,1549.121212121212,5825.0,5786.0,35.33483519999999
