,date,market,hour,price,volume,year,month,day,day_of_week,value,cat
0,2016-01-01,1,0,40.1,477.5,2016,1,1,4,19147.75,off
1,2016-01-01,1,1,40.08,486.6,2016,1,1,4,19502.928,off
2,2016-01-01,1,2,40.06,495.6,2016,1,1,4,19853.736,off
3,2016-01-01,1,3,40.08,496.6,2016,1,1,4,19903.728,off
4,2016-01-01,1,4,40.07,502.9,2016,1,1,4,20151.202999999998,off
5,2016-01-01,1,5,35.09,410.1,2016,1,1,4,14390.409000000001,off
6,2016-01-01,1,6,35.1,413.3,2016,1,1,4,14506.830000000002,standard
7,2016-01-01,1,7,48.03,350.0,2016,1,1,4,16810.5,morning
8,2016-01-01,1,8,45.1,323.0,2016,1,1,4,14567.300000000001,morning
9,2016-01-01,1,9,48.01,320.0,2016,1,1,4,15363.199999999999,morning
10,2016-01-01,1,10,48.01,320.0,2016,1,1,4,15363.199999999999,standard
11,2016-01-01,1,11,48.02,315.0,2016,1,1,4,15126.300000000001,standard
12,2016-01-01,1,12,48.03,310.0,2016,1,1,4,14889.300000000001,standard
13,2016-01-01,1,13,45.1,323.0,2016,1,1,4,14567.300000000001,standard
14,2016-01-01,1,14,45.09,323.0,2016,1,1,4,14564.070000000002,standard
15,2016-01-01,1,15,45.09,323.0,2016,1,1,4,14564.070000000002,standard
16,2016-01-01,1,16,56.08,100.0,2016,1,1,4,5608.0,standard
17,2016-01-01,1,17,56.09,80.0,2016,1,1,4,4487.200000000001,standard
18,2016-01-01,1,18,60.02,53.0,2016,1,1,4,3181.06,standard
19,2016-01-01,1,19,60.08,53.0,2016,1,1,4,3184.24,evening
20,2016-01-01,1,20,60.02,56.0,2016,1,1,4,3361.1200000000003,evening
21,2016-01-01,1,21,40.09,360.0,2016,1,1,4,14432.400000000001,standard
22,2016-01-01,1,22,40.08,486.6,2016,1,1,4,19502.928,off
23,2016-01-01,1,23,40.06,495.6,2016,1,1,4,19853.736,off
24,2016-01-02,1,0,43.95,479.0,2016,1,2,5,21052.050000000003,off
25,2016-01-02,1,1,43.8,479.0,2016,1,2,5,20980.199999999997,off
26,2016-01-02,1,2,43.8,479.0,2016,1,2,5,20980.199999999997,off
27,2016-01-02,1,3,43.86,486.0,2016,1,2,5,21315.96,off
28,2016-01-02,1,4,43.56,486.0,2016,1,2,5,21170.16,off
29,2016-01-02,1,5,42.23,482.0,2016,1,2,5,20354.859999999997,off
30,2016-01-02,1,6,40.03,403.1,2016,1,2,5,16136.093,off
31,2016-01-02,1,7,52.0,265.0,2016,1,2,5,13780.0,standard
32,2016-01-02,1,8,52.1,215.0,2016,1,2,5,11201.5,standard
33,2016-01-02,1,9,56.01,195.0,2016,1,2,5,10921.949999999999,standard
34,2016-01-02,1,10,56.05,140.0,2016,1,2,5,7847.0,standard
35,2016-01-02,1,11,56.01,195.0,2016,1,2,5,10921.949999999999,standard
36,2016-01-02,1,12,50.06,280.8,2016,1,2,5,14056.848000000002,off
37,2016-01-02,1,13,50.05,285.6,2016,1,2,5,14294.28,off
38,2016-01-02,1,14,50.31,263.0,2016,1,2,5,13231.53,off
39,2016-01-02,1,15,50.49,263.0,2016,1,2,5,13278.87,off
40,2016-01-02,1,16,56.07,115.0,2016,1,2,5,6448.05,off
41,2016-01-02,1,17,56.06,120.0,2016,1,2,5,6727.200000000001,off
42,2016-01-02,1,18,113.28,40.0,2016,1,2,5,4531.2,off
43,2016-01-02,1,19,118.49,40.0,2016,1,2,5,4739.599999999999,standard
44,2016-01-02,1,20,50.01,300.0,2016,1,2,5,15003.0,standard
45,2016-01-02,1,21,42.65,356.0,2016,1,2,5,15183.4,off
46,2016-01-02,1,22,44.16,476.0,2016,1,2,5,21020.16,off
47,2016-01-02,1,23,43.71,476.0,2016,1,2,5,20805.96,off
48,2016-01-03,1,0,44.81,476.0,2016,1,3,6,21329.56,off
49,2016-01-03,1,1,44.44,476.0,2016,1,3,6,21153.44,off
50,2016-01-03,1,2,44.06,476.0,2016,1,3,6,20972.56,off
51,2016-01-03,1,3,44.44,486.0,2016,1,3,6,21597.84,off
