year,month,day,volume,value,price_weight_av,price_max,price_min,price_mean,power_max,power_min,power_mean,price_morning_max,price_evening_max,price_standard,off_price_mean,standard_price_mean,morning_price_mean,evening_price_mean,off_hour_count,standard_hour_count,morning_hour_count,evening_hour_count,off_volume,standard_volume,morning_volume,evening_volume,off_value,standard_value,morning_value,evening_value
2016,1,1,7873.800000000001,336882.508,42.78525083187279,60.08,35.09,45.98250000000001,502.9,53.0,328.07500000000005,48.03,60.08,45.8275,39.4525,47.88363636363636,47.04666666666666,60.05,8,11.0,3.0,2.0,3851.5,2920.3,993.0,109.0,152306.418,131289.73,46741.0,6545.360000000001
2016,1,2,7319.500000000001,345982.021,47.268532140173505,118.49,40.03,54.11416666666668,486.0,40.0,304.9791666666667,56.05,118.49,50.227500000000006,50.474705882352936,62.952857142857134,,,17,7.0,,,5969.5,1350.0,,,271567.021,74415.0,,
2016,1,3,7198.700000000001,351712.73299999995,48.857812243877355,118.47,44.06,54.959166666666654,486.0,40.0,299.9458333333334,56.01,118.47,50.605000000000004,54.959166666666654,,,,24,,,,7198.700000000001,,,,351712.73299999995,,,
2016,1,4,4457.0,225938.81,50.693024455912045,177.66,46.7,80.16458333333334,486.0,0.0,185.70833333333334,80.02,177.66,80.02,46.99125,95.47636363636362,80.02,128.86,8,11.0,3.0,2.0,3828.0,464.0,109.0,56.0,179880.68000000002,32852.59,8722.179999999998,4483.360000000001
2016,1,5,3750.4,179068.88199999998,47.74660889505119,181.4,42.06,84.50333333333333,436.0,0.0,156.26666666666668,148.4,181.4,80.05,42.22125,102.52090909090909,80.03666666666668,161.235,8,11.0,3.0,2.0,3230.0,368.4,109.0,43.0,136366.41999999998,27912.322,8724.130000000001,6066.009999999999
2016,1,6,4230.0,208868.87999999998,49.377985815602834,118.23,41.83,70.43625,446.0,27.0,176.25,80.04,118.23,80.0125,42.035,83.25727272727273,80.02666666666666,99.14,8,11.0,3.0,2.0,3358.0,652.0,117.0,103.0,141098.52,48519.87,9363.6,9886.89
2016,1,7,3657.7,208429.81199999998,56.983845586024,174.44,48.08,78.83374999999998,390.0,27.0,152.40416666666667,80.04,174.44,80.0225,48.45624999999999,89.02272727272725,80.03333333333333,142.505,8,11.0,3.0,2.0,2874.7,573.7,121.0,88.3,139233.076,47302.884000000005,9684.3,12209.552
2016,1,8,3996.1000000000004,222857.201,55.76867470784014,174.24,47.32,78.45541666666665,440.0,27.0,166.5041666666667,80.04,174.24,80.02250000000001,47.68875,88.79545454545452,80.03333333333335,142.285,8,11.0,3.0,2.0,3202.0,580.4,121.0,92.69999999999999,152599.68000000002,47763.666000000005,9684.3,12809.555
2016,1,9,5905.4,305033.23899999994,51.6532731059708,115.35,48.01,68.76541666666665,524.9,25.0,246.0583333333333,111.72,115.35,56.08,55.06117647058824,102.04714285714284,,,17,7.0,,,5416.1,489.3,,,268963.55299999996,36069.686,,
2016,1,10,4702.0,264909.88800000004,56.33983156103786,115.66,50.18,68.1625,400.0,30.9,195.91666666666666,109.27,115.66,56.06,68.1625,,,,24,,,,4702.0,,,,264909.88800000004,,,
2016,1,11,3760.0,213514.08999999997,56.78566223404255,177.63,50.08,102.80000000000001,440.0,0.0,156.66666666666666,159.02,177.63,102.76,51.427499999999995,115.69363636363637,145.3133333333333,173.60500000000002,8,11.0,3.0,2.0,3377.0,333.0,0.0,50.0,173601.45,31401.440000000002,0.0,8511.2
2016,1,12,3240.9,186667.926,57.59755808571693,165.81,48.08,92.45041666666664,352.4,1.1,135.0375,138.38,165.81,105.11,48.20875,106.44,119.10666666666667,152.49,8,11.0,3.0,2.0,2773.8,370.9,21.2,75.0,133717.68,38683.402,2870.0539999999996,11396.789999999999
2016,1,13,3399.2,197420.04,58.078383148976236,165.81,48.1,91.8270833333333,372.0,18.0,141.63333333333333,125.44,165.81,105.0625,48.39375,106.37636363636362,113.86,152.49,8,11.0,3.0,2.0,2890.2,362.0,72.0,75.0,139844.84,37772.05,8406.36,11396.789999999999
2016,1,14,3392.2,196421.836,57.903966747243686,165.37,48.13,89.49,371.0,18.0,141.34166666666667,125.1,165.37,99.07,48.53249999999999,102.9181818181818,107.74666666666667,152.07999999999998,8,11.0,3.0,2.0,2883.0,362.2,72.0,75.0,139912.25999999998,37073.326,8070.119999999999,11366.13
2016,1,15,3050.3,183991.63000000003,60.319191554929034,174.31,48.04,91.10916666666667,330.0,17.0,127.09583333333335,139.6,174.31,99.07,48.08375,104.06090909090909,112.58,159.76999999999998,8,11.0,3.0,2.0,2494.1000000000004,388.7,79.0,88.5,119928.798,40352.776999999995,9650.38,14059.675
2016,1,16,4731.9,245134.513,51.80466894904796,115.38,46.93,68.31208333333332,400.0,21.0,197.1625,115.38,112.03,56.057500000000005,54.04705882352941,102.95571428571428,,,17,7.0,,,4220.9,511.0,,,206424.483,38710.03,,
2016,1,17,4165.0,220329.04299999998,52.90013037214885,112.01,48.31,65.19208333333333,363.0,26.2,173.54166666666666,109.0,112.01,56.0425,65.19208333333333,,,,24,,,,4165.0,,,,220329.04299999998,,,
2016,1,18,3107.6,167935.11,54.04013064744497,177.32,48.21,101.8895833333333,370.0,0.0,129.48333333333332,174.25,177.32,101.81,48.68625,113.61999999999998,152.75,173.89499999999998,8,11.0,3.0,2.0,2810.0,246.4,0.0,51.2,136836.9,22341.376000000004,0.0,8756.834
2016,1,19,2279.2,136417.314,59.85315637065638,144.58,51.0,91.73374999999999,260.0,2.0,94.96666666666665,144.58,144.58,103.55,51.51875,103.63818181818179,121.15333333333335,142.99,8,11.0,3.0,2.0,1950.0,233.2,28.0,68.0,100467.5,22350.614,3907.6800000000003,9691.52
2016,1,20,2314.3999999999996,142231.32799999998,61.4549464223989,160.96,51.13,93.33083333333332,260.0,1.8,96.43333333333332,153.36,160.96,103.83,51.6525,104.63000000000001,124.08666666666666,151.765,8,11.0,3.0,2.0,1950.0,252.6,32.8,79.0,100728.3,24742.606,4872.1320000000005,11888.29
2016,1,21,2219.7,129012.61499999999,58.121644816867146,149.67,50.48,90.41416666666669,260.0,2.5,92.4875,149.67,144.93,102.47,51.0525,102.16090909090909,122.81666666666666,134.65,8,11.0,3.0,2.0,1940.0,197.7,33.0,49.0,99052.55,18614.225000000002,4737.71,6608.13
2016,1,22,2634.0000000000005,176685.80599999998,67.07889369779801,150.1,50.82,97.94124999999998,280.0,2.7,109.75000000000001,150.08,150.1,101.84,51.332499999999996,115.57545454545453,122.80666666666667,150.09,8,11.0,3.0,2.0,2050.0,464.1,34.0,85.9,105255.55,53656.00600000001,4881.8060000000005,12892.444
2016,1,23,3068.1,170037.79600000003,55.42120400247712,115.29,50.27,70.08749999999999,296.0,13.0,127.83749999999999,115.29,109.3,56.635000000000005,56.50764705882355,103.06714285714285,,,17,7.0,,,2714.4,353.7,,,140061.02600000004,29976.77,,
2016,1,24,3395.9,180291.21,53.090847787037305,69.35,51.06,56.76458333333333,316.0,0.0,141.49583333333334,69.35,66.14,56.05,56.76458333333333,,,,24,,,,3395.9,,,,180291.21,,,
