MonthId,Year,Month,WaterYear,WaterMonth,WaterDay,WaterWeek,CC_Factor,SampleFlow,Impact_2070,Flow,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowCanal,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,Turbines,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,LevelTailwater,LevelHeadpond,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadlossTurbine1,HeadlossTurbine2,HeadlossTurbine3,HeadlossTurbine4,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,LoadFactorTurbine1,LoadFactorTurbine2,LoadFactorTurbine3,LoadFactorTurbine4,EffGen1,EffGen2,EffGen3,EffGen4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,PerfMwPerCumec,Power_max,Power_min,Turbines_max,Turbines_min,Energy,Days,CapFactor
2017.1,2017.0,10.0,2017.0,1.0,16.0,2.7419354838709675,0.3375000000000002,326.174682452915,-0.24391966499999998,299.3230409474686,41.74193548387097,6.354838709677419,5.032258064516129,2.6774193548387095,56.774193548387096,112.58064516129032,0.3766027372920642,186.74239578617832,0.0,0.0,0.0,0.0,0.0,0.0,41.74193548387097,6.354838709677419,5.032258064516129,2.6774193548387095,56.774193548387096,239.8714280442428,1.0,186.74239578617832,,,,964.8887345460774,990.0,0.12161084750495835,0.008909763038293413,989.8694793894571,0.24835540506589185,,,,24.732389438313472,,,,0.9332258064516127,,,,0.7469695831447134,,,,0.9703225806451609,,,,41.037881788597325,,,,41.037881788597325,0.13699024924143793,47.47955285144522,38.13812754751686,1,1,30532.18405071638,31,0.22798823215887382
2017.11,2017.0,11.0,2017.0,2.0,46.5,7.066666666666666,0.3375000000000002,378.6682382822391,-0.2960105510000001,340.837932854447,42.0,7.0,6.0,3.0,56.0,114.0,0.3372902144078705,226.837932854447,0.0,0.0,0.0,0.0,0.0,0.0,42.0,7.0,6.0,3.0,56.0,281.837932854447,1.0,226.837932854447,,,,965.0375629422057,990.0,0.1355547765459746,0.0157241345765547,989.8487210888774,0.3709152896261313,,,,24.440242857045483,,,,0.940333333333333,,,,0.907351731417788,,,,0.9760000000000003,,,,49.93514293776965,,,,49.93514293776965,0.1458380980715596,60.22894580850386,39.274700592403924,1,1,35953.30291519413,30,0.2774174607653868
2017.12,2017.0,12.0,2017.0,3.0,77.0,11.419354838709678,0.3375000000000002,549.9875597655345,-0.39636746799999983,476.41351269821416,44.0,8.0,6.0,4.0,64.0,126.0,0.26944880644081487,350.4135126982143,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8.0,6.0,4.0,64.0,408.4135126982143,1.8064516129032258,200.7869574928372,185.53692845466753,,,965.5988237587852,990.0,0.17775032377339223,0.040082702539642856,989.7821669736866,0.2965595494272601,0.24897747157778025,,,23.886783665474457,23.83415532425705,,,0.9325806451612906,0.9284000000000003,,,0.8031478299713487,0.7421477138186704,,,0.9738709677419354,0.9724,,,42.83817013696152,39.153777906662434,,,74.41379748104414,0.15537089238207305,96.1876983369063,56.35711364501198,2,1,55363.86532589683,31,0.4134099860058007
2018.01,2018.0,1.0,2017.0,4.0,108.0,15.870967741935484,0.3499999999999998,850.4922096432364,-0.32654580800000005,753.2885766147567,46.96774193548387,7.32258064516129,6.32258064516129,4.32258064516129,77.61290322580645,142.5483870967742,0.19199996379052917,610.7401895179825,0.0,0.0,0.0,0.0,0.0,0.0,46.96774193548387,7.32258064516129,6.32258064516129,4.32258064516129,77.61290322580645,671.3530927437889,2.7419354838709675,225.03372143591312,225.03372143591312,216.5589193926453,,966.8085519598674,990.0,0.30601311452921626,0.11163126542833018,989.5823556200423,0.36203417566951457,0.36203417566951457,0.3344505128066686,,22.411769484505715,22.411769484505715,22.247137190430454,,0.9380645161290326,0.9380645161290326,0.9360869565217392,,0.9001348857436527,0.9001348857436527,0.8662356775705815,,0.9770967741935487,0.9770967741935487,0.9760869565217393,,45.37916103719561,45.37916103719561,43.15528942051863,,122.77676261219534,0.16272490593419178,144.61826929182172,95.61173262321766,3,2,91345.91138347339,31,0.6820931256233078
2018.02,2018.0,2.0,2017.0,5.0,137.5,20.071428571428573,0.3499999999999998,1385.3666143469275,-0.32466112599999997,1227.945474619089,49.0,8.0,7.0,5.0,93.0,162.0,0.1399000312255094,941.8321338457037,124.11334077338542,16.784610225034303,3.185898031123162,4.702494422833091,3.8306586658452284,95.60967942854963,65.7846102250343,11.18589803112316,11.70249442283309,8.83065866584523,188.60967942854964,1030.5051365246943,3.6785714285714284,256.1863789392611,256.1863789392611,256.1863789392611,255.34967983061975,968.6195453820347,990.0,0.6446772975520909,0.3270322231435732,989.0282904793045,0.46785901210455744,0.46785901210455744,0.46785901210455744,0.4661506557099821,19.94088608516491,19.94088608516491,19.94088608516491,19.26839528504654,0.9357038296677104,0.9357038296677104,0.9357038296677104,0.9336688016155736,1.0247455157570449,1.0247455157570449,1.0247455157570449,1.0213987193224792,0.9792857142857146,0.9792857142857146,0.9792857142857146,0.9789473684210529,45.74523500716453,45.74523500716453,45.74523500716453,43.835867753290856,166.9814724255124,0.14195696092964627,190.7741553689101,141.6716409436259,4,3,112211.54946994431,28,0.9276748468084021
2018.03,2018.0,3.0,2017.0,6.0,167.0,24.258064516129032,0.3499999999999998,2781.0665634014986,-0.39576539699999996,2395.8390940096924,64.80645161290323,12.935483870967742,15.225806451612904,18.161290322580644,176.90322580645162,288.03225806451616,0.12350549048067647,1100.0,1007.8068359451761,35.19354838709677,5.064516129032259,9.774193548387094,55.81884904368449,901.9557288369756,100.0,18.0,25.0,73.98013936626513,1078.8589546434273,1243.0,4.0,275.0,275.0,275.0,275.0,972.1614336492452,990.0,0.9219672131147545,0.4800000000000003,988.5980327868855,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,15.901664357640232,15.901664357640232,15.901664357640232,15.901664357640232,0.9183023715998527,0.9183023715998527,0.9183023715998527,0.9183023715998527,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,38.618122335797246,38.618122335797246,38.618122335797246,38.618122335797246,154.47248934318898,0.06597927326823434,170.75261134733304,145.73024117667552,4,4,114927.53207133258,31,0.8581804963510498
2018.04,2018.0,4.0,2017.0,7.0,197.5,28.666666666666668,0.3499999999999998,2570.3181354737953,-0.3863576779999997,2222.7463841837643,64.66666666666667,13.666666666666666,16.666666666666668,23.0,151.0,269.0,0.12101162796731271,1100.0,853.7463841837639,35.333333333333336,4.333333333333333,8.333333333333334,54.55120590803883,751.195178275725,100.0,18.0,25.0,77.55120590803882,902.195178275725,1243.0,4.0,275.0,275.0,275.0,275.0,971.7178992116409,990.0,0.9219672131147545,0.4800000000000003,988.5980327868855,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,16.34519879524431,16.34519879524431,16.34519879524431,16.34519879524431,0.9220739092295119,0.9220739092295119,0.9220739092295119,0.9220739092295119,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,39.85488678255874,39.85488678255874,39.85488678255874,39.85488678255874,159.41954713023495,0.07306236394225411,171.25007123008336,147.95349437113092,4,4,114782.07393376912,30,0.8856641507235271
2018.05,2018.0,5.0,2017.0,8.0,228.0,33.0,0.3499999999999998,1688.2304414879713,-0.3628664760000001,1473.819660645438,55.0,13.0,13.0,17.0,178.0,276.0,0.19029623669500884,1062.2596127580089,135.56004788743,20.735552330939115,2.7623038828843516,5.276603061472447,8.349713094515614,98.43587551761841,75.73555233093911,15.76230388288435,18.276603061472446,25.34971309451561,276.43587551761846,1172.0340720333043,4.0,265.5649031895022,265.5649031895022,265.5649031895022,265.5649031895022,969.510176043245,990.0,0.8081069662354853,0.43547607134593164,988.7564169624186,0.5004710355854977,0.5004710355854977,0.5004710355854977,0.5004710355854977,18.745769883588338,18.745769883588338,18.745769883588338,18.745769883588338,0.9342937308538225,0.9342937308538225,0.9342937308538225,0.9342937308538225,1.0622596127580086,1.0622596127580086,1.0622596127580086,1.0622596127580086,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,44.61666895294928,44.61666895294928,44.61666895294928,44.61666895294928,178.4666758117971,0.12304949211479531,186.55628259515169,167.51091894523555,4,4,132779.20680397705,31,0.9914815322877617
2018.06,2018.0,6.0,2017.0,9.0,258.5,37.333333333333336,0.3499999999999998,1038.6752782500848,-0.350233472,911.3526811063518,53.0,12.0,12.0,13.0,120.0,210.0,0.23643356861939333,701.3526811063518,0.0,0.0,0.0,0.0,0.0,0.0,53.0,12.0,12.0,13.0,120.0,778.352681106352,3.066666666666667,230.0603513435266,230.0603513435266,227.27019837745394,222.17205616323056,967.456013166467,990.0,0.38804938668411976,0.15768895881361508,989.4542616545023,0.3784987437139227,0.3784987437139227,0.36970312996459836,0.3502331082334526,21.619749744321304,21.619749744321304,21.40558095890411,20.64797463276176,0.9373333333333334,0.9373333333333334,0.9367999999999997,0.9371428571428569,0.9202414053741063,0.9202414053741063,0.9090807935098156,0.8886882246529224,0.9773333333333334,0.9773333333333334,0.9767999999999999,0.9771428571428571,44.680654911933864,44.680654911933864,43.61372809394636,41.19379147020578,135.31796791187105,0.1480925104036257,174.6039377026683,93.24903481790597,4,2,97428.93689654712,30,0.7517664883992834
2018.07,2018.0,7.0,2017.0,10.0,289.0,41.74193548387097,0.3499999999999998,589.4764401060723,-0.335436778,520.2702128844404,58.0,11.0,11.0,11.0,136.0,227.0,0.44204446122929847,293.2702128844406,0.0,0.0,0.0,0.0,0.0,0.0,58.0,11.0,11.0,11.0,136.0,373.2702128844406,1.4838709677419355,209.90262971543993,172.29300521593464,,,965.7898459669291,990.0,0.1659199968988917,0.028654042576888104,989.8054259605243,0.32447840904123426,0.2140306482406734,,,23.691101584553845,23.54710410210587,,,0.934193548387097,0.9233333333333333,,,0.8396105188617597,0.6891720208637386,,,0.9748387096774196,0.9700000000000002,,,44.592338317603826,35.632045164934986,,,61.83365049418528,0.11790239266325085,86.81364341829504,44.26664505662246,2,1,46004.23596767383,31,0.3435202805232514
