MonthId,Year,Month,WaterYear,WaterMonth,WaterDay,WaterWeek,CC_Factor,SampleCC_Factor,SampleFlowUnadjusted,SampleFlow,Impact_2070,Flow,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowCanal,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,Turbines,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,LevelTailwater,LevelHeadpond,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadlossTurbine1,HeadlossTurbine2,HeadlossTurbine3,HeadlossTurbine4,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,LoadFactorTurbine1,LoadFactorTurbine2,LoadFactorTurbine3,LoadFactorTurbine4,EffGen1,EffGen2,EffGen3,EffGen4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,PerfMwPerCumec,Power_max,Power_min,Turbines_max,Turbines_min,Energy,Days,CapFactor
2017.1,2017.0,10.0,2017.0,1.0,16.0,2.7419354838709675,0.3375000000000002,0.0,379.42073163836506,379.42073163836506,-0.24391966499999998,348.18572164595616,41.74193548387097,6.354838709677419,5.032258064516129,2.6774193548387095,56.774193548387096,112.58064516129032,0.32310600203932505,235.60507648466603,0.0,0.0,0.0,0.0,0.0,0.0,41.74193548387097,6.354838709677419,5.032258064516129,2.6774193548387095,56.774193548387096,288.7341087427305,1.0,235.60507648466603,,,,965.0601585695098,990.0,0.13784527596622043,0.01712101529693322,989.8450337087369,0.3933102786411754,,,,24.391564860585376,,,,0.9412903225806456,,,,0.9424203059386638,,,,0.9800000000000003,,,,52.007099837069205,,,,52.007099837069205,0.14941765143400038,55.39018577140565,49.92071591237319,1,1,38693.28227877948,31,0.2889283324281622
2017.11,2017.0,11.0,2017.0,2.0,46.5,7.066666666666666,0.3375000000000002,0.0,378.45888883306895,378.45888883306895,-0.2960105510000001,340.6494981607345,42.0,7.0,6.0,3.0,56.0,114.0,0.3348724621284787,226.64949816073445,0.0,0.0,0.0,0.0,0.0,0.0,42.0,7.0,6.0,3.0,56.0,281.6494981607345,1.0,226.64949816073445,,,,965.0321695768959,990.0,0.13549245326371254,0.015329899632146881,989.849177647104,0.3641260963796012,,,,24.45288197382876,,,,0.9400000000000003,,,,0.9065979926429378,,,,0.9800000000000003,,,,50.07980345085573,,,,50.07980345085573,0.14697485414998518,53.703092056995686,47.521905916168606,1,1,36057.45848461612,30,0.2782211302825318
2017.12,2017.0,12.0,2017.0,3.0,77.0,11.419354838709678,0.3375000000000002,0.0,470.4717406859633,470.4717406859633,-0.39636746799999983,407.53484442629224,42.0,7.0,5.0,3.0,61.0,118.0,0.29254749007202446,289.53484442629224,0.0,0.0,0.0,0.0,0.0,0.0,42.0,7.0,5.0,3.0,61.0,343.53484442629235,1.5483870967741935,200.98365822307906,161.47569248821225,,,965.3023428686698,990.0,0.1560447822817945,0.027906968885258447,989.816048248833,0.30022064059603315,0.18556598887908143,,,24.213484739567292,24.17114588261092,,,0.9322580645161295,0.9205882352941176,,,0.8039346328923161,0.6459027699528488,,,0.9745161290322577,0.9700000000000001,,,43.57331657471317,34.190934452739135,,,62.32318385524754,0.15256229884618952,76.1550204633285,50.95017527787292,2,1,46368.44878830418,31,0.34623991030693085
2018.01,2018.0,1.0,2017.0,4.0,108.0,15.870967741935484,0.3499999999999998,0.0,691.5144205949545,691.5144205949545,-0.32654580800000005,612.4805232690634,46.0,7.0,6.0,4.0,76.0,139.0,0.23160269439793316,473.4805232690634,0.0,0.0,0.0,0.0,0.0,0.0,46.0,7.0,6.0,4.0,76.0,532.4805232690634,2.225806451612903,213.715264417158,213.715264417158,203.93568963959578,,966.1957372036987,990.0,0.23126415103945316,0.06965196761477722,989.6990838813457,0.32763480508129067,0.32763480508129067,0.29588025880667274,,23.175711872565834,23.175711872565834,22.485699167553427,,0.9370967741935484,0.9370967741935484,0.9328571428571427,,0.8548610576686321,0.8548610576686321,0.8157427585583832,,0.9741935483870967,0.9741935483870967,0.9728571428571428,,44.34695107487801,44.34695107487801,40.81083419692493,,97.90925180712615,0.15935355637869916,134.07509220053848,74.77417765651272,3,2,72844.48334450186,31,0.5439402878173675
2018.02,2018.0,2.0,2017.0,5.0,137.5,20.071428571428573,0.3499999999999998,0.0,1043.6919082991394,1043.6919082991394,-0.32466112599999997,925.0957417482188,49.0,8.0,7.0,5.0,93.0,162.0,0.18009789252623412,760.6536436052795,2.442098142939147,0.7386593148396184,0.12059743915748873,0.10552275926280263,0.07537339947343046,1.4019452302058064,49.738659314839616,8.120597439157489,7.1055227592628025,5.07537339947343,94.40194523020581,825.6184231185396,3.3214285714285716,227.61569823580368,227.61569823580368,227.61569823580368,242.06481879336914,967.5069502389837,990.0,0.4312592354960033,0.1973030645712662,989.3714376999326,0.3702259113497397,0.3702259113497397,0.3702259113497397,0.418051809833687,21.49426154959918,21.49426154959918,21.49426154959918,20.276169060492595,0.9365542033857926,0.9365542033857926,0.9365542033857926,0.9370575216446875,0.9104627929432151,0.9104627929432151,0.9104627929432151,0.9682592751734767,0.9771428571428574,0.9771428571428574,0.9771428571428574,0.9788888888888889,43.7833765565645,43.7833765565645,43.7833765565645,44.04099535695361,145.50616389157145,0.15765617779174534,190.7741553689101,117.3735962736167,4,3,97780.142135136,28,0.8083675771753969
2018.03,2018.0,3.0,2017.0,6.0,167.0,24.258064516129032,0.3499999999999998,0.0,2081.4215283655944,2081.4215283655944,-0.39576539699999996,1793.1074122413092,55.45161290322581,10.290322580645162,10.935483870967742,11.580645161290322,130.8709677419355,219.1290322580645,0.12446268701780205,1100.0,473.9783799832448,42.35709036584616,7.36345971282315,13.068098530174927,24.539487765654275,386.6502436087462,97.80870326907196,17.65378229346831,24.00358240114267,36.1201329269446,517.5212113506817,1239.466067963683,4.0,275.0,275.0,275.0,275.0,970.5191183433873,990.0,0.9150344419422148,0.4800000000000003,988.604965558058,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,17.550912434670625,17.550912434670625,17.550912434670625,17.550912434670625,0.9291366928522314,0.9291366928522314,0.9291366928522314,0.9291366928522314,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,43.11518434317514,43.11518434317514,43.11518434317514,43.11518434317514,172.46073737270052,0.09749116786383553,188.03058712494763,163.97064268160804,4,4,128310.78860528921,31,0.9581152076261142
2018.04,2018.0,4.0,2017.0,7.0,197.5,28.666666666666668,0.3499999999999998,0.0,2609.719538733831,2609.719538733831,-0.3863576779999997,2256.81972530808,54.0,13.0,14.0,19.0,117.0,217.0,0.09620219986004513,1100.0,939.8197253080788,46.0,5.0,11.000000000000002,61.0,816.819725308079,100.0,18.0,25.0,80.0,933.8197253080788,1243.0,4.0,275.0,275.0,275.0,275.0,971.8293092279397,990.0,0.9219672131147545,0.4800000000000003,988.5980327868855,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,16.23378877894537,16.23378877894537,16.23378877894537,16.23378877894537,0.9218787557617051,0.9218787557617051,0.9218787557617051,0.9218787557617051,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,39.566285915274335,39.566285915274335,39.566285915274335,39.566285915274335,158.26514366109734,0.0701783974143738,163.01649104881324,156.4823311851224,4,4,113950.90343599005,30,0.8792507981172072
2018.05,2018.0,5.0,2017.0,8.0,228.0,33.0,0.3499999999999998,0.0,2665.102849929227,2665.102849929227,-0.3628664760000001,2326.6260821632445,61.774193548387096,13.67741935483871,15.709677419354838,21.06451612903226,194.25806451612902,306.48387096774195,0.13266074995436974,1100.0,920.1422111955031,38.2258064516129,4.32258064516129,9.290322580645162,56.37342521337805,811.9300763047056,100.0,18.0,25.0,77.43794134241031,1006.1881408208345,1243.0,4.0,275.0,275.0,275.0,275.0,972.0034279406794,990.0,0.9219672131147545,0.4800000000000003,988.5980327868855,0.5349347800000003,0.5349347800000003,0.5349347800000003,0.5349347800000003,16.05967006620567,16.05967006620567,16.05967006620567,16.05967006620567,0.9202438348237477,0.9202438348237477,0.9202438348237477,0.9202438348237477,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,39.07564386527021,39.07564386527021,39.07564386527021,39.07564386527021,156.30257546108083,0.0676567760962872,166.6999569214954,152.1160818938568,4,4,116289.1161430441,31,0.8683476414504487
2018.06,2018.0,6.0,2017.0,9.0,258.5,37.333333333333336,0.3499999999999998,0.0,1634.491672066851,1634.491672066851,-0.350233472,1434.1328794247793,62.0,12.0,14.0,16.0,153.0,257.0,0.1874981397040169,1007.0945649502136,170.03831447456622,18.673324011590275,3.039151441183478,5.169805700073888,10.586042924486613,132.56999039723198,80.67332401159028,15.039151441183476,19.169805700073887,26.586042924486616,285.56999039723195,1121.9768461030612,3.8,264.55402182990406,264.55402182990406,264.55402182990406,266.790624325627,969.3466020456157,990.0,0.7571391006599887,0.38900997363836126,988.8538509257017,0.49690938166832244,0.49690938166832244,0.49690938166832244,0.5052984332542095,19.01033949841769,19.01033949841769,19.01033949841769,18.5106108055702,0.9345908578327325,0.9345908578327325,0.9345908578327325,0.9332385722909153,1.0582160873196162,1.0582160873196162,1.0582160873196162,1.0671624973025082,0.9800000000000003,0.9800000000000003,0.9800000000000003,0.9800000000000003,45.05322523837019,45.05322523837019,45.05322523837019,44.1909739622749,170.51245488493052,0.12292204234586525,187.47175037918063,137.9242871884012,4,3,122768.96751714994,30,0.9472914160273915
2018.07,2018.0,7.0,2017.0,10.0,289.0,41.74193548387097,0.3499999999999998,0.0,781.1817534183939,781.1817534183939,-0.335436778,689.468771778724,61.38709677419355,11.67741935483871,12.35483870967742,12.35483870967742,148.8709677419355,246.6451612903226,0.37260998602529644,442.82361048840147,0.0,0.0,0.0,0.0,0.0,0.0,61.38709677419355,11.67741935483871,12.35483870967742,12.35483870967742,148.8709677419355,528.2429653271112,2.129032258064516,210.82066633680802,204.0733905912243,210.26371534204242,,966.5261031602543,990.0,0.23521446809304855,0.06467237169114654,989.7001131602157,0.32523127191064677,0.30449069022188685,0.3151371196885146,,22.848778728050593,22.73701579457841,21.863938002587062,,0.9335483870967743,0.931851851851852,0.9349999999999998,,0.843282665347232,0.8162935623648971,0.8410548613681698,,0.9751612903225805,0.9744444444444441,0.9749999999999999,,43.024878711547984,41.254622544508486,41.0912660841805,,89.5605218526826,0.12759568620208964,136.12205640164498,53.20532091869052,3,1,66633.02825839586,31,0.4975584547371256
