WaterYear,Days,StartDate,EndDate,MonthId,Month_power_max
1933,12,1934-03-22,1934-04-02,1934.03,177.90625622863297
1939,10,1940-03-30,1940-04-08,1940.03,182.85018109046925
1947,48,1948-03-03,1948-04-19,1948.03,97.84700904833505
1949,6,1950-02-27,1950-03-04,1950.02,178.66264247598866
1951,26,1952-03-01,1952-03-26,1952.03,96.95281296290364
1952,20,1953-03-19,1953-04-07,1953.03,184.2947388356609
1955,24,1956-04-29,1956-05-22,1956.04,119.85087999649998
1956,30,1957-03-02,1957-03-31,1957.03,97.48409331109907
1957,64,1958-02-03,1958-04-07,1958.02,101.58284716712211
1960,29,1961-03-30,1961-04-27,1961.03,186.08448070140443
1961,25,1962-03-30,1962-04-23,1962.03,129.79324072720502
1962,52,1963-02-28,1963-04-20,1963.02,135.97890901175631
1965,11,1966-03-28,1966-04-07,1966.03,187.53903424969502
1967,27,1968-02-07,1968-04-14,1968.02,114.23647250227891
1968,65,1969-03-01,1969-05-04,1969.03,0.0
1974,23,1975-03-26,1975-04-17,1975.03,128.43785143241848
1975,15,1976-03-27,1976-04-10,1976.03,185.55519334512425
1977,48,1978-03-26,1978-05-12,1978.03,158.11385349160392
1978,12,1979-04-12,1979-04-23,1979.04,114.92022847793177
2008,28,2009-03-14,2009-04-10,2009.03,145.3632220540776
2009,17,2010-03-16,2010-05-01,2010.03,140.9037072390551
