WaterYear,Days,StartDate,EndDate,MonthId,Month_power_max
1947,20,1948-03-06,1948-03-27,1948.03,109.52314605743184
1951,15,1952-03-03,1952-03-17,1952.03,108.62101544005662
1952,5,1953-03-22,1953-03-26,1953.03,193.92286351838516
1956,24,1957-03-02,1957-03-25,1957.03,109.15707902158584
1957,57,1958-02-04,1958-04-01,1958.02,113.28597716037457
1960,16,1961-04-04,1961-04-19,1961.04,102.15606163491668
1962,39,1963-03-04,1963-04-11,1963.03,92.2911971325858
1968,56,1969-03-04,1969-04-28,1969.03,97.20640272983644
1977,25,1978-04-06,1978-04-30,1978.04,89.0336571798546
2008,6,2009-03-19,2009-03-24,2009.03,156.65349499421197
