WaterYear,Days,StartDate,EndDate,MonthId,Month_power_max
1947,25,1948-03-05,1948-03-30,1948.03,97.69691828024185
1951,16,1952-03-03,1952-03-18,1952.03,96.88534190778036
1952,6,1953-03-22,1953-03-27,1953.03,173.18401129477692
1955,7,1956-05-06,1956-05-13,1956.05,106.49617664948488
1956,25,1957-03-02,1957-03-26,1957.03,97.36759130372513
1957,58,1958-02-04,1958-04-02,1958.02,101.08249759552142
1960,18,1961-04-03,1961-04-20,1961.04,91.07056976625006
1962,40,1963-03-03,1963-04-11,1963.03,82.20208983599005
1968,57,1969-03-03,1969-04-28,1969.03,86.62018831966381
1977,26,1978-04-06,1978-05-02,1978.04,79.27473884814884
2008,10,2009-03-18,2009-03-27,2009.03,140.15628864249211
