,Energy
0.0,1055123.798228736
0.05,992185.8590315803
0.1,957234.9498874029
0.15000000000000002,937677.2678972093
0.2,925206.750419884
0.25,915499.5839472882
0.30000000000000004,900555.56470876
0.35000000000000003,890582.8646360231
0.4,881597.9091753098
0.45,875142.7975751047
0.5,870232.550311451
0.55,863844.9882187848
0.6000000000000001,853094.6765450166
0.65,844331.0324056682
0.7000000000000001,835407.3136130867
0.75,821904.6355593256
0.8,814640.991237852
0.8500000000000001,798571.8294172753
0.9,777518.6735879958
0.9500000000000001,737922.1129936625
1.0,515303.31377521786
