Exceedance,Power
0.0,194.6887810867683
0.05,168.0859588366103
0.1,147.25263534682463
0.15000000000000002,129.3005410501962
0.2,121.55714125434176
0.25,114.27722422553909
0.30000000000000004,106.87908067431958
0.35000000000000003,100.0375780175177
0.4,92.55754223792243
0.45,84.79113876329606
0.5,76.85291306758478
0.55,68.51727575747168
0.6000000000000001,60.21078499328535
0.65,53.8960516404528
0.7000000000000001,47.68825952926329
0.75,41.34563234583455
0.8,36.29601582150255
0.8500000000000001,32.561922897288106
0.9,28.844098304005666
0.9500000000000001,23.291504390931067
1.0,0.0
