WaterYear,Days,StartDate,EndDate,MonthId,Month_power_max
1947,3,1948-03-10,1948-03-12,1948.03,103.67265505535292
1951,7,1952-03-06,1952-03-12,1952.03,102.7735756153384
1956,22,1957-03-03,1957-03-24,1957.03,103.30779197798044
1957,55,1958-02-04,1958-03-30,1958.02,107.42580786024477
1960,3,1961-04-14,1961-04-16,1961.04,96.33881857641909
1962,33,1963-03-05,1963-04-06,1963.03,86.5487359346929
1968,53,1969-03-05,1969-04-26,1969.03,91.42228048106631
1977,16,1978-04-10,1978-04-25,1978.04,83.32373279405506
