,Energy
0.0,1000536.4404589564
0.05,938920.479527135
0.1,904108.3490674356
0.15000000000000002,884470.2232888166
0.2,871136.7409470663
0.25,849447.0507827722
0.30000000000000004,841993.7832078671
0.35000000000000003,830932.9286507023
0.4,826624.0334442195
0.45,818866.255234216
0.5,814429.6227000002
0.55,803696.890057832
0.6000000000000001,795518.0506420423
0.65,788971.7145991166
0.7000000000000001,780978.1373370484
0.75,772356.6136360618
0.8,759173.3546583187
0.8500000000000001,752197.5736744022
0.9,736717.936575932
0.9500000000000001,704667.304976663
1.0,493572.3302611348
