WaterYear,Days,StartDate,EndDate,MonthId,Month_power_max
1925,16,1926-03-25,1926-04-09,1926.03,191.4777227279891
1933,21,1934-03-21,1934-04-10,1934.03,128.0653619074473
1939,23,1940-03-26,1940-04-17,1940.03,128.53609919023629
1946,14,1947-04-02,1947-04-15,1947.04,72.26927052724776
1947,58,1948-03-01,1948-04-27,1948.03,0.0
1949,20,1950-02-24,1950-03-15,1950.02,182.87263982564053
1950,5,1951-03-17,1951-03-21,1951.03,124.44626947301784
1951,35,1952-02-27,1952-04-01,1952.02,95.56371409823112
1952,35,1953-03-17,1953-04-20,1953.03,125.42938404230564
1955,48,1956-03-09,1956-05-28,1956.03,106.24258482266345
1956,36,1957-03-01,1957-04-05,1957.03,0.0
1957,70,1958-02-02,1958-04-12,1958.02,65.65776531456514
1958,6,1959-03-24,1959-03-29,1959.03,188.4656507388578
1959,12,1960-04-04,1960-04-15,1960.04,87.51614423000234
1960,38,1961-03-27,1961-05-03,1961.03,190.97575869570304
1961,57,1962-03-07,1962-05-02,1962.03,86.68500150499241
1962,72,1963-02-15,1963-04-27,1963.02,91.363195510949
1965,18,1966-03-26,1966-04-12,1966.03,192.4934788584277
1967,56,1968-02-04,1968-04-20,1968.02,75.02720025910665
1968,71,1969-02-28,1969-05-09,1969.02,191.4855615765928
1969,32,1970-02-25,1970-03-28,1970.02,116.24660526983207
1974,33,1975-03-21,1975-04-22,1975.03,85.66321615127403
1975,51,1976-03-20,1976-05-09,1976.03,190.42376052009723
1977,58,1978-03-23,1978-05-19,1978.03,108.31588146463396
1978,22,1979-04-08,1979-04-29,1979.04,75.53638172902615
2003,5,2004-03-28,2004-04-01,2004.03,120.66626399723204
2006,19,2007-02-19,2007-03-09,2007.02,127.05728367914426
2008,38,2009-03-11,2009-04-17,2009.03,98.50865922558113
2009,53,2010-03-11,2010-05-08,2010.03,95.1056963027567
2010,11,2011-04-15,2011-04-25,2011.04,70.26737007638033
2017,23,2018-04-23,2018-05-15,2018.04,75.47221264513493
2019,16,2020-03-20,2020-04-30,2020.03,128.0560524391959
