WaterYear,Days,StartDate,EndDate,MonthId,Month_power_max
1933,7,1934-03-24,1934-03-30,1934.03,183.41321501758333
1947,42,1948-03-03,1948-04-13,1948.03,103.67265505535292
1951,22,1952-03-01,1952-03-22,1952.03,102.7735756153384
1952,13,1953-03-21,1953-04-02,1953.03,189.44832109379703
1955,17,1956-05-03,1956-05-19,1956.05,113.43574893857334
1956,27,1957-03-02,1957-03-28,1957.03,103.30779197798044
1957,61,1958-02-03,1958-04-04,1958.02,107.42580786024477
1960,24,1961-04-01,1961-04-24,1961.04,96.33881857641909
1961,17,1962-04-02,1962-04-18,1962.04,100.87257418984284
1962,47,1963-03-02,1963-04-17,1963.03,86.5487359346929
1965,6,1966-03-30,1966-04-04,1966.03,191.4544879845239
1967,10,1968-04-01,1968-04-10,1968.04,126.32035844085196
1968,61,1969-03-02,1969-05-01,1969.03,91.42228048106631
1974,13,1975-03-30,1975-04-11,1975.03,134.26189390306885
1975,4,1976-03-30,1976-04-02,1976.03,192.09397652189412
1977,38,1978-03-31,1978-05-07,1978.03,163.6147820213643
1978,1,1979-04-16,1979-04-16,1979.04,120.7850700205632
2008,23,2009-03-15,2009-04-06,2009.03,151.04444151360138
