,Energy
0.0,1057489.2065937787
0.05,995037.4097742127
0.1,957352.888806729
0.15000000000000002,939170.1964146299
0.2,925124.8821892226
0.25,909948.0611746896
0.30000000000000004,893840.3956195122
0.35000000000000003,888171.3667609146
0.4,880944.6676827266
0.45,876380.4292025185
0.5,868599.152035798
0.55,864208.8252704001
0.6000000000000001,850171.5327617866
0.65,842650.7486570296
0.7000000000000001,833494.011542119
0.75,829236.2107776608
0.8,815640.5917997889
0.8500000000000001,801356.1053430472
0.9,783750.1166181711
0.9500000000000001,753947.2191356219
1.0,536263.9238590806
