WaterYear,YearDecimal,Flow_min,Flow_median,Flow_mean,Flow_max,Flow_range,Flow_sum,Flow_mean_pct_var,Flow_mean_5yr_mvCoefVar
1924,1925.25,111,563.0,992.0931506849315,3452,3341,362114,-9.532330417969911,
1925,1926.25,159,495.0,1111.8739726027397,4501,4342,405834,1.3903251935953844,
1926,1927.25,193,563.0,990.427397260274,3313,3120,361506,-9.684228281918484,19.171288285205375
1927,1928.25,180,512.0,848.0655737704918,2261,2081,310392,-22.666015727661122,19.69586746802268
1928,1929.25,195,389.0,564.4958904109589,1589,1394,206041,-48.52436219436128,15.786411520292104
1929,1930.25,189,572.0,720.241095890411,2188,1999,262888,-34.322161747182584,17.694731442059144
1930,1931.25,201,533.0,942.6575342465753,3356,3155,344070,-14.040299261864794,20.19365221153297
1931,1932.25,236,624.0,1064.6830601092897,3803,3567,389674,-2.912952049861524,23.360940180608768
1932,1933.25,189,408.0,583.1068493150685,1617,1428,212834,-46.827253329554246,21.36248735580444
1933,1934.25,159,583.0,1217.813698630137,5589,5430,444502,11.050829475114293,22.16401492860804
1934,1935.25,178,564.0,952.2931506849316,3279,3101,347587,-13.161640071885945,24.43343270859355
1935,1936.25,189,468.5,809.155737704918,2497,2308,296151,-26.21415250316558,17.911933228018327
1936,1937.25,201,583.0,1197.013698630137,3600,3399,436910,9.154104831861696,14.3601942361994
1937,1938.25,225,517.0,828.5808219178082,3228,3003,302432,-24.442804622211455,22.118811608671628
1938,1939.25,221,517.0,879.3232876712328,2873,2652,320953,-19.8156659080806,20.037116724515876
1939,1940.25,215,728.0,1341.7349726775956,5260,5045,491075,22.35104747074284,23.326802939509204
1940,1941.25,225,512.0,956.8164383561644,3356,3131,349238,-12.749167418301901,25.57702115600613
1941,1942.25,189,427.0,649.5369863013699,2188,1999,237081,-40.7695765085656,25.57454612808957
1942,1943.25,171,459.0,669.4109589041096,1708,1537,244335,-38.95729508573178,15.210775270614896
1943,1944.25,178,534.5,927.8579234972677,2543,2365,339596,-15.38985630122815,14.970157092533817
1944,1945.25,193,495.0,996.6986301369863,3886,3693,363795,-9.112362803993676,21.543128900701383
1945,1946.25,195,489.0,680.7534246575342,1589,1394,248475,-37.922990551608265,35.33625960967418
1946,1947.25,193,619.0,1234.517808219178,4629,4436,450599,12.57405525882229,44.40272386314396
1947,1948.25,261,750.0,1705.7185792349726,6170,5909,624293,55.54223383119169,46.684325427825996
