Year,MonthNo,MonthName,Energy
1984,6, Jun ,96.7
1984,7, Jul ,52.6
1984,8, Aug ,38.8
1984,9, Sep ,28.2
1984,10, Oct ,25
1984,11, Nov ,28.1
1984,12, Dec ,42.4
1985,1, Jan ,63.8
1985,2, Feb ,77
1985,3, Mar ,113.1
1985,4, Apr ,130.2
1985,5, May ,130.2
1985,6, Jun ,127.1
1985,7, Jul ,75.5
1985,8, Aug ,47.3
1985,9, Sep ,33
1985,10, Oct ,22.8
1985,11, Nov ,26.1
1985,12, Dec ,40.8
1986,1, Jan ,62.4
1986,2, Feb ,85.4
1986,3, Mar ,109
1986,4, Apr ,119.6
1986,5, May ,117.5
1986,6, Jun ,127.3
1986,7, Jul ,76.3
1986,8, Aug ,47.7
1986,9, Sep ,34.5
1986,10, Oct ,24.5
1986,11, Nov ,22.7
1986,12, Dec ,31
1987,1, Jan ,49
1987,2, Feb ,63.3
1987,3, Mar ,98.3
1987,4, Apr ,123.8
1987,5, May ,135
1987,6, Jun ,111.3
1987,7, Jul ,65
1987,8, Aug ,47.2
1987,9, Sep ,34.6
1987,10, Oct ,31.3
1987,11, Nov ,43.4
1987,12, Dec ,68.9
1988,1, Jan ,86.5
1988,2, Feb ,92.2
1988,3, Mar ,123.3
1988,4, Apr ,126.2
1988,5, May ,123.9
1988,6, Jun ,128.1
1988,7, Jul ,80.8
1988,8, Aug ,49
1988,9, Sep ,35.6
1988,10, Oct ,28.3
1988,11, Nov ,25.3
1988,12, Dec ,40.4
1989,1, Jan ,53.3
1989,2, Feb ,72.9
1989,3, Mar ,116.6
1989,4, Apr ,101
1989,5, May ,97.2
1989,6, Jun ,116.3
1989,7, Jul ,119.1
1989,8, Aug ,65.5
1989,9, Sep ,42.6
1989,10, Oct ,27.8
1989,11, Nov ,28.5
1989,12, Dec ,45.8
1990,1, Jan ,67.5
1990,2, Feb ,92.7
1990,3, Mar ,115.2
1990,4, Apr ,105.6
1990,5, May ,110.6
1990,6, Jun ,105.2
1990,7, Jul ,62.2
1990,8, Aug ,42.3
1990,9, Sep ,28.7
1990,10, Oct ,33.1
1990,11, Nov ,28.6
1990,12, Dec ,29.6
1991,1, Jan ,54.2
1991,2, Feb ,77
1991,3, Mar ,97.4
1991,4, Apr ,122.4
1991,5, May ,134.2
1991,6, Jun ,107.6
1991,7, Jul ,54.3
1991,8, Aug ,38.5
1991,9, Sep ,27.3
1991,10, Oct ,24.4
1991,11, Nov ,21.5
1991,12, Dec ,32.1
1992,1, Jan ,55.6
1992,2, Feb ,81.8
1992,3, Mar ,126.2
1992,4, Apr ,102.3
1992,5, May ,102.3
1992,6, Jun ,70.7
1992,7, Jul ,45.5
1992,8, Aug ,33.6
1992,9, Sep ,23.5
1992,10, Oct ,20.6
1992,11, Nov ,25.9
1992,12, Dec ,46.7
1993,1, Jan ,65.8
1993,2, Feb ,73
1993,3, Mar ,97.3
1993,4, Apr ,120
1993,5, May ,107.5
1993,6, Jun ,127.4
