Year,MonthNo,MonthName,Energy
2009,11, Nov ,23.4
2009,12, Dec ,53.8
2010,1, Jan ,92.2
2010,2, Feb ,117.5
2010,3, Mar ,95.7
2010,4, Apr ,54.1
2010,5, May ,104.7
2010,6, Jun ,125.9
2010,7, Jul ,102.5
2010,8, Aug ,59.5
2010,9, Sep ,38.2
2010,10, Oct ,27.6
2010,11, Nov ,27.6
2010,12, Dec ,51.3
2011,1, Jan ,83.8
2011,2, Feb ,111.2
2011,3, Mar ,99.6
2011,4, Apr ,76.2
2011,5, May ,80.1
2011,6, Jun ,110.8
2011,7, Jul ,128.1
2011,8, Aug ,83.9
2011,9, Sep ,50.8
2011,10, Oct ,34.2
2011,11, Nov ,26.8
2011,12, Dec ,45.2
2012,1, Jan ,98.5
2012,2, Feb ,111.9
2012,3, Mar ,94.9
2012,4, Apr ,84.3
2012,5, May ,88.1
2012,6, Jun ,114.1
2012,7, Jul ,122.8
2012,8, Aug ,76.4
2012,9, Sep ,49.4
2012,10, Oct ,37.2
2012,11, Nov ,31.1
2012,12, Dec ,54.1
2013,1, Jan ,88.5
2013,2, Feb ,114.3
2013,3, Mar ,125.9
2013,4, Apr ,107.7
2013,5, May ,103.3
2013,6, Jun ,124
2013,7, Jul ,98.8
2013,8, Aug ,59.6
2013,9, Sep ,40.4
2013,10, Oct ,29.7
2013,11, Nov ,29.3
2013,12, Dec ,50.1
2014,1, Jan ,101.4
2014,2, Feb ,106.9
2014,3, Mar ,98.2
2014,4, Apr ,103.1
2014,5, May ,113.5
2014,6, Jun ,122.6
2014,7, Jul ,80.1
2014,8, Aug ,49.8
2014,9, Sep ,35.1
2014,10, Oct ,25.6
2014,11, Nov ,23.6
2014,12, Dec ,48.9
2015,1, Jan ,96.1
2015,2, Feb ,109.9
2015,3, Mar ,127.5
2015,4, Apr ,99.9
2015,5, May ,101.3
2015,6, Jun ,113
2015,7, Jul ,127
2015,8, Aug ,76.5
2015,9, Sep ,46.3
2015,10, Oct ,33.1
2015,11, Nov ,28.4
2015,12, Dec ,41.9
2016,1, Jan ,67.7
2016,2, Feb ,87.3
2016,3, Mar ,119.7
2016,4, Apr ,132.9
2016,5, May ,139
2016,6, Jun ,128.9
2016,7, Jul ,81.4
2016,8, Aug ,48.2
2016,9, Sep ,31.2
