Year,Month,Rainfall
1904,10,66
1904,11,43.7
1904,12,174.8
1905,1,124.7
1905,2,204.2
1905,3,57.2
1905,4,0
1905,5,0.5
1905,6,0
1905,7,0
1905,8,0
1905,9,0
1905,10,0.5
1905,11,67.8
1905,12,69.3
1906,1,167.1
1906,2,255.5
1906,3,115.3
1906,4,1.8
1906,5,0
1906,6,0
1906,7,0
1906,8,0
1906,9,15
1906,10,30
1906,11,63.5
1906,12,35.6
1907,1,121.9
1907,2,373.9
1907,3,60.7
1907,4,52.3
1907,5,2
1907,6,0
1907,7,1.5
1907,8,0
1907,9,0
1907,10,14.7
1907,11,110.7
1907,12,348.2
1908,1,188
1908,2,445
1908,3,18
1908,4,0
1908,5,0
1908,6,0
1908,7,0
1908,8,0
1908,9,0
1908,10,4.1
1908,11,147.6
1908,12,311.9
1909,1,188.2
1909,2,130.8
1909,3,124.5
1909,4,42.7
1909,5,0
1909,6,0
1909,7,0
1909,8,0
1909,9,0
1909,10,8.1
1909,11,3
1909,12,154.4
1910,1,94.2
1910,2,55.1
1910,3,273.1
1910,4,61.2
1910,5,0
1910,6,0
1910,7,0
1910,8,0
1910,9,0
1910,10,27.9
1910,11,176.8
1910,12,66.3
1911,1,403.9
1911,2,101.6
1911,3,146.1
1911,4,0
1911,5,0
1911,6,0
1911,7,0
1911,8,0
1911,9,0
1911,10,0
1911,11,17
1911,12,56.6
1912,1,158.2
1912,2,202.2
1912,3,31.5
1912,4,55.9
1912,5,7.6
1912,6,0
1912,7,0
1912,8,0
1912,9,0
1912,10,11.7
1912,11,29.7
1912,12,94.5
1913,1,99.1
1913,2,225.8
1913,3,25.9
1913,4,24.1
1913,5,4.3
1913,6,0
1913,7,0
1913,8,0
1913,9,0
1913,10,5.1
1913,11,99.8
1913,12,61
1914,1,152.7
1914,2,343.7
1914,3,39.6
1914,4,0
1914,5,6.9
1914,6,0
1914,7,0
1914,8,0
1914,9,0
1914,10,0
1914,11,73.4
1914,12,321.8
1915,1,433.8
1915,2,166.1
1915,3,136.4
1915,4,38.1
1915,5,0
1915,6,0
1915,7,0
1915,8,0
1915,9,18.5
1915,10,0.8
1915,11,46.5
1915,12,140.2
1916,1,73.7
1916,2,17.5
1916,3,57.7
1916,4,24.1
1916,5,0
1916,6,0
1916,7,0
1916,8,0
1916,9,6.6
1916,10,0
1916,11,83.1
1916,12,352.8
1917,1,18.3
1917,2,112
1917,3,29.2
1917,4,14.5
1917,5,28.7
1917,6,0
1917,7,0
1917,8,0
1917,9,0
1917,10,7.4
1917,11,66.5
1917,12,471.7
1918,1,275.1
1918,2,114.6
1918,3,179.3
1918,4,0
1918,5,0
1918,6,0
1918,7,0
1918,8,0
1918,9,0
1918,10,8.9
1918,11,130
1918,12,221.5
1919,1,446.3
1919,2,225.8
1919,3,20.1
1919,4,0
1919,5,0
1919,6,0
1919,7,0
1919,8,0
1919,9,1.5
1919,10,37.8
1919,11,98.3
1919,12,288.8
1920,1,131.8
1920,2,357.9
1920,3,115.8
1920,4,0
1920,5,0
1920,6,0
1920,7,0
1920,8,0
1920,9,0
1920,10,11.9
1920,11,27.4
1920,12,209.8
1921,1,109.5
1921,2,213.4
1921,3,198.9
1921,4,3.8
1921,5,54.1
1921,6,0
1921,7,0
1921,8,0
1921,9,0
1921,10,17
1921,11,125.7
1921,12,256.5
1922,1,24.4
1922,2,214.1
1922,3,78.7
1922,4,0
1922,5,0
1922,6,0
1922,7,0
1922,8,0
1922,9,0
1922,10,113.8
1922,11,73.2
1922,12,168.1
1923,1,213.4
1923,2,181.1
1923,3,269.7
1923,4,4.8
1923,5,0
1923,6,0
1923,7,0
1923,8,0
1923,9,6.6
1923,10,21.1
1923,11,40.4
1923,12,72.6
1924,1,127
1924,2,49.5
1924,3,157.7
1924,4,0
1924,5,0
1924,6,0
1924,7,0
1924,8,0
1924,9,0
1924,10,47.8
1924,11,137.4
1924,12,292.6
1925,1,349.5
1925,2,281.9
1925,3,170.2
1925,4,92.7
1925,5,34.5
1925,6,0
1925,7,0
1925,8,0
1925,9,12.7
1925,10,6.6
1925,11,24.9
1925,12,104.1
1926,1,102.6
1926,2,255
1926,3,187.7
1926,4,2.3
1926,5,1.8
1926,6,0
1926,7,0
1926,8,0
1926,9,1.8
1926,10,8.6
1926,11,85.9
1926,12,115.8
1927,1,192.5
1927,2,104.9
1927,3,22.1
1927,4,8.6
1927,5,0
1927,6,0
1927,7,0
1927,8,0
1927,9,0
1927,10,15.7
1927,11,89.4
1927,12,88.9
1928,1,169.4
1928,2,35.3
1928,3,57.7
1928,4,30.5
1928,5,0
1928,6,0
1928,7,0
1928,8,0
1928,9,0
1928,10,3
1928,11,61
1928,12,270.5
1929,1,190
1929,2,67.3
1929,3,100.3
1929,4,0
1929,5,0
1929,6,0
1929,7,0
1929,8,0
1929,9,0
1929,10,10.2
1929,11,75.9
1929,12,219.2
1930,1,230.4
1930,2,71.6
1930,3,79.8
1930,4,126
1930,5,0
1930,6,0
1930,7,1
1930,8,0
1930,9,0
1930,10,0
1930,11,33.3
1930,12,255.8
1931,1,111.8
1931,2,48
1931,3,101.6
1931,4,5.8
1931,5,0
1931,6,0
1931,7,0
1931,8,0
1931,9,0
1931,10,3.8
1931,11,241.6
1931,12,55.9
1932,1,204.7
1932,2,59.2
1932,3,222
1932,4,103.1
1932,5,14.7
1932,6,0
1932,7,0
1932,8,0
1932,9,0
1932,10,0.5
1932,11,25.4
1932,12,164.1
1933,1,190.2
1933,2,45
1933,3,0
1933,4,0
1933,5,0
1933,6,0
1933,7,0
1933,8,0
1933,9,0
1933,10,1
1933,11,131.1
1933,12,83.8
1934,1,177.8
1934,2,64.5
1934,3,91.7
1934,4,40.6
1934,5,0
1934,6,0
1934,7,0
1934,8,0
1934,9,0
1934,10,12.2
1934,11,58.9
1934,12,188.2
1935,1,108.2
1935,2,113
1935,3,34.5
1935,4,16.3
1935,5,0
1935,6,0
1935,7,0
1935,8,0
1935,9,0
1935,10,10.7
1935,11,71.6
1935,12,68.3
1936,1,135.4
1936,2,106.9
1936,3,312.7
1936,4,43.9
1936,5,63.8
1936,6,0
1936,7,0
1936,8,0.8
1936,9,0
1936,10,6.1
1936,11,160.5
1936,12,73.7
1937,1,104.6
1937,2,284
1937,3,74.7
1937,4,2.5
1937,5,0
1937,6,0
1937,7,0
1937,8,0
1937,9,0
1937,10,12.2
1937,11,46.5
1937,12,215.4
1938,1,112.5
1938,2,167.4
1938,3,2.5
1938,4,19.1
1938,5,0
1938,6,0
1938,7,0
1938,8,0
1938,9,1.3
1938,10,51.8
1938,11,121.4
1938,12,267.2
1939,1,135.6
1939,2,286.8
1939,3,135.4
1939,4,15
1939,5,0.5
1939,6,0
1939,7,0
1939,8,8.4
1939,9,41.1
1939,10,49
