Year,Month,Rainfall
1983,3,102.6
1983,4,60
1983,5,0
1983,6,0
1983,7,0
1983,8,0
1983,9,0
1983,10,55.3
1983,11,72.5
1983,12,125.3
1984,1,321.2
1984,2,163.5
1984,3,153.9
1984,4,16.6
1984,5,0
1984,6,0
1984,7,0
1984,8,0
1984,9,0
1984,10,81.7
1984,11,114.8
1984,12,177.6
1985,1,185.4
1985,2,126.7
1985,3,143.1
1985,4,27.6
1985,5,1
1985,6,0
1985,7,0
1985,8,0
1985,9,8.9
1985,10,20.9
1985,11,102.3
1985,12,165.6
1986,1,167
1986,2,97.5
1986,3,233.5
1986,4,58.9
1986,5,0
1986,6,0
1986,7,0
1986,8,2.5
1986,9,65.2
1986,10,84.6
1986,11,124.3
1986,12,123.4
1987,1,127.4
1987,2,273.2
1987,3,112.8
1987,4,1.1
1987,5,4.8
1987,6,0
1987,7,0
1987,8,0
1987,9,9.7
1987,10,56.2
1987,11,160.8
1987,12,344.7
1988,1,243.7
1988,2,199.4
1988,3,217.5
1988,4,46.7
1988,5,0
1988,6,5.2
1988,7,0
1988,8,0
1988,9,1
1988,10,34.3
1988,11,93.7
1988,12,242.2
1989,1,303.7
1989,2,190.8
1989,3,185.9
1989,4,64.3
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,15.5
1989,10,54.5
1989,11,99.4
1989,12,268.4
1990,1,268.4
1990,2,235.4
1990,3,68.8
1990,4,28.5
1990,5,1
1990,6,0
1990,7,0
1990,8,0
1990,9,13.1
1990,10,71.4
1990,11,88.9
1990,12,272.1
1991,1,402.9
1991,2,196.8
1991,3,64.7
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,8.3
1991,10,83.5
1991,11,135.1
1991,12,387.4
1992,1,46.1
1992,2,162.6
1992,3,110.1
1992,4,46.8
1992,5,2.6
1992,6,0
1992,7,0
1992,8,0
1992,9,0.6
1992,10,49.1
1992,11,189
1992,12,121.2
1993,1,281.7
1993,2,200.7
1993,3,240.2
1993,4,76
1993,5,0
1993,6,0
1993,7,0
1993,8,0.1
1993,9,24.1
1993,10,18.7
1993,11,224.8
1993,12,178
1994,1,184.9
1994,2,255.7
1994,3,22.6
1994,4,1.6
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,93.5
1994,11,147.1
1994,12,123.1
1995,1,42.8
1995,2,228.9
1995,3,62.2
1995,4,12.8
1995,5,3.2
1995,6,0
1995,7,0
1995,8,0
1995,9,1.4
1995,10,17.1
1995,11,141.6
1995,12,143.7
1996,1,200.4
1996,2,184.5
1996,3,49
1996,4,1.4
1996,5,0
1996,6,0
1996,7,0
1996,8,0
1996,9,0
1996,10,66.1
1996,11,179.1
1996,12,133.2
1997,1,257.6
1997,2,188.8
1997,3,210.7
1997,4,2.6
1997,5,0
1997,6,0
1997,7,0
1997,8,0
1997,9,9.8
1997,10,10.1
1997,11,84.1
1997,12,196.7
1998,1,225.4
1998,2,133.2
1998,3,254.2
1998,4,0
1998,5,0
1998,6,0
1998,7,0
1998,8,0
1998,9,0
1998,10,0
1998,11,0
1998,12,0
1999,1,331.2
1999,2,120.2
1999,3,146.2
1999,4,5.1
1999,5,0
1999,6,0
1999,7,0.2
1999,8,0
1999,9,8.8
1999,10,41.7
1999,11,63
1999,12,151.3
2000,1,341.8
2000,2,239
2000,3,254.2
2000,4,14.9
2000,5,0
2000,6,0
2000,7,0
2000,8,0
2000,9,16
2000,10,57.3
2000,11,59.4
2000,12,0
2001,1,196.4
2001,2,337.3
2001,3,157.9
2001,4,24.9
2001,5,0
2001,6,0
2001,7,0
2001,8,0
2001,9,10.9
2001,10,104.5
2001,11,102.6
2001,12,91.6
2002,1,95.5
2002,2,168.2
2002,3,158.1
2002,4,0
2002,5,0
2002,6,0
2002,7,0
2002,8,5.5
2002,9,0.1
2002,10,31.8
2002,11,116.9
2002,12,399.9
2003,1,120.4
2003,2,240.2
2003,3,104
2003,4,128.6
2003,5,0
2003,6,0
2003,7,0
2003,8,0
2003,9,0
2003,10,0
2003,11,116.4
2003,12,301.7
2004,1,299.7
2004,2,147.3
2004,3,178
2004,4,36.3
2004,5,0
2004,6,0
2004,7,0
2004,8,0
2004,9,0
2004,10,47.6
2004,11,140.8
2004,12,207.9
2005,1,236.1
2005,2,113.4
2005,3,199.3
2005,4,58.3
2005,5,0
2005,6,0
2005,7,0
2005,8,0
2005,9,13.3
2005,10,38.7
2005,11,212.7
2005,12,155.8
2006,1,287.5
2006,2,179.5
