Year,Month,Rainfall
1914,10,17
1914,11,93
1914,12,207
1915,1,211
1915,2,178
1915,3,258
1915,4,108
1915,5,0
1915,6,0
1915,7,0
1915,8,0
1915,9,0
1915,10,51
1915,11,130
1915,12,342
1916,1,355
1916,2,194
1916,3,185
1916,4,88
1916,5,23
1916,6,0
1916,7,0
1916,8,0
1916,9,5
1916,10,30
1916,11,194
1916,12,305
1917,1,400
1917,2,387
1917,3,161
1917,4,220
1917,5,1
1917,6,0
1917,7,0
1917,8,0
1917,9,0
1917,10,47
1917,11,185
1917,12,151
1918,1,136
1918,2,144
1918,3,312
1918,4,50
1918,5,0
1918,6,0
1918,7,9
1918,8,0
1918,9,1
1918,10,31
1918,11,204
1918,12,235
1919,1,158
1919,2,268
1919,3,235
1919,4,106
1919,5,0
1919,6,0
1919,7,0
1919,8,0
1919,9,3
1919,10,81
1919,11,269
1919,12,119
1920,1,181
1920,2,163
1920,3,297
1920,4,67
1920,5,13
1920,6,0
1920,7,0
1920,8,0
1920,9,50.3
1920,10,40.1
1920,11,158.2
1920,12,263.1
1921,1,197.9
1921,2,178.1
1921,3,291.3
1921,4,77.5
1921,5,10.9
1921,6,0
1921,7,0
1921,8,0
1921,9,15.2
1921,10,77.5
1921,11,174.2
1921,12,273.8
1922,1,258.3
1922,2,236.5
1922,3,256.5
1922,4,55.4
1922,5,38.6
1922,6,0
1922,7,0
1922,8,0
1922,9,0
1922,10,94.5
1922,11,329.9
1922,12,337.6
1923,1,291.3
1923,2,219.2
1923,3,339.1
1923,4,262.6
1923,5,0
1923,6,0
1923,7,0
1923,8,0
1923,9,2
1923,10,159
1923,11,343.9
1923,12,315.7
1924,1,352.8
1924,2,212.6
1924,3,303.5
1924,4,32.3
1924,5,0
1924,6,0
1924,7,0
1924,8,0
1924,9,3
1924,10,124.5
1924,11,184.4
1924,12,260.4
1925,1,288
1925,2,343.7
1925,3,231.1
1925,4,59.7
1925,5,0
1925,6,0
1925,7,0
1925,8,0
1925,9,37.3
1925,10,88.1
1925,11,293.4
1925,12,260.1
1926,1,169.7
1926,2,196.1
1926,3,261.9
1926,4,109.5
1926,5,2.8
1926,6,0
1926,7,0
1926,8,0
1926,9,18.5
1926,10,125.7
1926,11,247.9
1926,12,216.7
1927,1,152.9
1927,2,142.5
1927,3,375.9
1927,4,200.9
1927,5,3
1927,6,0
1927,7,0
1927,8,0
1927,9,0
1927,10,97.5
1927,11,125
1927,12,274.6
1928,1,351
1928,2,218.2
1928,3,284
1928,4,59.7
1928,5,0
1928,6,0
1928,7,0
1928,8,0
1928,9,62
1928,10,17.3
1928,11,135.1
1928,12,213.4
1929,1,307.8
1929,2,314.2
1929,3,240.8
1929,4,23.4
1929,5,0
1929,6,0
1929,7,0
1929,8,0
1929,9,26.4
1929,10,91.7
1929,11,162.6
1929,12,237.7
1930,1,210.6
1930,2,142.5
1930,3,190
1930,4,212.6
1930,5,0
1930,6,0
1930,7,0
1930,8,0
1930,9,62.5
1930,10,43.9
1930,11,150.6
1930,12,282.7
1931,1,305.1
1931,2,280.2
1931,3,411.2
1931,4,161
1931,5,19.6
1931,6,0
1931,7,0
1931,8,0
1931,9,23.4
1931,10,167.1
1931,11,292.6
1931,12,240.5
1932,1,234.7
1932,2,196.6
1932,3,137.9
1932,4,163.3
1932,5,17.3
1932,6,0
1932,7,0
1932,8,0
1932,9,37.1
1932,10,8.9
1932,11,154.7
1932,12,391.4
1933,1,185.9
1933,2,173.2
1933,3,249.4
1933,4,24.4
1933,5,0
1933,6,0
1933,7,0
1933,8,0.8
1933,9,0
1933,10,17.3
1933,11,255.8
1933,12,413.5
1934,1,338.8
1934,2,2.3
1934,3,291.6
1934,4,103.6
1934,5,0
1934,6,0
1934,7,0
1934,8,6.1
1934,9,2.3
1934,10,94
1934,11,250.7
1934,12,121.2
1935,1,365.5
1935,2,120.7
1935,3,102.4
1935,4,3.3
1935,5,0
1935,6,0
1935,7,0
1935,8,0
1935,9,0
1935,10,69.3
1935,11,150.1
1935,12,283.5
1936,1,137.4
1936,2,167.1
1936,3,212.6
1936,4,49.3
1936,5,13.2
1936,6,2.5
1936,7,0
1936,8,1.3
1936,9,16.8
1936,10,71.4
1936,11,259.8
