Year,Month,Rainfall
1935,10,5.8
1935,11,92.1
1935,12,294.6
1936,1,203.2
1936,2,183
1936,3,241.3
1936,4,28.2
1936,5,11.4
1936,6,15.8
1936,7,0
1936,8,0
1936,9,0.8
1936,10,79.8
1936,11,101.2
1936,12,91.8
1937,1,295.6
1937,2,464.1
1937,3,158.3
1937,4,13.5
1937,5,0
1937,6,0
1937,7,0
1937,8,0
1937,9,0
1937,10,71.7
1937,11,88.8
1937,12,391.4
1938,1,223.6
1938,2,184.4
1938,3,90.1
1938,4,114.3
1938,5,0
1938,6,0
1938,7,0
1938,8,0
1938,9,0
1945,10,8.1
1945,11,119.3
1945,12,213.6
1946,1,233.9
1946,2,142.3
1946,3,42.7
1946,4,3.3
1946,5,0
1946,6,0
1946,7,0
1946,8,0
1946,9,0.5
1946,10,28
1946,11,129.5
1946,12,115.2
1947,1,122.2
1947,2,159.4
1947,3,132.3
1947,4,8.9
1947,5,0
1947,6,0
1947,7,0
1947,8,0
1947,9,27.7
1947,10,32.6
1947,11,56.2
1947,12,155.6
1948,1,229.9
1948,2,333.2
1948,3,199.9
1948,4,106
1948,5,0
1948,6,0
1948,7,0
1948,8,0
1948,9,0
1948,10,35.6
1948,11,77.9
1948,12,73.4
1949,1,0
1949,2,0
1949,3,0
1949,4,0
1949,5,0
1949,6,0
1949,7,0
1949,8,0
1949,9,0
1949,10,0
1949,11,0
1949,12,0
1950,1,0
1950,2,0
1950,3,0
1950,4,0
1950,5,0
1950,6,0
1950,7,0
1950,8,0
1950,9,0.3
1950,10,2.8
1950,11,69.3
1950,12,212.3
1951,1,198.6
1951,2,31.2
1951,3,145
1951,4,53.6
1951,5,1
1951,6,0
1951,7,0
1951,8,2.8
1951,9,7.1
1951,10,83.4
1951,11,161.3
1951,12,194.5
1952,1,389.7
1952,2,348.5
1952,3,15.2
1952,4,0
1952,5,0
1952,6,0.5
1952,7,0
1952,8,0
1952,9,0.5
1953,10,4.9
1953,11,52.9
1953,12,241.5
1954,1,220.2
1954,2,206.6
1954,3,108
1954,4,10
1954,5,0
1954,6,0
1954,7,0
1954,8,0
1954,9,0
1955,10,0
1955,11,136.4
1955,12,119
1956,1,214.5
1956,2,180
1956,3,205.2
1956,4,135.2
1956,5,1
1956,6,0
1956,7,0
1956,8,0
1956,9,11
1956,10,0.8
1956,11,128.5
1956,12,163.2
1957,1,77
1957,2,490.6
1957,3,255.2
1957,4,3.3
1957,5,3.6
1957,6,0
1957,7,0
1957,8,0
1957,9,0.6
1957,10,73.9
1957,11,110.7
1957,12,287.1
1958,1,382.3
1958,2,393.5
1958,3,79.9
1958,4,24.7
1958,5,0
1958,6,0
1958,7,0
1958,8,0
1958,9,5.4
1958,10,44.1
1958,11,171.1
1958,12,270.2
1959,1,164.2
1959,2,349.1
1959,3,127.2
1959,4,29.4
1959,5,11.5
1959,6,0
1959,7,0
