Year,Month,Rainfall
1920,10,8.6
1920,11,168.4
1920,12,237.2
1921,1,235.2
1921,2,204.7
1921,3,227.3
1921,4,18.5
1921,5,14.7
1921,6,0
1921,7,0
1921,8,0
1921,9,0.3
1921,10,22.1
1921,11,136.1
1921,12,257.3
1922,1,96.8
1922,2,231.6
1922,3,52.6
1922,4,0.8
1922,5,0.3
1922,6,0.5
1922,7,0
1922,8,0
1922,9,0
1922,10,58.9
1922,11,144
1922,12,84.1
1923,1,177
1923,2,245.9
1923,3,280.7
1923,4,0
1923,5,2.5
1923,6,0
1923,7,0
1923,8,0
1923,9,0
1923,10,26.7
1923,11,96.8
1923,12,136.1
1924,1,119.6
1924,2,95
1924,3,134.9
1924,4,0
1924,5,0
1924,6,0
1924,7,0
1924,8,0
1924,9,0
1924,10,45.7
1924,11,91.2
1924,12,288.3
1925,1,274.1
1925,2,192.5
1925,3,236
1925,4,56.1
1925,5,13.5
1925,6,0
1925,7,0
1925,8,0
1925,9,61
1925,10,22.4
1925,11,106.9
1925,12,179.8
1926,1,274.1
1926,2,290.6
1926,3,159
1926,4,18.8
1926,5,10.2
1926,6,0
1926,7,0
1926,8,0
1926,9,0
1926,10,9.1
1926,11,139.7
1926,12,389.6
1927,1,175.3
1927,2,114.8
1927,3,109.7
1927,4,0.3
1927,5,0.3
1927,6,0
1927,7,0
1927,8,0
1927,9,0
1927,10,120.7
1927,11,86.9
1927,12,183.1
1928,1,319.8
1928,2,136.4
1928,3,139.7
1928,4,13
1928,5,0
1928,6,0
1928,7,0
1928,8,0
1928,9,0
1928,10,1.3
1928,11,159
1928,12,194.8
1929,1,291.8
1929,2,164.6
1929,3,193.3
1929,4,0
1929,5,0
1929,6,0
1929,7,0
1929,8,0
1929,9,0
1929,10,17.5
1929,11,190.2
1929,12,231.9
1930,1,272
1930,2,143.8
1930,3,77.2
1930,4,270.5
1930,5,0
1930,6,0
1930,7,0
1930,8,0
1930,9,5.6
1930,10,0.3
1930,11,144.3
1930,12,213.1
1931,1,160.8
1931,2,111.8
1931,3,55.6
1931,4,8.6
1931,5,0
1931,6,0
1931,7,0
1931,8,0
1931,9,0
1931,10,26.4
1931,11,192.8
1931,12,305.8
1932,1,171.2
1932,2,334
1932,3,142.2
1932,4,24.9
1932,5,4.1
1932,6,0
1932,7,0
1932,8,0
1932,9,1.3
1932,10,0
1932,11,53.6
1932,12,370.3
1933,1,209.8
1933,2,116.1
1933,3,30
1933,4,4.1
1933,5,0
1933,6,0
1933,7,0
1933,8,0
1933,9,0
1933,10,1.5
1933,11,197.6
1933,12,269.7
1934,1,195.8
1934,2,205.2
1934,3,164.6
1934,4,31.5
1934,5,0
1934,6,0
1934,7,1
1934,8,2.3
1934,9,1.5
1934,10,37.3
1934,11,143.3
1934,12,253.5
1935,1,304.3
1935,2,172
1935,3,164.8
1935,4,32.8
1935,5,1
1935,6,0
1935,7,0
1935,8,0
1935,9,5.1
1935,10,34.8
1935,11,46.7
1935,12,310.9
1936,1,139.7
1936,2,255.8
1936,3,320.8
1936,4,2.5
1936,5,2.5
1936,6,0
1936,7,0
1936,8,0
1936,9,0
1936,10,82.3
